ptest -- memset version 1.0
start	0	end	512
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
      10	   0.000%	  95.138	  -0.953%	  96.044	   3.601%	  91.712	   5.100%	  90.286	   5.110%	  90.276	   3.155%	  92.136	  10.397%	  85.246	   5.111%	  90.275	   5.158%	  90.230	  -8.020%	 102.768	  -7.408%	 102.185	  -3.965%	  98.910	  -7.381%	 102.159
      11	   0.000%	  96.032	  -1.055%	  97.046	   3.260%	  92.901	   4.934%	  91.294	   4.955%	  91.274	   2.402%	  93.725	  10.201%	  86.236	   4.961%	  91.268	   4.988%	  91.242	  -7.967%	 103.683	  -7.399%	 103.138	  -4.001%	  99.874	  -7.413%	 103.151
      12	   0.000%	 101.461	  -0.970%	 102.445	  12.005%	  89.280	  14.003%	  87.254	  13.979%	  87.277	  11.597%	  89.694	  18.921%	  82.264	  13.996%	  87.261	  14.004%	  87.252	   1.698%	  99.738	   2.279%	  99.148	   5.423%	  95.958	   2.209%	  99.219
      13	   0.000%	 105.508	  -0.934%	 106.493	  11.597%	  93.272	  13.486%	  91.279	  13.465%	  91.301	  11.197%	  93.694	  18.227%	  86.277	  13.487%	  91.278	  13.528%	  91.235	   1.712%	 103.702	   2.211%	 103.175	   5.235%	  99.984	   2.287%	 103.095
      14	   0.000%	 106.549	  -0.908%	 107.517	  11.897%	  93.872	  13.429%	  92.241	  13.418%	  92.252	  11.029%	  94.797	  18.127%	  87.235	  13.407%	  92.264	  13.413%	  92.257	   1.669%	 104.771	   2.253%	 104.149	   6.140%	 100.007	   2.264%	 104.137
      15	   0.000%	 107.533	  -0.886%	 108.485	  11.364%	  95.313	  13.217%	  93.320	  13.250%	  93.285	  11.003%	  95.701	  17.937%	  88.245	  13.273%	  93.260	  13.253%	  93.282	   1.691%	 105.714	   2.272%	 105.089	   6.070%	 101.005	   2.224%	 105.141
      16	   0.000%	 102.587	  -0.867%	 103.477	  12.454%	  89.811	  13.965%	  88.262	  13.944%	  88.283	  11.536%	  90.753	  18.854%	  83.246	  13.969%	  88.257	  13.991%	  88.235	   1.799%	 100.742	   2.375%	 100.151	   6.344%	  96.080	   2.370%	 100.156
      17	   0.000%	 106.612	  -0.795%	 107.460	  11.966%	  93.855	  13.464%	  92.258	  13.460%	  92.261	  11.076%	  94.803	  18.143%	  87.270	  13.476%	  92.245	  13.438%	  92.286	   1.793%	 104.700	   2.306%	 104.153	   6.119%	 100.088	   2.311%	 104.148
      18	   0.000%	 107.586	  -0.844%	 108.494	  11.434%	  95.284	  13.295%	  93.282	  13.282%	  93.297	  10.998%	  95.753	  17.980%	  88.242	  13.327%	  93.248	  13.292%	  93.286	   1.748%	 105.706	   2.209%	 105.210	   6.112%	 101.010	   2.172%	 105.250
      19	   0.000%	 108.420	  -0.954%	 109.454	  11.729%	  95.703	  13.055%	  94.266	  13.030%	  94.293	  10.773%	  96.740	  17.653%	  89.281	  13.066%	  94.253	  13.051%	  94.270	   1.538%	 106.752	   2.064%	 106.182	   5.107%	 102.883	   2.080%	 106.165
      20	   0.000%	 103.541	  -0.887%	 104.459	  11.915%	  91.204	  13.775%	  89.278	  13.757%	  89.297	  11.351%	  91.789	  18.641%	  84.240	  13.799%	  89.254	  13.765%	  89.288	   1.770%	 101.709	   2.313%	 101.146	   6.305%	  97.013	   2.318%	 101.141
      21	   0.000%	 107.550	  -0.876%	 108.493	  11.396%	  95.294	  13.263%	  93.286	  13.265%	  93.284	  11.033%	  95.684	  17.980%	  88.213	  13.280%	  93.267	  13.291%	  93.256	   1.701%	 105.721	   2.242%	 105.139	   6.064%	 101.028	   2.212%	 105.171
      22	   0.000%	 108.474	  -0.926%	 109.478	  11.737%	  95.742	  13.106%	  94.258	  13.070%	  94.296	  10.753%	  96.810	  17.714%	  89.259	  13.114%	  94.249	  13.091%	  94.274	   1.621%	 106.716	   2.143%	 106.149	   5.187%	 102.847	   2.118%	 106.177
      23	   0.000%	 109.507	  -0.893%	 110.485	  11.484%	  96.931	  12.975%	  95.298	  12.989%	  95.282	  10.750%	  97.734	  17.581%	  90.254	  13.021%	  95.248	  13.010%	  95.259	   1.676%	 107.671	   2.142%	 107.161	   5.057%	 103.969	   2.177%	 107.122
      24	   0.000%	 104.409	  -1.024%	 105.478	  12.170%	  91.702	  13.564%	  90.247	  13.541%	  90.270	  11.112%	  92.807	  18.319%	  85.282	  13.560%	  90.251	  13.528%	  90.284	   1.650%	 102.686	   2.207%	 102.105	   5.292%	  98.883	   2.174%	 102.139
      25	   0.000%	 108.433	  -0.940%	 109.452	  11.680%	  95.768	  13.031%	  94.303	  13.045%	  94.288	  11.368%	  96.106	  17.674%	  89.269	  13.046%	  94.286	  13.077%	  94.253	   1.575%	 106.725	   2.076%	 106.182	   5.060%	 102.946	   2.077%	 106.181
      26	   0.000%	 109.481	  -0.900%	 110.466	  11.093%	  97.336	  12.983%	  95.267	  12.962%	  95.290	  10.781%	  97.677	  17.594%	  90.219	  12.990%	  95.260	  12.990%	  95.259	   1.646%	 107.679	   2.151%	 107.126	   5.072%	 103.928	   2.153%	 107.123
      27	   0.000%	 110.536	  -0.868%	 111.495	  11.437%	  97.894	  12.915%	  96.260	  12.922%	  96.253	  10.701%	  98.708	  17.419%	  91.282	  12.939%	  96.234	  12.941%	  96.231	   1.682%	 108.676	   2.153%	 108.157	   5.854%	 104.065	   2.141%	 108.169
      28	   0.000%	 105.484	  -0.934%	 106.469	  11.645%	  93.200	  13.463%	  91.282	  13.475%	  91.270	  11.169%	  93.702	  18.239%	  86.244	  13.506%	  91.237	  13.506%	  91.237	   1.709%	 103.681	   2.303%	 103.054	   5.229%	  99.968	   2.305%	 103.052
      29	   0.000%	 109.516	  -0.857%	 110.455	  11.197%	  97.253	  13.022%	  95.255	  12.989%	  95.291	  10.866%	  97.616	  17.587%	  90.256	  13.011%	  95.267	  13.023%	  95.254	   1.610%	 107.753	   2.190%	 107.118	   5.111%	 103.919	   2.171%	 107.138
      30	   0.000%	 110.568	  -0.832%	 111.488	  11.484%	  97.870	  12.946%	  96.254	  12.944%	  96.256	  10.681%	  98.758	  17.471%	  91.250	  12.967%	  96.231	  12.947%	  96.253	   1.644%	 108.750	   2.220%	 108.113	   5.917%	 104.025	   2.201%	 108.134
      31	   0.000%	 111.531	  -0.850%	 112.480	  10.998%	  99.265	  12.768%	  97.290	  12.758%	  97.302	  10.579%	  99.732	  17.296%	  92.241	  12.778%	  97.280	  12.796%	  97.260	   1.625%	 109.719	   2.157%	 109.125	   5.772%	 105.093	   2.178%	 109.102
      32	   0.000%	 100.444	  -0.996%	 101.444	   9.810%	  90.591	  14.112%	  86.270	  14.111%	  86.271	  11.626%	  88.766	  19.091%	  81.268	  14.091%	  86.290	  14.091%	  86.291	   6.620%	  93.795	   2.309%	  98.125	   5.522%	  94.897	   2.315%	  98.119
      33	   0.000%	 109.562	  -0.863%	 110.507	  11.172%	  97.321	  12.988%	  95.332	  13.004%	  95.314	  10.740%	  97.794	  17.551%	  90.332	  12.983%	  95.337	  13.005%	  95.313	   6.142%	 102.832	   2.123%	 107.236	   5.086%	 103.990	   2.118%	 107.241
      34	   0.000%	 110.628	  -0.802%	 111.514	  10.790%	  98.691	  12.923%	  96.331	  12.946%	  96.306	  10.636%	  98.862	  17.433%	  91.342	  12.943%	  96.309	  12.940%	  96.312	   6.124%	 103.853	   2.172%	 108.225	   5.888%	 104.114	   2.163%	 108.235
      35	   0.000%	 112.457	  -0.961%	 113.537	  10.897%	 100.202	  12.571%	  98.319	  12.575%	  98.316	  10.343%	 100.825	  17.005%	  93.334	  12.565%	  98.327	  12.595%	  98.293	   5.835%	 105.895	   2.010%	 110.197	   4.891%	 106.956	   1.950%	 110.264
      36	   0.000%	 106.692	  -0.805%	 107.551	  -4.458%	 111.448	  13.437%	  92.356	  13.435%	  92.358	  11.117%	  94.831	  18.134%	  87.345	  13.473%	  92.317	  13.475%	  92.316	   3.641%	 102.807	   2.289%	 104.250	   6.040%	 100.248	   2.332%	 104.204
      37	   0.000%	 110.648	  -0.854%	 111.593	  -4.484%	 115.609	  12.947%	  96.322	  12.966%	  96.301	  10.687%	  98.823	  17.473%	  91.314	  12.949%	  96.320	  12.957%	  96.311	   3.478%	 106.799	   2.208%	 108.204	   5.957%	 104.057	   2.242%	 108.167
      38	   0.000%	 111.613	  -0.794%	 112.500	  -4.944%	 117.131	  12.750%	  97.382	  12.780%	  97.349	  10.579%	  99.805	  17.306%	  92.297	  12.803%	  97.323	  12.812%	  97.313	   3.407%	 107.811	   2.157%	 109.206	   5.856%	 105.077	   2.180%	 109.180
      39	   0.000%	 112.519	  -0.909%	 113.542	  -4.955%	 118.095	  12.617%	  98.323	  12.600%	  98.342	  10.343%	 100.882	  17.018%	  93.371	  12.633%	  98.305	  12.636%	  98.302	   3.287%	 108.821	   2.047%	 110.216	   4.870%	 107.039	   2.043%	 110.221
      40	   0.000%	 107.601	  -0.839%	 108.504	  -4.912%	 112.886	  13.244%	  93.350	  13.226%	  93.370	  10.925%	  95.846	  17.939%	  88.299	  13.257%	  93.336	  13.258%	  93.335	   3.515%	 103.820	   2.259%	 105.171	   6.041%	 101.101	   2.260%	 105.169
      41	   0.000%	 112.527	  -0.910%	 113.551	  -4.667%	 117.778	  12.586%	  98.364	  12.598%	  98.350	  10.402%	 100.822	  17.073%	  93.315	  12.647%	  98.296	  12.621%	  98.324	   3.303%	 108.811	   2.043%	 110.228	   4.994%	 106.907	   2.057%	 110.213
      42	   0.000%	 113.549	  -0.868%	 114.535	  -4.226%	 118.347	  12.504%	  99.350	  12.496%	  99.360	  10.349%	 101.797	  16.951%	  94.301	  12.519%	  99.333	  12.541%	  99.309	   3.288%	 109.816	   2.046%	 111.226	   4.964%	 107.913	   2.048%	 111.223
      43	   0.000%	 114.621	  -0.783%	 115.518	  -4.186%	 119.419	  12.467%	 100.332	  12.469%	 100.329	  10.274%	 102.844	  16.835%	  95.325	  12.478%	 100.319	  12.490%	 100.305	   3.350%	 110.781	   2.089%	 112.226	   5.656%	 108.138	   2.110%	 112.203
      44	   0.000%	 110.640	  -0.850%	 111.580	  -4.328%	 115.428	  12.932%	  96.332	  12.926%	  96.338	  10.658%	  98.848	  17.488%	  91.291	  12.968%	  96.292	  12.967%	  96.293	   3.481%	 106.788	   2.167%	 108.242	   5.857%	 104.160	   2.165%	 108.244
      45	   0.000%	 114.610	  -0.784%	 115.508	  -4.374%	 119.622	  12.486%	 100.299	  12.467%	 100.322	  10.328%	 102.772	  16.815%	  95.338	  12.479%	 100.308	  12.491%	 100.294	   3.303%	 110.825	   2.097%	 112.207	   5.651%	 108.133	   2.114%	 112.187
      46	   0.000%	 115.600	  -0.806%	 116.532	  -4.059%	 120.293	  12.318%	 101.361	  12.296%	 101.386	  10.203%	 103.806	  16.690%	  96.307	  12.327%	 101.350	  12.360%	 101.313	   3.272%	 111.818	   2.103%	 113.170	   5.588%	 109.140	   2.074%	 113.203
      47	   0.000%	 116.489	  -0.872%	 117.506	  -4.419%	 121.637	  12.117%	 102.375	  12.148%	 102.338	  10.066%	 104.764	  16.435%	  97.344	  12.171%	 102.312	  12.155%	 102.330	   3.133%	 112.840	   1.961%	 114.205	   4.778%	 110.923	   1.899%	 114.277
      48	   0.000%	 111.627	  -0.802%	 112.522	  -4.230%	 116.348	  12.819%	  97.318	  12.781%	  97.360	  10.588%	  99.807	  17.295%	  92.321	  12.834%	  97.300	  12.773%	  97.369	   3.423%	 107.806	   2.130%	 109.249	   5.762%	 105.195	   2.194%	 109.178
      49	   0.000%	 115.594	  -0.810%	 116.530	  -4.289%	 120.551	  12.287%	 101.391	  12.321%	 101.352	  10.155%	 103.856	  16.674%	  96.320	  12.346%	 101.323	  12.325%	 101.347	   3.307%	 111.771	   2.022%	 113.257	   5.649%	 109.064	   2.094%	 113.173
      50	   0.000%	 116.501	  -0.895%	 117.544	  -4.454%	 121.689	  12.152%	 102.343	  12.162%	 102.332	   9.984%	 104.869	  16.433%	  97.356	  12.163%	 102.331	  12.169%	 102.324	   3.124%	 112.861	   1.947%	 114.233	   4.716%	 111.006	   1.954%	 114.224
      51	   0.000%	 117.563	  -0.810%	 118.515	  -4.103%	 122.387	  12.084%	 103.356	  12.098%	 103.340	  10.032%	 105.769	  16.374%	  98.313	  12.138%	 103.294	  12.123%	 103.311	   3.178%	 113.827	   1.960%	 115.259	   4.744%	 111.986	   2.059%	 115.143
      52	   0.000%	 112.498	  -0.973%	 113.592	  -4.673%	 117.755	  12.601%	  98.322	  12.580%	  98.345	  10.324%	 100.883	  17.029%	  93.340	  12.605%	  98.317	  12.575%	  98.351	   3.248%	 108.843	   2.018%	 110.228	   4.963%	 106.914	   1.975%	 110.276
      53	   0.000%	 116.536	  -0.857%	 117.535	  -4.520%	 121.804	  12.181%	 102.341	  12.183%	 102.339	  10.013%	 104.867	  16.485%	  97.325	  12.204%	 102.314	  12.196%	 102.324	   3.193%	 112.815	   2.003%	 114.202	   4.809%	 110.932	   1.988%	 114.220
      54	   0.000%	 117.542	  -0.854%	 118.546	  -4.183%	 122.459	  12.084%	 103.339	  12.097%	 103.323	  10.033%	 105.750	  16.359%	  98.313	  12.116%	 103.301	  12.076%	 103.348	   3.083%	 113.918	   1.969%	 115.227	   4.664%	 112.060	   2.000%	 115.192
      55	   0.000%	 118.604	  -0.829%	 119.587	  -4.113%	 123.481	  12.021%	 104.346	  12.049%	 104.313	   9.919%	 106.839	  16.250%	  99.330	  12.070%	 104.289	  12.051%	 104.311	   3.224%	 114.780	   2.008%	 116.223	   5.488%	 112.095	   2.028%	 116.198
      56	   0.000%	 113.579	  -0.816%	 114.506	  -4.050%	 118.180	  12.518%	  99.361	  12.550%	  99.325	  10.388%	 101.780	  16.946%	  94.332	  12.564%	  99.309	  12.551%	  99.324	   3.362%	 109.761	   2.103%	 111.191	   4.916%	 107.995	   2.079%	 111.217
      57	   0.000%	 117.575	  -0.835%	 118.557	  -4.118%	 122.416	  12.099%	 103.350	  12.108%	 103.339	  10.115%	 105.682	  16.361%	  98.338	  12.104%	 103.343	  12.112%	 103.334	   3.229%	 113.778	   2.047%	 115.168	   4.717%	 112.029	   2.082%	 115.127
      58	   0.000%	 118.677	  -0.713%	 119.524	  -4.090%	 123.531	  12.098%	 104.319	  12.094%	 104.325	   9.986%	 106.826	  16.299%	  99.334	  12.090%	 104.330	  12.086%	 104.334	   3.253%	 114.817	   2.074%	 116.216	   5.532%	 112.112	   2.058%	 116.234
      59	   0.000%	 119.627	  -0.774%	 120.553	  -3.966%	 124.372	  11.930%	 105.356	  11.942%	 105.341	   9.892%	 107.793	  16.143%	 100.315	  11.963%	 105.315	  11.960%	 105.320	   3.204%	 115.795	   2.020%	 117.211	   5.415%	 113.149	   2.040%	 117.186
      60	   0.000%	 114.628	  -0.806%	 115.553	  -4.212%	 119.457	  12.463%	 100.342	  12.458%	 100.348	  10.290%	 102.833	  16.841%	  95.324	  12.489%	 100.312	  12.480%	 100.323	   3.343%	 110.796	   2.136%	 112.180	   5.673%	 108.125	   2.090%	 112.233
      61	   0.000%	 118.627	  -0.797%	 119.572	  -4.138%	 123.535	  12.065%	 104.314	  12.094%	 104.280	   9.960%	 106.811	  16.295%	  99.296	  12.059%	 104.322	  12.071%	 104.307	   3.160%	 114.877	   2.066%	 116.176	   5.458%	 112.152	   2.053%	 116.191
      62	   0.000%	 119.625	  -0.720%	 120.486	  -3.886%	 124.273	  11.955%	 105.323	  11.932%	 105.351	   9.883%	 107.803	  16.158%	 100.296	  11.935%	 105.348	  11.952%	 105.327	   3.192%	 115.806	   1.989%	 117.245	   5.459%	 113.094	   2.001%	 117.231
      63	   0.000%	 120.505	  -0.864%	 121.546	  -4.163%	 125.521	  11.769%	 106.323	  11.735%	 106.364	   9.695%	 108.822	  15.934%	 101.303	  11.752%	 106.344	  11.751%	 106.345	   3.055%	 116.824	   1.919%	 118.192	   4.587%	 114.978	   1.947%	 118.158
      64	   0.000%	 109.567	  -0.885%	 110.537	 -32.174%	 144.820	  12.998%	  95.326	  13.019%	  95.303	  10.752%	  97.787	  17.554%	  90.334	  13.008%	  95.315	  12.965%	  95.362	 -10.246%	 120.794	   4.806%	 104.301	   9.482%	  99.178	   4.809%	 104.299
      65	   0.000%	 118.817	  -0.753%	 119.711	 -27.782%	 151.827	  12.145%	 104.387	  12.140%	 104.392	  10.010%	 106.923	  16.341%	  99.401	  12.143%	 104.389	  12.153%	 104.376	  -9.270%	 129.831	   4.556%	 113.403	   8.878%	 108.268	   4.542%	 113.420
      66	   0.000%	 119.707	  -0.735%	 120.587	 -27.827%	 153.017	  11.895%	 105.467	  11.945%	 105.408	   9.829%	 107.940	  16.148%	 100.376	  11.931%	 105.425	  11.909%	 105.451	  -9.338%	 130.885	   4.469%	 114.357	   8.723%	 109.265	   4.486%	 114.337
      67	   0.000%	 121.678	  -0.864%	 122.729	 -26.901%	 154.410	  11.715%	 107.424	  11.710%	 107.429	   9.721%	 109.849	  15.797%	 102.457	  11.751%	 107.379	  11.722%	 107.414	  -9.264%	 132.950	   4.305%	 116.440	   8.550%	 111.274	   4.293%	 116.454
      68	   0.000%	 115.753	  -0.767%	 116.641	 -31.364%	 152.057	  12.371%	 101.433	  12.367%	 101.438	  10.204%	 103.942	  16.721%	  96.397	  12.380%	 101.423	  12.371%	 101.433	 -12.207%	 129.882	   2.070%	 113.357	   6.440%	 108.299	   1.955%	 113.490
      69	   0.000%	 119.690	  -0.759%	 120.599	 -30.073%	 155.684	  11.920%	 105.424	  11.913%	 105.431	   9.841%	 107.911	  16.133%	 100.381	  11.949%	 105.389	  11.913%	 105.432	 -11.884%	 133.914	   1.854%	 117.471	   6.074%	 112.420	   1.866%	 117.457
      70	   0.000%	 120.573	  -0.869%	 121.620	 -30.217%	 157.006	  11.677%	 106.494	  11.736%	 106.422	  10.227%	 108.242	  15.872%	 101.435	  11.773%	 106.378	  11.733%	 106.427	 -11.953%	 134.985	   1.782%	 118.424	   6.013%	 113.323	   1.938%	 118.236
      71	   0.000%	 121.648	  -0.796%	 122.616	 -29.557%	 157.604	  11.693%	 107.424	  11.704%	 107.410	   9.665%	 109.891	  15.779%	 102.454	  11.732%	 107.377	  11.699%	 107.416	 -11.777%	 135.974	   1.920%	 119.313	   5.984%	 114.368	   1.956%	 119.269
      72	   0.000%	 116.629	  -0.870%	 117.644	 -31.177%	 152.990	  12.148%	 102.461	  12.162%	 102.444	  10.631%	 104.230	  16.485%	  97.402	  12.180%	 102.424	  12.176%	 102.428	 -12.321%	 130.998	   1.935%	 114.372	   6.210%	 109.386	   1.988%	 114.310
      73	   0.000%	 121.710	  -0.756%	 122.630	 -29.648%	 157.794	  11.729%	 107.435	  11.758%	 107.399	   9.768%	 109.821	  15.895%	 102.364	  11.753%	 107.405	  11.756%	 107.402	 -11.747%	 136.007	   1.960%	 119.324	   6.065%	 114.328	   1.913%	 119.382
      74	   0.000%	 122.691	  -0.762%	 123.626	 -29.647%	 159.065	  11.619%	 108.435	  11.692%	 108.346	   9.536%	 110.991	  15.704%	 103.424	  11.668%	 108.375	  11.654%	 108.392	 -11.618%	 136.946	   1.810%	 120.470	   5.993%	 115.338	   1.852%	 120.418
      75	   0.000%	 123.793	  -0.665%	 124.617	 -28.820%	 159.470	  11.600%	 109.433	  11.585%	 109.451	   9.622%	 111.881	  15.690%	 104.370	  11.617%	 109.412	  11.647%	 109.375	 -11.462%	 137.983	   1.887%	 121.458	   6.074%	 116.273	   2.002%	 121.315
      76	   0.000%	 119.723	  -0.766%	 120.640	 -29.727%	 155.313	  11.942%	 105.426	  11.950%	 105.416	   9.980%	 107.775	  16.137%	 100.403	  11.952%	 105.414	  11.922%	 105.450	 -11.865%	 133.928	   1.930%	 117.413	   6.164%	 112.344	   1.988%	 117.343
      77	   0.000%	 123.735	  -0.633%	 124.519	 -29.126%	 159.774	  11.567%	 109.422	  11.569%	 109.420	   9.582%	 111.879	  15.674%	 104.341	  11.547%	 109.448	  11.583%	 109.403	 -11.415%	 137.859	   1.915%	 121.365	   5.945%	 116.378	   1.906%	 121.376
      78	   0.000%	 124.670	  -0.772%	 125.633	 -28.604%	 160.330	  11.430%	 110.420	  11.414%	 110.440	   9.965%	 112.247	  15.434%	 105.428	  11.445%	 110.401	  11.428%	 110.423	 -11.449%	 138.944	   1.773%	 122.460	   5.848%	 117.380	   1.770%	 122.463
      79	   0.000%	 125.674	  -0.766%	 126.637	 -28.415%	 161.385	  11.347%	 111.413	  11.333%	 111.431	   9.416%	 113.841	  15.308%	 106.436	  11.365%	 111.391	  11.356%	 111.403	 -11.326%	 139.908	   1.828%	 123.376	   5.828%	 118.349	   1.896%	 123.291
      80	   0.000%	 120.580	  -0.884%	 121.646	 -29.838%	 156.558	  11.723%	 106.444	  11.735%	 106.429	  10.248%	 108.222	  15.900%	 101.408	  11.723%	 106.444	  11.748%	 106.414	 -11.960%	 135.001	   1.906%	 118.282	   5.993%	 113.353	   1.724%	 118.501
      81	   0.000%	 124.688	  -0.759%	 125.634	 -28.696%	 160.469	  11.441%	 110.422	  11.427%	 110.440	   9.999%	 112.220	  15.456%	 105.416	  11.448%	 110.414	  11.440%	 110.424	 -11.436%	 138.947	   1.844%	 122.389	   5.910%	 117.319	   1.784%	 122.464
      82	   0.000%	 125.646	  -0.767%	 126.610	 -28.408%	 161.340	  11.366%	 111.365	  11.348%	 111.387	   9.387%	 113.851	  15.282%	 106.445	  11.362%	 111.370	  11.340%	 111.397	 -11.389%	 139.955	   1.883%	 123.280	   5.727%	 118.450	   1.890%	 123.271
      83	   0.000%	 126.740	  -0.694%	 127.619	 -28.319%	 162.631	  11.318%	 112.395	  11.310%	 112.406	   9.370%	 114.864	  15.253%	 107.408	  11.355%	 112.348	  11.314%	 112.400	 -11.123%	 140.836	   1.913%	 124.315	   5.868%	 119.302	   1.888%	 124.347
      84	   0.000%	 121.638	  -0.827%	 122.644	 -29.181%	 157.133	  11.693%	 107.415	  11.691%	 107.417	   9.683%	 109.860	  15.782%	 102.441	  11.696%	 107.411	  11.679%	 107.432	 -11.804%	 135.997	   1.909%	 119.316	   5.991%	 114.351	   1.825%	 119.418
      85	   0.000%	 125.715	  -0.802%	 126.723	 -28.335%	 161.336	  11.376%	 111.414	  11.404%	 111.378	   9.434%	 113.855	  15.376%	 106.385	  11.370%	 111.420	  11.359%	 111.435	 -11.342%	 139.973	   1.934%	 123.283	   5.912%	 118.283	   1.957%	 123.255
      86	   0.000%	 126.713	  -0.744%	 127.656	 -28.069%	 162.280	  11.271%	 112.431	  11.324%	 112.364	   9.229%	 115.019	  15.253%	 107.385	  11.326%	 112.362	  11.298%	 112.397	 -11.217%	 140.927	   1.860%	 124.356	   5.765%	 119.408	   1.860%	 124.356
      87	   0.000%	 127.722	  -0.696%	 128.610	 -27.764%	 163.182	  11.180%	 113.442	  11.164%	 113.463	   9.218%	 115.948	  15.182%	 108.331	  11.215%	 113.398	  11.193%	 113.425	 -11.102%	 141.902	   1.892%	 125.305	   5.860%	 120.237	   1.833%	 125.380
      88	   0.000%	 122.686	  -0.769%	 123.629	 -29.312%	 158.648	  11.614%	 108.437	  11.618%	 108.433	   9.644%	 110.854	  15.701%	 103.423	  11.667%	 108.373	  11.658%	 108.383	 -11.630%	 136.955	   1.880%	 120.379	   5.996%	 115.330	   1.914%	 120.338
      89	   0.000%	 126.745	  -0.668%	 127.592	 -28.479%	 162.841	  11.343%	 112.369	  11.364%	 112.342	   9.335%	 114.914	  15.262%	 107.401	  11.344%	 112.367	  11.336%	 112.378	 -11.190%	 140.928	   1.910%	 124.324	   5.848%	 119.333	   1.928%	 124.301
      90	   0.000%	 127.710	  -0.684%	 128.583	 -27.715%	 163.105	  11.165%	 113.451	  11.177%	 113.436	   9.227%	 115.927	  15.167%	 108.340	  11.176%	 113.437	  11.225%	 113.374	 -11.146%	 141.944	   1.837%	 125.365	   5.781%	 120.327	   1.875%	 125.316
