ptest -- memset version 1.0
start	0	end	512
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
      19	   0.000%	 109.894	  -1.172%	 111.181	  11.520%	  97.234	  -0.572%	 110.522	   0.953%	 108.846	  10.065%	  98.833	  16.895%	  91.327	   6.849%	 102.367	   6.482%	 102.770	  -3.804%	 114.073	  -4.552%	 114.896	   4.251%	 105.222	  -4.099%	 114.398
      20	   0.000%	 110.132	  -1.066%	 111.307	  15.971%	  92.543	   0.234%	 109.874	   0.875%	 109.169	  14.217%	  94.475	  21.151%	  86.838	  11.171%	  97.830	  11.086%	  97.923	   0.485%	 109.598	  -0.139%	 110.285	   9.007%	 100.213	   0.276%	 109.829
      21	   0.000%	 110.576	  -0.823%	 111.486	  12.751%	  96.476	  -1.069%	 111.758	   1.065%	 109.398	  11.101%	  98.301	  17.791%	  90.903	   7.820%	 101.929	   7.876%	 101.867	  -2.743%	 113.608	  -3.445%	 114.385	   5.806%	 104.156	  -3.044%	 113.941
      22	   0.000%	 110.924	  -0.689%	 111.688	  11.701%	  97.945	   2.319%	 108.352	   0.955%	 109.864	  10.630%	  99.133	  17.319%	  91.712	   7.582%	 102.514	   7.177%	 102.963	  -3.069%	 114.328	  -3.903%	 115.253	   4.887%	 105.503	  -3.297%	 114.581
      23	   0.000%	 111.263	  -0.567%	 111.893	  11.373%	  98.610	  -0.574%	 111.902	   1.084%	 110.056	   9.737%	 100.429	  16.569%	  92.828	   6.738%	 103.766	   6.742%	 103.761	  -3.939%	 115.645	  -4.648%	 116.435	   4.296%	 106.483	  -4.079%	 115.802
      24	   0.000%	 111.606	  -0.717%	 112.405	  15.766%	  94.010	   0.476%	 111.074	   1.305%	 110.149	  13.832%	  96.169	  20.768%	  88.428	  11.051%	  99.272	  11.105%	  99.212	   0.333%	 111.233	  -0.231%	 111.863	   8.742%	 101.849	   0.153%	 111.435
      25	   0.000%	 112.056	  -0.527%	 112.646	  12.507%	  98.041	  -0.837%	 112.993	   1.330%	 110.566	  11.055%	  99.669	  17.540%	  92.401	   8.112%	 102.966	   8.032%	 103.056	  -2.572%	 114.939	  -3.376%	 115.839	   5.649%	 105.726	  -2.794%	 115.187
      26	   0.000%	 112.001	  -0.869%	 112.975	  11.364%	  99.273	   2.058%	 109.697	   1.189%	 110.670	  10.279%	 100.489	  16.938%	  93.031	   7.180%	 103.960	   6.878%	 104.297	  -3.431%	 115.844	  -3.978%	 116.457	   4.336%	 107.145	  -3.529%	 115.954
      27	   0.000%	 111.997	  -1.051%	 113.173	  10.495%	 100.243	  -0.827%	 112.923	   0.675%	 111.241	   8.973%	 101.947	  15.880%	  94.212	   5.720%	 105.591	   5.790%	 105.513	  -4.611%	 117.161	  -5.180%	 117.798	   3.837%	 107.700	  -5.099%	 117.707
      28	   0.000%	 112.730	  -0.676%	 113.493	  14.898%	  95.936	   0.347%	 112.339	   1.122%	 111.465	  13.448%	  97.570	  20.466%	  89.659	  10.564%	 100.821	  10.497%	 100.897	  -0.049%	 112.786	  -0.287%	 113.053	   8.253%	 103.426	  -0.069%	 112.808
      29	   0.000%	 112.952	  -0.696%	 113.737	  11.614%	  99.833	  -1.228%	 114.338	   1.215%	 111.579	  10.256%	 101.368	  17.047%	  93.696	   7.177%	 104.845	   7.314%	 104.691	  -3.329%	 116.712	  -3.638%	 117.061	   4.874%	 107.446	  -3.440%	 116.837
      30	   0.000%	 113.129	  -1.048%	 114.315	  10.572%	 101.169	   1.771%	 111.125	   0.798%	 112.227	   9.729%	 102.123	  16.479%	  94.486	   6.626%	 105.633	   6.194%	 106.122	  -3.787%	 117.413	  -4.116%	 117.785	   4.407%	 108.143	  -4.150%	 117.824
      31	   0.000%	 113.248	  -0.995%	 114.375	  10.071%	 101.842	  -1.227%	 114.637	   0.983%	 112.135	   8.966%	 103.094	  15.293%	  95.929	   5.940%	 106.521	   5.512%	 107.005	  -4.439%	 118.275	  -5.333%	 119.288	   3.419%	 109.377	  -4.623%	 118.483
