ptest -- memset version 1.0
start	0	end	4096
incr	128	ntry	20000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
    2560	   0.000%	 928.967	  -0.042%	 929.360	 -71.180%	1590.205	   2.908%	 901.952	   2.054%	 909.891	   0.616%	 923.241	   2.919%	 901.855	   1.785%	 912.381	   1.757%	 912.649	   7.496%	 859.335	  15.469%	 785.267	  16.421%	 776.423	  15.997%	 780.357
    2688	   0.000%	 972.514	   0.018%	 972.337	 -71.084%	1663.813	   2.780%	 945.474	   2.200%	 951.118	   0.559%	 967.081	   2.123%	 951.865	   2.253%	 950.603	   1.798%	 955.027	   7.731%	 897.332	  16.125%	 815.694	  16.391%	 813.105	  15.953%	 817.366
    2816	   0.000%	1017.433	   0.465%	1012.704	 -70.862%	1738.410	   2.931%	 987.611	   1.827%	 998.842	   1.007%	1007.191	   2.068%	 996.390	   1.416%	1003.028	   2.269%	 994.345	   7.864%	 937.421	  16.131%	 853.306	  16.707%	 847.453	  15.602%	 858.688
    2944	   0.000%	1056.116	  -0.453%	1060.900	 -71.691%	1813.252	   1.875%	1036.316	   1.312%	1042.260	   0.287%	1053.082	   1.277%	1042.634	   0.876%	1046.864	   1.116%	1044.335	   7.665%	 975.166	  15.084%	 896.808	  16.690%	 879.850	  15.157%	 896.045
    3072	   0.000%	1105.796	  -0.006%	1105.860	 -70.804%	1888.749	   1.752%	1086.419	   1.214%	1092.368	   0.445%	1100.871	   1.729%	1086.673	   1.456%	1089.700	   1.494%	1089.271	   8.215%	1014.958	  15.859%	 930.424	  16.314%	 925.396	  15.749%	 931.648
    3200	   0.000%	1157.766	   0.489%	1152.100	 -69.506%	1962.484	   2.735%	1126.097	   1.823%	1136.662	   1.415%	1141.381	   2.306%	1131.067	   2.534%	1128.430	   2.259%	1131.613	   9.521%	1047.540	  17.755%	 952.203	  16.813%	 963.114	  17.394%	 956.383
    3328	   0.000%	1190.268	  -0.603%	1197.446	 -71.050%	2035.949	   1.769%	1169.217	   1.087%	1177.332	   0.208%	1187.797	   1.319%	1174.567	   0.962%	1178.812	   1.226%	1175.678	   8.502%	1089.076	  16.706%	 991.418	  16.394%	 995.135	  14.754%	1014.662
    3456	   0.000%	1229.660	  -0.189%	1231.990	 -71.453%	2108.287	   1.662%	1209.222	   0.811%	1219.685	  -0.038%	1230.124	   1.026%	1217.038	   0.839%	1219.347	   0.929%	1218.239	   7.436%	1138.223	  16.790%	1023.206	  15.990%	1033.033	  15.407%	1040.204
    3584	   0.000%	1277.823	  -0.050%	1278.463	 -70.897%	2183.763	   2.297%	1248.474	   1.453%	1259.255	   0.526%	1271.102	   2.193%	1249.803	   0.949%	1265.695	   1.588%	1257.535	   8.393%	1170.579	  15.842%	1075.395	  16.723%	1064.127	  15.565%	1078.928
    3712	   0.000%	1316.455	  -0.202%	1319.117	 -71.305%	2255.157	   1.758%	1293.311	   0.206%	1313.748	   0.416%	1310.976	   1.258%	1299.893	   0.986%	1303.474	   1.012%	1303.138	   8.151%	1209.145	  15.937%	1106.656	  15.883%	1107.369	  15.827%	1108.104
    3840	   0.000%	1361.458	  -0.386%	1366.709	 -73.312%	2359.573	   2.013%	1334.056	   1.043%	1347.253	   0.049%	1360.785	   1.223%	1344.809	   0.877%	1349.513	   0.649%	1352.617	   8.105%	1251.111	  15.955%	1144.235	  16.659%	1134.658	  16.211%	1140.758
    3968	   0.000%	1405.570	   0.020%	1405.294	 -73.397%	2437.215	   2.279%	1373.541	   1.063%	1390.626	   0.768%	1394.769	   1.289%	1387.459	   1.325%	1386.946	   1.063%	1390.626	   7.975%	1293.478	  15.623%	1185.978	  16.380%	1175.339	  15.881%	1182.354
    4096	   0.000%	1448.609	  -0.317%	1453.201	 -70.927%	2476.063	   1.548%	1426.180	   0.910%	1435.430	   0.047%	1447.927	   1.277%	1430.103	   0.581%	1440.189	   0.417%	1442.565	   8.675%	1322.943	  15.330%	1226.535	  16.256%	1213.120	  15.298%	1226.994
