ptest -- memset version 1.0
start	0	end	4096
incr	128	ntry	20000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
       0	   0.000%	  75.057	  -1.257%	  76.000	  -5.254%	  79.000	  22.725%	  58.000	  22.725%	  58.000	  -4.939%	  78.764	   8.069%	  69.000	  -7.611%	  80.769	  -7.919%	  81.000	 -23.884%	  92.983	 -25.893%	  94.491	 -11.916%	  84.000	 -25.170%	  93.948
     128	   0.000%	 141.778	   0.448%	 141.143	 -27.066%	 180.152	  -2.641%	 145.523	   1.622%	 139.479	   2.180%	 138.687	   6.379%	 132.734	   2.303%	 138.512	   3.461%	 136.871	 -19.314%	 169.162	  -8.280%	 153.518	  -5.270%	 149.250	  -6.442%	 150.912
     256	   0.000%	 181.804	  -1.225%	 184.032	 -39.126%	 252.937	  -6.261%	 193.187	   1.677%	 178.755	   4.246%	 174.085	  -1.951%	 185.352	   3.446%	 175.539	   1.378%	 179.299	 -14.901%	 208.895	 -12.328%	 204.218	  -5.511%	 191.824	  -7.827%	 196.033
     384	   0.000%	 226.921	  -0.376%	 227.774	 -43.465%	 325.553	  -6.162%	 240.902	   2.052%	 222.263	   3.548%	 218.869	  -4.430%	 236.974	   2.393%	 221.490	   1.826%	 222.777	 -13.083%	 256.609	  -8.686%	 246.632	  -5.285%	 238.912	  -0.443%	 227.926
     512	   0.000%	 271.511	   0.286%	 270.734	 -46.894%	 398.832	  -6.355%	 288.766	   3.566%	 261.827	   3.791%	 261.217	  -6.582%	 289.381	   4.028%	 260.574	   2.386%	 265.032	 -10.466%	 299.926	  -4.077%	 282.581	  -4.595%	 283.985	   2.982%	 263.414
     640	   0.000%	 314.011	   0.571%	 312.218	 -50.397%	 472.265	  -6.811%	 335.398	   2.857%	 305.041	   3.494%	 303.038	  -8.491%	 340.673	   2.598%	 305.854	   2.559%	 305.976	  -9.017%	 342.325	  -2.748%	 322.641	  -4.121%	 326.951	   6.079%	 294.922
     768	   0.000%	 354.744	   0.258%	 353.830	 -53.897%	 545.939	  -7.559%	 381.559	   2.968%	 344.216	   3.698%	 341.624	  -9.990%	 390.183	   2.465%	 346.000	   1.994%	 347.672	  -9.430%	 388.194	  -2.535%	 363.738	  -4.907%	 372.152	   7.493%	 328.162
     896	   0.000%	 396.401	  -0.093%	 396.771	 -56.002%	 618.395	  -8.289%	 429.260	   2.848%	 385.111	   3.651%	 381.930	 -11.763%	 443.031	   2.597%	 386.107	   2.023%	 388.379	  -9.056%	 432.299	  -1.535%	 402.486	  -5.806%	 419.414	   9.283%	 359.601
    1024	   0.000%	 438.082	  -0.316%	 439.467	 -58.030%	 692.300	  -8.638%	 475.925	   3.193%	 424.096	   3.213%	 424.005	 -12.983%	 494.957	   2.323%	 427.905	   1.516%	 431.441	  -8.766%	 476.484	  -1.499%	 444.651	  -5.713%	 463.110	  10.068%	 393.974
    1152	   0.000%	 478.790	  -0.717%	 482.225	 -60.312%	 767.559	  -9.044%	 522.091	   2.945%	 464.688	   2.770%	 465.527	 -14.223%	 546.887	   2.092%	 468.775	   1.132%	 473.371	  -8.561%	 519.781	  -0.957%	 483.373	  -5.679%	 505.979	  11.150%	 425.404
