memset test:
start	0
end	512
incr	1
ntry	10000
align	1
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
       0	164.040	164.040	206.907	206.907	141.534	141.534	141.196	141.196
       1	173.493	173.493	216.591	216.591	153.428	153.428	153.477	153.477
       2	180.826	 90.413	216.098	108.049	212.425	106.213	161.458	 80.729
       3	175.617	 58.539	214.974	 71.658	216.034	 72.011	220.107	 73.369
       4	289.132	 72.283	213.086	 53.271	216.081	 54.020	220.058	 55.015
       5	298.935	 59.787	213.537	 42.707	216.073	 43.215	220.034	 44.007
       6	294.841	 49.140	204.031	 34.005	216.037	 36.006	220.052	 36.675
       7	289.867	 41.410	204.054	 29.151	216.062	 30.866	220.065	 31.438
       8	284.031	 35.504	209.596	 26.199	216.046	 27.006	220.078	 27.510
       9	300.050	 33.339	208.459	 23.162	218.911	 24.323	220.064	 24.452
      10	300.045	 30.004	208.449	 20.845	222.712	 22.271	220.067	 22.007
      11	300.067	 27.279	208.464	 18.951	222.767	 20.252	220.063	 20.006
      12	252.106	 21.009	209.479	 17.457	222.697	 18.558	220.127	 18.344
      13	252.102	 19.392	211.017	 16.232	218.618	 16.817	220.092	 16.930
      14	252.048	 18.003	204.082	 14.577	216.093	 15.435	220.102	 15.722
      15	252.049	 16.803	204.070	 13.605	216.056	 14.404	220.108	 14.674
      16	252.149	 15.759	215.061	 13.441	216.133	 13.508	220.136	 13.758
      17	252.115	 14.830	213.542	 12.561	226.462	 13.321	220.106	 12.947
      18	252.096	 14.005	213.560	 11.864	230.256	 12.792	220.134	 12.230
      19	252.086	 13.268	211.675	 11.141	230.291	 12.121	220.132	 11.586
      20	252.129	 12.606	214.216	 10.711	230.228	 11.511	220.111	 11.006
      21	252.097	 12.005	215.026	 10.239	231.026	 11.001	220.091	 10.481
      22	252.119	 11.460	215.026	  9.774	231.066	 10.503	220.093	 10.004
      23	252.110	 10.961	215.030	  9.349	231.067	 10.046	220.159	  9.572
      24	252.131	 10.505	221.843	  9.243	231.050	  9.627	220.219	  9.176
      25	252.108	 10.084	218.240	  8.730	233.985	  9.359	220.197	  8.808
      26	252.130	  9.697	218.291	  8.396	237.702	  9.142	220.178	  8.468
      27	252.137	  9.338	218.114	  8.078	237.757	  8.806	220.174	  8.155
      28	252.171	  9.006	221.954	  7.927	237.702	  8.489	220.176	  7.863
      29	252.228	  8.698	217.957	  7.516	239.829	  8.270	220.136	  7.591
      30	252.127	  8.404	204.168	  6.806	216.174	  7.206	220.179	  7.339
      31	252.091	  8.132	204.155	  6.586	216.139	  6.972	220.167	  7.102
      32	252.272	  7.883	232.172	  7.255	216.355	  6.761	220.305	  6.885
      33	252.196	  7.642	225.883	  6.845	241.437	  7.316	220.166	  6.672
      34	252.254	  7.419	226.197	  6.653	245.198	  7.212	220.267	  6.478
      35	252.146	  7.204	225.895	  6.454	245.156	  7.004	220.230	  6.292
      36	252.245	  7.007	229.464	  6.374	245.192	  6.811	220.281	  6.119
      37	252.299	  6.819	230.375	  6.226	246.277	  6.656	220.258	  5.953
      38	252.170	  6.636	230.370	  6.062	250.164	  6.583	220.281	  5.797
      39	256.257	  6.571	230.505	  5.910	250.179	  6.415	228.145	  5.850
      40	256.294	  6.407	229.466	  5.737	250.170	  6.254	228.274	  5.707
      41	256.333	  6.252	230.079	  5.612	252.885	  6.168	228.260	  5.567
      42	256.339	  6.103	230.258	  5.482	259.278	  6.173	228.283	  5.435
      43	260.285	  6.053	230.247	  5.355	259.302	  6.030	228.328	  5.310
      44	260.334	  5.917	229.400	  5.214	259.231	  5.892	228.282	  5.188
      45	260.388	  5.786	230.314	  5.118	254.203	  5.649	228.204	  5.071
      46	260.253	  5.658	231.847	  5.040	254.218	  5.526	228.189	  4.961
      47	260.253	  5.537	231.607	  4.928	254.228	  5.409	232.272	  4.942
      48	260.333	  5.424	229.675	  4.785	254.031	  5.292	232.377	  4.841
      49	260.362	  5.314	229.986	  4.694	264.091	  5.390	232.303	  4.741
      50	260.386	  5.208	229.988	  4.600	270.669	  5.413	232.295	  4.646
      51	264.363	  5.184	229.986	  4.510	270.693	  5.308	232.400	  4.557
      52	264.358	  5.084	229.570	  4.415	270.687	  5.206	232.389	  4.469
      53	264.357	  4.988	230.927	  4.357	271.713	  5.127	232.429	  4.385
      54	264.330	  4.895	230.666	  4.272	273.098	  5.057	232.409	  4.304
      55	264.366	  4.807	230.743	  4.195	273.145	  4.966	236.361	  4.297
      56	264.400	  4.721	229.654	  4.101	273.160	  4.878	236.380	  4.221
      57	264.447	  4.639	229.998	  4.035	275.946	  4.841	236.293	  4.145
      58	264.441	  4.559	229.826	  3.963	281.045	  4.846	236.399	  4.076
      59	268.306	  4.548	230.041	  3.899	281.048	  4.764	236.434	  4.007
      60	268.336	  4.472	229.718	  3.829	280.983	  4.683	236.401	  3.940
      61	268.497	  4.402	232.312	  3.808	292.558	  4.796	236.441	  3.876
      62	268.460	  4.330	232.374	  3.748	292.512	  4.718	236.406	  3.813
      63	268.505	  4.262	232.608	  3.692	292.554	  4.644	240.447	  3.817
      64	268.498	  4.195	232.896	  3.639	292.513	  4.571	240.422	  3.757
      65	268.498	  4.131	230.054	  3.539	284.623	  4.379	240.437	  3.699
      66	268.490	  4.068	230.447	  3.492	291.397	  4.415	240.409	  3.643
      67	272.446	  4.066	235.040	  3.508	291.385	  4.349	240.469	  3.589
      68	272.463	  4.007	236.321	  3.475	291.411	  4.285	240.494	  3.537
      69	272.502	  3.949	235.722	  3.416	292.382	  4.237	240.465	  3.485
      70	272.463	  3.892	235.499	  3.364	293.387	  4.191	240.494	  3.436
      71	272.455	  3.837	235.779	  3.321	294.354	  4.146	244.435	  3.443
      72	272.474	  3.784	234.642	  3.259	293.343	  4.074	244.466	  3.395
      73	272.518	  3.733	235.018	  3.219	296.049	  4.055	244.462	  3.349
      74	272.530	  3.683	235.277	  3.179	303.355	  4.099	244.462	  3.304
      75	276.532	  3.687	235.263	  3.137	303.454	  4.046	244.562	  3.261
      76	276.561	  3.639	233.916	  3.078	303.497	  3.993	244.571	  3.218
      77	276.420	  3.590	237.009	  3.078	296.391	  3.849	244.583	  3.176
      78	276.431	  3.544	236.672	  3.034	298.372	  3.825	244.575	  3.136
      79	276.469	  3.500	237.137	  3.002	298.386	  3.777	248.488	  3.145
      80	276.545	  3.457	234.371	  2.930	297.359	  3.717	248.498	  3.106
      81	276.659	  3.416	235.401	  2.906	308.749	  3.812	248.528	  3.068
      82	276.640	  3.374	234.950	  2.865	313.518	  3.823	248.562	  3.031
      83	280.570	  3.380	235.030	  2.832	313.630	  3.779	248.605	  2.995
      84	280.607	  3.341	234.942	  2.797	313.637	  3.734	248.645	  2.960
      85	280.598	  3.301	235.515	  2.771	316.534	  3.724	248.606	  2.925
      86	280.610	  3.263	235.754	  2.741	311.520	  3.622	248.677	  2.892
      87	280.631	  3.226	235.678	  2.709	320.473	  3.684	252.593	  2.903
      88	280.639	  3.189	234.171	  2.661	320.317	  3.640	252.598	  2.870
      89	280.687	  3.154	234.752	  2.638	324.172	  3.642	252.471	  2.837
      90	280.680	  3.119	235.012	  2.611	328.476	  3.650	252.474	  2.805
      91	284.506	  3.126	234.962	  2.582	328.501	  3.610	252.699	  2.777
      92	284.546	  3.093	234.896	  2.553	328.473	  3.570	252.692	  2.747
      93	284.510	  3.059	240.306	  2.584	306.648	  3.297	252.582	  2.716
      94	284.671	  3.028	239.602	  2.549	308.477	  3.282	252.570	  2.687
      95	284.522	  2.995	239.334	  2.519	308.512	  3.247	256.544	  2.700
      96	284.744	  2.966	232.426	  2.421	308.485	  3.213	256.715	  2.674
      97	284.751	  2.936	232.854	  2.401	336.892	  3.473	256.687	  2.646
      98	284.796	  2.906	232.816	  2.376	341.572	  3.485	256.665	  2.619
      99	288.677	  2.916	270.597	  2.733	341.636	  3.451	256.716	  2.593
     100	288.719	  2.887	273.004	  2.730	341.546	  3.415	256.743	  2.567
     101	288.749	  2.859	273.834	  2.711	342.877	  3.395	256.752	  2.542
     102	288.731	  2.831	270.533	  2.652	346.735	  3.399	256.724	  2.517
     103	288.770	  2.804	271.006	  2.631	346.698	  3.366	260.683	  2.531
     104	288.865	  2.778	270.357	  2.600	346.867	  3.335	260.742	  2.507
     105	288.855	  2.751	267.457	  2.547	349.988	  3.333	260.758	  2.483
     106	288.838	  2.725	267.406	  2.523	354.620	  3.345	260.749	  2.460
     107	292.801	  2.736	271.161	  2.534	354.586	  3.314	260.888	  2.438
     108	292.855	  2.712	269.928	  2.499	354.735	  3.285	260.860	  2.415
     109	292.851	  2.687	270.319	  2.480	345.427	  3.169	260.879	  2.393
     110	292.843	  2.662	270.905	  2.463	348.634	  3.169	260.897	  2.372
     111	292.917	  2.639	270.672	  2.438	348.651	  3.141	264.797	  2.386
     112	292.966	  2.616	271.317	  2.422	348.673	  3.113	264.775	  2.364
     113	293.038	  2.593	267.574	  2.368	362.219	  3.205	264.848	  2.344
     114	293.029	  2.570	267.565	  2.347	367.179	  3.221	264.872	  2.323
     115	296.959	  2.582	267.513	  2.326	367.101	  3.192	264.928	  2.304
     116	296.893	  2.559	267.579	  2.307	366.370	  3.158	269.229	  2.321
     117	296.923	  2.538	267.554	  2.287	367.511	  3.141	264.952	  2.265
