memset test:
start	0
end	512
incr	1
ntry	10000
align	0
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
       0	164.053	164.053	204.011	204.011	143.112	143.112	144.694	144.694
       1	171.189	171.189	209.643	209.643	210.886	210.886	205.655	205.655
       2	169.860	 84.930	210.837	105.419	208.195	104.098	210.857	105.429
       3	169.649	 56.550	209.582	 69.861	207.733	 69.244	207.433	 69.144
       4	292.882	 73.220	204.033	 51.008	205.473	 51.368	200.025	 50.006
       5	298.832	 59.766	214.902	 42.980	211.959	 42.392	211.767	 42.353
       6	295.404	 49.234	204.036	 34.006	200.058	 33.343	200.057	 33.343
       7	284.031	 40.576	204.042	 29.149	200.070	 28.581	200.070	 28.581
       8	284.030	 35.504	204.073	 25.509	200.048	 25.006	200.041	 25.005
       9	300.063	 33.340	204.053	 22.673	200.084	 22.232	200.059	 22.229
      10	300.054	 30.005	204.068	 20.407	200.083	 20.008	200.069	 20.007
      11	300.045	 27.277	204.065	 18.551	200.069	 18.188	200.081	 18.189
      12	252.104	 21.009	204.081	 17.007	200.109	 16.676	200.099	 16.675
      13	252.095	 19.392	204.058	 15.697	200.087	 15.391	200.088	 15.391
      14	252.139	 18.010	204.081	 14.577	200.124	 14.295	200.067	 14.290
      15	252.131	 16.809	204.070	 13.605	200.086	 13.339	200.146	 13.343
      16	252.132	 15.758	204.059	 12.754	200.071	 12.504	200.095	 12.506
      17	252.144	 14.832	204.108	 12.006	200.127	 11.772	200.087	 11.770
      18	252.139	 14.008	204.091	 11.338	200.138	 11.119	200.133	 11.119
      19	252.130	 13.270	204.086	 10.741	200.117	 10.532	200.119	 10.533
      20	252.142	 12.607	204.074	 10.204	200.140	 10.007	200.117	 10.006
      21	252.134	 12.006	204.137	  9.721	200.123	  9.530	200.162	  9.532
      22	252.170	 11.462	204.142	  9.279	200.166	  9.098	200.167	  9.099
      23	252.163	 10.964	204.100	  8.874	200.178	  8.703	200.161	  8.703
      24	252.137	 10.506	204.092	  8.504	200.209	  8.342	200.167	  8.340
      25	252.225	 10.089	204.117	  8.165	200.209	  8.008	200.176	  8.007
      26	252.129	  9.697	204.132	  7.851	200.201	  7.700	200.189	  7.700
      27	252.177	  9.340	204.144	  7.561	200.196	  7.415	200.183	  7.414
      28	252.179	  9.006	204.173	  7.292	200.190	  7.150	200.188	  7.150
      29	252.208	  8.697	204.201	  7.041	200.208	  6.904	200.215	  6.904
      30	252.254	  8.408	204.155	  6.805	200.213	  6.674	200.232	  6.674
      31	252.230	  8.136	204.147	  6.585	200.226	  6.459	200.243	  6.459
      32	252.242	  7.883	204.151	  6.380	200.268	  6.258	200.226	  6.257
      33	252.223	  7.643	204.207	  6.188	200.171	  6.066	200.235	  6.068
      34	252.281	  7.420	204.174	  6.005	200.177	  5.888	200.242	  5.889
      35	252.269	  7.208	204.169	  5.833	200.238	  5.721	200.236	  5.721
      36	256.262	  7.118	229.869	  6.385	204.236	  5.673	204.276	  5.674
      37	256.296	  6.927	229.470	  6.202	204.316	  5.522	204.270	  5.521
      38	256.273	  6.744	229.575	  6.041	204.262	  5.375	204.304	  5.376
      39	256.291	  6.572	229.793	  5.892	204.313	  5.239	204.254	  5.237
      40	260.264	  6.507	229.647	  5.741	208.160	  5.204	208.254	  5.206
      41	260.325	  6.349	229.502	  5.598	208.252	  5.079	208.185	  5.078
      42	260.330	  6.198	229.412	  5.462	208.186	  4.957	208.225	  4.958
      43	260.292	  6.053	229.627	  5.340	208.183	  4.841	208.278	  4.844
      44	260.361	  5.917	229.799	  5.223	208.314	  4.734	208.291	  4.734
      45	260.433	  5.787	229.620	  5.103	208.375	  4.631	208.310	  4.629
      46	260.362	  5.660	229.266	  4.984	208.334	  4.529	208.325	  4.529
      47	260.338	  5.539	229.391	  4.881	208.246	  4.431	208.355	  4.433
      48	264.296	  5.506	229.389	  4.779	212.240	  4.422	212.260	  4.422
      49	264.347	  5.395	229.556	  4.685	212.201	  4.331	212.226	  4.331
      50	264.369	  5.287	229.508	  4.590	212.196	  4.244	212.252	  4.245
      51	264.371	  5.184	229.689	  4.504	212.253	  4.162	212.250	  4.162
      52	264.416	  5.085	229.662	  4.417	212.355	  4.084	212.380	  4.084
      53	264.442	  4.989	229.580	  4.332	212.354	  4.007	212.411	  4.008
      54	264.434	  4.897	228.236	  4.227	212.357	  3.933	212.412	  3.934
      55	264.437	  4.808	229.185	  4.167	212.378	  3.861	212.396	  3.862
      56	268.337	  4.792	229.663	  4.101	216.316	  3.863	216.274	  3.862
      57	268.344	  4.708	229.713	  4.030	216.327	  3.795	216.268	  3.794
      58	268.327	  4.626	229.790	  3.962	216.211	  3.728	216.312	  3.730
      59	268.336	  4.548	229.907	  3.897	216.225	  3.665	216.300	  3.666
      60	268.430	  4.474	229.808	  3.830	216.448	  3.607	216.387	  3.606
      61	268.510	  4.402	228.404	  3.744	216.438	  3.548	216.473	  3.549
      62	268.457	  4.330	228.542	  3.686	216.446	  3.491	216.424	  3.491
      63	268.471	  4.261	228.499	  3.627	216.474	  3.436	216.455	  3.436
      64	272.401	  4.256	236.548	  3.696	220.362	  3.443	220.385	  3.444
      65	272.429	  4.191	236.148	  3.633	220.300	  3.389	220.328	  3.390
      66	272.417	  4.128	236.434	  3.582	220.332	  3.338	220.261	  3.337
      67	272.439	  4.066	236.388	  3.528	220.340	  3.289	220.320	  3.288
      68	272.498	  4.007	236.458	  3.477	220.540	  3.243	220.512	  3.243
      69	272.546	  3.950	236.109	  3.422	220.521	  3.196	220.525	  3.196
      70	272.527	  3.893	236.561	  3.379	220.529	  3.150	220.553	  3.151
      71	272.525	  3.838	236.244	  3.327	220.564	  3.107	220.536	  3.106
      72	276.476	  3.840	236.085	  3.279	224.460	  3.118	224.425	  3.117
      73	276.591	  3.789	235.579	  3.227	224.441	  3.075	224.388	  3.074
      74	276.561	  3.737	235.823	  3.187	224.405	  3.032	224.386	  3.032
      75	276.547	  3.687	236.554	  3.154	224.318	  2.991	224.451	  2.993
      76	276.578	  3.639	235.935	  3.104	224.490	  2.954	224.565	  2.955
      77	276.615	  3.592	235.926	  3.064	224.536	  2.916	224.601	  2.917
      78	276.594	  3.546	235.712	  3.022	224.514	  2.878	224.581	  2.879
