memset test:
start	0
end	512
incr	1
ntry	10000
align	3
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
      80	276.523	  3.457	236.179	  2.952	314.919	  3.936	232.541	  2.907
      81	280.606	  3.464	236.769	  2.923	308.779	  3.812	236.537	  2.920
      82	280.622	  3.422	236.120	  2.880	313.542	  3.824	236.464	  2.884
      83	280.614	  3.381	236.815	  2.853	313.604	  3.778	236.553	  2.850
      84	280.607	  3.341	236.119	  2.811	313.623	  3.734	236.603	  2.817
      85	280.624	  3.301	236.977	  2.788	314.648	  3.702	236.595	  2.783
      86	280.672	  3.264	236.624	  2.751	320.761	  3.730	236.683	  2.752
      87	280.694	  3.226	235.603	  2.708	320.877	  3.688	236.691	  2.721
      88	280.677	  3.190	235.091	  2.671	320.756	  3.645	236.664	  2.689
      89	284.557	  3.197	235.226	  2.643	316.184	  3.553	240.649	  2.704
      90	284.565	  3.162	234.564	  2.606	328.336	  3.648	240.627	  2.674
      91	284.564	  3.127	235.606	  2.589	328.388	  3.609	240.636	  2.644
      92	284.561	  3.093	234.825	  2.552	328.490	  3.571	240.611	  2.615
      93	284.539	  3.060	238.792	  2.568	304.631	  3.276	240.674	  2.588
      94	284.751	  3.029	234.818	  2.498	339.227	  3.609	240.784	  2.562
      95	284.797	  2.998	234.903	  2.473	339.916	  3.578	240.802	  2.535
      96	284.748	  2.966	234.619	  2.444	339.938	  3.541	240.784	  2.508
      97	288.758	  2.977	266.088	  2.743	332.806	  3.431	244.685	  2.523
      98	288.778	  2.947	263.694	  2.691	341.426	  3.484	244.705	  2.497
      99	288.740	  2.917	263.726	  2.664	341.512	  3.450	244.686	  2.472
     100	288.745	  2.887	265.468	  2.655	341.494	  3.415	244.674	  2.447
     101	288.799	  2.859	266.794	  2.642	340.423	  3.371	244.848	  2.424
     102	288.870	  2.832	262.806	  2.577	349.349	  3.425	244.818	  2.400
     103	288.843	  2.804	264.077	  2.564	349.426	  3.392	244.812	  2.377
     104	288.833	  2.777	265.841	  2.556	349.404	  3.360	244.806	  2.354
     105	292.825	  2.789	263.569	  2.510	345.496	  3.290	248.818	  2.370
     106	292.900	  2.763	266.350	  2.513	354.565	  3.345	248.835	  2.347
     107	292.843	  2.737	263.720	  2.465	354.653	  3.315	248.774	  2.325
     108	292.855	  2.712	263.888	  2.443	354.597	  3.283	248.786	  2.304
     109	292.974	  2.688	266.812	  2.448	347.544	  3.188	248.924	  2.284
     110	292.971	  2.663	263.369	  2.394	366.403	  3.331	252.806	  2.298
     111	292.944	  2.639	264.511	  2.383	366.548	  3.302	248.896	  2.242
     112	292.957	  2.616	263.532	  2.353	366.493	  3.272	252.827	  2.257
     113	296.991	  2.628	264.633	  2.342	359.313	  3.180	252.775	  2.237
     114	297.035	  2.606	264.414	  2.319	366.924	  3.219	252.763	  2.217
     115	297.048	  2.583	264.926	  2.304	367.063	  3.192	252.775	  2.198
     116	296.988	  2.560	264.163	  2.277	367.061	  3.164	252.789	  2.179
     117	297.222	  2.540	264.400	  2.260	365.808	  3.127	252.941	  2.162
     118	297.092	  2.518	264.775	  2.244	375.666	  3.184	258.657	  2.192
     119	297.092	  2.497	264.784	  2.225	375.632	  3.157	258.368	  2.171
     120	297.085	  2.476	264.474	  2.204	375.756	  3.131	257.312	  2.144
     121	300.980	  2.487	264.936	  2.190	371.660	  3.072	252.896	  2.090
     122	301.073	  2.468	265.768	  2.178	379.536	  3.111	252.642	  2.071
     123	300.991	  2.447	264.921	  2.154	379.616	  3.086	259.797	  2.112
     124	301.044	  2.428	264.406	  2.132	379.444	  3.060	259.364	  2.092
     125	301.432	  2.411	269.338	  2.155	392.448	  3.140	265.047	  2.120
     126	300.934	  2.388	266.021	  2.111	393.261	  3.121	264.259	  2.097
     127	300.862	  2.369	266.075	  2.095	393.153	  3.096	263.995	  2.079
     128	300.906	  2.351	265.375	  2.073	392.310	  3.065	263.723	  2.060
     129	305.306	  2.367	288.926	  2.240	384.259	  2.979	257.337	  1.995
     130	311.545	  2.397	290.452	  2.234	394.193	  3.032	266.118	  2.047
     131	305.290	  2.330	291.333	  2.224	394.157	  3.009	257.358	  1.965
     132	305.492	  2.314	290.735	  2.203	394.190	  2.986	257.473	  1.951
     133	305.651	  2.298	291.287	  2.190	392.818	  2.954	280.352	  2.108
