memset test:
start	0
end	512
incr	1
ntry	10000
align	2
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
       0	164.070	164.070	206.979	206.979	141.391	141.391	141.069	141.069
       1	173.014	173.014	210.726	210.726	153.738	153.738	156.220	156.220
       2	172.133	 86.067	209.084	104.542	212.439	106.220	163.328	 81.664
       3	176.457	 58.819	209.818	 69.939	212.022	 70.674	212.455	 70.818
       4	292.762	 73.191	205.744	 51.436	212.044	 53.011	212.059	 53.015
       5	295.209	 59.042	215.989	 43.198	212.031	 42.406	212.031	 42.406
       6	296.421	 49.403	204.032	 34.005	212.054	 35.342	212.055	 35.343
       7	284.024	 40.575	204.059	 29.151	212.107	 30.301	212.088	 30.298
       8	284.029	 35.504	209.543	 26.193	212.081	 26.510	212.066	 26.508
       9	300.047	 33.339	208.464	 23.163	212.073	 23.564	212.070	 23.563
      10	300.042	 30.004	208.455	 20.846	212.100	 21.210	212.057	 21.206
      11	300.053	 27.278	208.488	 18.953	212.073	 19.279	212.080	 19.280
      12	252.111	 21.009	209.553	 17.463	212.093	 17.674	212.058	 17.672
      13	252.117	 19.394	211.015	 16.232	212.086	 16.314	212.102	 16.316
      14	252.049	 18.004	204.095	 14.578	212.112	 15.151	212.110	 15.151
      15	252.152	 16.810	204.115	 13.608	212.117	 14.141	212.186	 14.146
      16	252.146	 15.759	215.080	 13.443	212.096	 13.256	212.130	 13.258
      17	252.123	 14.831	213.559	 12.562	212.116	 12.477	212.081	 12.475
      18	252.092	 14.005	213.565	 11.865	212.151	 11.786	212.121	 11.785
      19	252.145	 13.271	211.694	 11.142	212.117	 11.164	212.140	 11.165
      20	252.136	 12.607	214.260	 10.713	212.135	 10.607	212.128	 10.606
      21	252.148	 12.007	217.789	 10.371	212.139	 10.102	212.099	 10.100
      22	252.120	 11.460	215.025	  9.774	212.173	  9.644	212.178	  9.644
      23	252.159	 10.963	215.040	  9.350	212.164	  9.225	212.169	  9.225
      24	252.143	 10.506	221.854	  9.244	212.220	  8.843	212.170	  8.840
      25	252.160	 10.086	218.258	  8.730	212.192	  8.488	212.115	  8.485
      26	252.118	  9.697	218.277	  8.395	212.224	  8.162	212.193	  8.161
      27	252.167	  9.340	218.122	  8.079	212.192	  7.859	212.187	  7.859
      28	252.190	  9.007	221.978	  7.928	216.176	  7.721	216.134	  7.719
      29	252.232	  8.698	226.368	  7.806	216.203	  7.455	216.126	  7.453
      30	252.112	  8.404	204.155	  6.805	216.123	  7.204	212.200	  7.073
      31	252.236	  8.137	204.268	  6.589	216.277	  6.977	212.294	  6.848
      32	252.269	  7.883	232.210	  7.257	216.293	  6.759	212.294	  6.634
      33	252.194	  7.642	226.167	  6.854	214.087	  6.487	212.216	  6.431
      34	252.211	  7.418	225.905	  6.644	212.170	  6.240	212.252	  6.243
      35	252.164	  7.205	226.188	  6.463	212.256	  6.064	212.241	  6.064
      36	252.260	  7.007	229.753	  6.382	212.168	  5.894	212.275	  5.897
      37	252.186	  6.816	229.659	  6.207	212.330	  5.739	212.280	  5.737
      38	256.219	  6.743	231.138	  6.083	220.165	  5.794	220.276	  5.797
      39	256.299	  6.572	229.536	  5.886	220.286	  5.648	220.242	  5.647
      40	256.300	  6.408	229.604	  5.740	220.217	  5.505	220.281	  5.507
      41	256.320	  6.252	229.761	  5.604	220.272	  5.372	220.170	  5.370
      42	260.328	  6.198	229.634	  5.467	224.180	  5.338	220.280	  5.245
      43	260.311	  6.054	229.868	  5.346	224.187	  5.214	220.341	  5.124
      44	260.342	  5.917	229.426	  5.214	224.256	  5.097	220.281	  5.006
      45	260.257	  5.783	229.524	  5.101	224.315	  4.985	220.207	  4.893
      46	260.281	  5.658	229.736	  4.994	224.270	  4.875	224.187	  4.874
      47	260.339	  5.539	229.758	  4.888	224.342	  4.773	224.369	  4.774
      48	260.333	  5.424	229.728	  4.786	224.243	  4.672	224.375	  4.674
      49	260.381	  5.314	229.758	  4.689	224.154	  4.575	224.313	  4.578
      50	264.358	  5.287	229.975	  4.599	224.310	  4.486	224.371	  4.487
      51	264.355	  5.183	229.711	  4.504	224.357	  4.399	224.374	  4.399
      52	264.365	  5.084	229.722	  4.418	224.358	  4.315	224.393	  4.315
      53	264.351	  4.988	229.857	  4.337	224.267	  4.231	224.386	  4.234
      54	264.369	  4.896	229.552	  4.251	228.244	  4.227	228.356	  4.229
