memset test:
start	0
end	512
incr	1
ntry	10000
align	2
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
      55	264.410	  4.807	229.649	  4.175	228.375	  4.152	228.393	  4.153
      56	264.413	  4.722	229.652	  4.101	228.401	  4.079	228.357	  4.078
      57	264.442	  4.639	229.962	  4.034	228.423	  4.007	228.378	  4.007
      58	268.329	  4.626	228.253	  3.935	228.383	  3.938	228.413	  3.938
      59	268.352	  4.548	229.486	  3.890	228.395	  3.871	228.412	  3.871
      60	268.347	  4.472	229.583	  3.826	228.432	  3.807	228.392	  3.807
      61	268.503	  4.402	232.825	  3.817	228.444	  3.745	228.459	  3.745
      62	268.472	  4.330	232.932	  3.757	232.468	  3.749	232.465	  3.749
      63	268.505	  4.262	232.721	  3.694	232.481	  3.690	232.482	  3.690
      64	268.474	  4.195	232.616	  3.635	232.457	  3.632	232.477	  3.632
      65	268.498	  4.131	229.959	  3.538	232.427	  3.576	232.419	  3.576
      66	272.418	  4.128	236.400	  3.582	232.478	  3.522	232.477	  3.522
      67	272.473	  4.067	236.107	  3.524	232.475	  3.470	232.495	  3.470
      68	272.480	  4.007	236.075	  3.472	232.494	  3.419	232.503	  3.419
      69	272.476	  3.949	236.528	  3.428	232.491	  3.369	232.494	  3.369
      70	272.437	  3.892	236.615	  3.380	236.371	  3.377	236.456	  3.378
      71	272.525	  3.838	236.522	  3.331	236.474	  3.331	236.496	  3.331
      72	272.474	  3.784	236.209	  3.281	236.363	  3.283	236.476	  3.284
      73	272.509	  3.733	236.088	  3.234	236.390	  3.238	236.388	  3.238
      74	276.543	  3.737	236.328	  3.194	236.498	  3.196	236.503	  3.196
      75	276.526	  3.687	235.962	  3.146	236.509	  3.153	236.553	  3.154
      76	276.538	  3.639	235.779	  3.102	236.488	  3.112	236.575	  3.113
      77	276.449	  3.590	236.358	  3.070	236.408	  3.070	236.548	  3.072
      78	276.469	  3.544	236.781	  3.036	240.356	  3.081	240.485	  3.083
      79	276.549	  3.501	235.633	  2.983	240.514	  3.044	240.528	  3.045
      80	276.548	  3.457	236.128	  2.952	240.523	  3.007	240.523	  3.007
      81	276.613	  3.415	235.815	  2.911	240.520	  2.969	240.534	  2.970
      82	280.562	  3.421	236.266	  2.881	240.577	  2.934	240.597	  2.934
      83	280.575	  3.380	236.032	  2.844	240.604	  2.899	240.595	  2.899
      84	280.609	  3.341	236.357	  2.814	240.582	  2.864	240.648	  2.865
      85	280.552	  3.301	236.332	  2.780	240.597	  2.831	240.576	  2.830
      86	280.644	  3.263	236.551	  2.751	244.530	  2.843	244.573	  2.844
      87	280.661	  3.226	236.144	  2.714	244.524	  2.811	244.620	  2.812
      88	280.626	  3.189	234.441	  2.664	244.576	  2.779	244.594	  2.779
      89	280.698	  3.154	234.581	  2.636	244.651	  2.749	244.607	  2.748
      90	284.555	  3.162	234.689	  2.608	248.597	  2.762	244.676	  2.719
      91	284.554	  3.127	236.298	  2.597	248.607	  2.732	244.699	  2.689
      92	284.544	  3.093	236.263	  2.568	248.585	  2.702	244.700	  2.660
      93	284.573	  3.060	238.529	  2.565	248.592	  2.673	244.698	  2.631
      94	284.508	  3.027	236.125	  2.512	248.638	  2.645	248.603	  2.645
      95	284.729	  2.997	234.554	  2.469	248.651	  2.617	248.579	  2.617
      96	284.691	  2.966	234.911	  2.447	248.647	  2.590	248.587	  2.589
      97	284.762	  2.936	235.746	  2.430	248.728	  2.564	248.664	  2.564
      98	288.650	  2.945	269.961	  2.755	252.557	  2.577	248.764	  2.538
      99	288.720	  2.916	269.592	  2.723	252.603	  2.552	248.755	  2.513
     100	288.752	  2.888	269.079	  2.691	252.573	  2.526	248.750	  2.487
     101	288.748	  2.859	272.438	  2.697	252.603	  2.501	248.773	  2.463
     102	288.800	  2.831	272.100	  2.668	252.743	  2.478	252.605	  2.477
     103	288.822	  2.804	271.451	  2.635	252.752	  2.454	252.621	  2.453
     104	288.830	  2.777	267.588	  2.573	252.601	  2.429	252.634	  2.429
     105	288.820	  2.751	269.289	  2.565	255.999	  2.438	255.409	  2.432
     106	292.864	  2.763	269.814	  2.545	252.828	  2.385	252.838	  2.385
     107	292.817	  2.737	269.222	  2.516	252.856	  2.363	252.872	  2.363
     108	292.849	  2.712	269.019	  2.491	252.816	  2.341	252.858	  2.341
     109	292.900	  2.687	273.447	  2.509	252.588	  2.317	252.841	  2.320
     110	292.910	  2.663	269.993	  2.454	256.721	  2.334	256.736	  2.334
     111	292.972	  2.639	268.116	  2.415	256.771	  2.313	256.877	  2.314
     112	292.951	  2.616	268.014	  2.393	256.848	  2.293	256.839	  2.293
     113	293.075	  2.594	269.867	  2.388	260.773	  2.308	256.897	  2.273
     114	296.990	  2.605	270.113	  2.369	261.117	  2.290	256.956	  2.254
     115	296.921	  2.582	270.550	  2.353	256.995	  2.235	256.951	  2.234
     116	296.901	  2.559	270.456	  2.332	256.923	  2.215	256.957	  2.215
     117	297.014	  2.539	270.023	  2.308	261.346	  2.234	256.994	  2.197
     118	297.039	  2.517	270.801	  2.295	260.859	  2.211	260.935	  2.211
     119	297.112	  2.497	269.910	  2.268	260.839	  2.192	260.924	  2.193
     120	297.046	  2.475	269.777	  2.248	260.926	  2.174	260.943	  2.175
     121	301.237	  2.490	270.811	  2.238	260.971	  2.157	260.930	  2.156
     122	300.919	  2.467	269.642	  2.210	264.939	  2.172	261.106	  2.140
     123	301.003	  2.447	270.555	  2.200	264.937	  2.154	261.228	  2.124
     124	300.940	  2.427	270.007	  2.177	264.965	  2.137	261.065	  2.105
     125	301.105	  2.409	273.129	  2.185	270.112	  2.161	266.982	  2.136
     126	300.945	  2.388	273.722	  2.172	270.610	  2.148	265.103	  2.104
     127	301.046	  2.370	273.053	  2.150	270.349	  2.129	265.090	  2.087
     128	301.008	  2.352	273.419	  2.136	271.503	  2.121	270.257	  2.111
     129	300.852	  2.332	272.257	  2.111	272.037	  2.109	272.844	  2.115
     130	305.284	  2.348	292.023	  2.246	268.949	  2.069	265.268	  2.041
     131	305.356	  2.331	291.657	  2.226	268.910	  2.053	273.052	  2.084
     132	305.236	  2.312	290.645	  2.202	268.913	  2.037	272.466	  2.064
     133	312.316	  2.348	291.982	  2.195	269.095	  2.023	265.273	  1.995
     134	312.406	  2.331	291.348	  2.174	269.380	  2.010	269.128	  2.008
     135	305.485	  2.263	290.812	  2.154	269.479	  1.996	269.083	  1.993
     136	305.408	  2.246	290.818	  2.138	269.483	  1.981	269.074	  1.978
     137	313.512	  2.288	293.363	  2.141	269.336	  1.966	269.152	  1.965
     138	317.172	  2.298	291.171	  2.110	283.025	  2.051	269.415	  1.952
     139	309.415	  2.226	291.281	  2.096	282.045	  2.029	269.457	  1.939
     140	309.396	  2.210	291.876	  2.085	282.555	  2.018	269.378	  1.924
     141	309.394	  2.194	291.021	  2.064	294.536	  2.089	281.222	  1.994
     142	309.464	  2.179	290.417	  2.045	283.968	  2.000	283.169	  1.994
     143	309.630	  2.165	289.933	  2.028	285.554	  1.997	285.065	  1.993
     144	309.596	  2.150	289.091	  2.008	283.914	  1.972	285.851	  1.985
     145	309.813	  2.137	293.169	  2.022	286.105	  1.973	285.727	  1.971
     146	313.572	  2.148	292.036	  2.000	289.367	  1.982	285.760	  1.957
     147	313.505	  2.133	293.466	  1.996	289.413	  1.969	285.146	  1.940
     148	313.480	  2.118	292.877	  1.979	291.420	  1.969	285.991	  1.932
     149	313.564	  2.104	293.853	  1.972	290.368	  1.949	285.762	  1.918
     150	313.696	  2.091	293.531	  1.957	291.580	  1.944	290.504	  1.937
     151	313.792	  2.078	286.348	  1.896	290.750	  1.925	290.926	  1.927
     152	313.726	  2.064	286.866	  1.887	292.765	  1.926	292.447	  1.924
     153	313.944	  2.052	287.404	  1.878	294.784	  1.927	293.025	  1.915
     154	317.540	  2.062	286.570	  1.861	298.269	  1.937	289.476	  1.880
     155	317.838	  2.051	286.931	  1.851	297.475	  1.919	290.992	  1.877
     156	317.931	  2.038	286.780	  1.838	295.549	  1.895	291.271	  1.867
     157	318.012	  2.026	289.444	  1.844	299.519	  1.908	291.826	  1.859
     158	318.136	  2.014	281.447	  1.781	299.141	  1.893	295.392	  1.870
     159	318.011	  2.000	290.099	  1.825	293.824	  1.848	298.252	  1.876
     160	317.897	  1.987	288.765	  1.805	293.977	  1.837	298.759	  1.867
     161	318.112	  1.976	295.407	  1.835	283.154	  1.759	298.984	  1.857
     162	335.548	  2.071	311.884	  1.925	286.113	  1.766	298.503	  1.843
     163	335.381	  2.058	309.692	  1.900	304.408	  1.868	302.774	  1.858
     164	335.299	  2.045	310.599	  1.894	308.128	  1.879	302.116	  1.842
     165	337.256	  2.044	309.780	  1.877	307.541	  1.864	305.658	  1.852
     166	332.887	  2.005	310.725	  1.872	308.542	  1.859	307.712	  1.854
     167	332.663	  1.992	302.212	  1.810	310.377	  1.859	306.423	  1.835
     168	333.521	  1.985	310.038	  1.845	310.165	  1.846	285.996	  1.702
     169	339.574	  2.009	313.238	  1.853	306.641	  1.814	309.431	  1.831
     170	326.819	  1.922	313.442	  1.844	306.218	  1.801	313.578	  1.845
     171	343.563	  2.009	312.174	  1.826	313.185	  1.831	310.060	  1.813
     172	343.519	  1.997	312.787	  1.819	330.107	  1.919	310.937	  1.808
     173	343.438	  1.985	311.287	  1.799	333.855	  1.930	310.609	  1.795
     174	326.881	  1.879	312.031	  1.793	319.233	  1.835	312.112	  1.794
     175	342.496	  1.957	312.483	  1.786	316.975	  1.811	323.128	  1.846
     176	343.622	  1.952	301.178	  1.711	313.756	  1.783	328.965	  1.869
     177	345.961	  1.955	314.027	  1.774	310.327	  1.753	319.914	  1.807
     178	331.229	  1.861	302.503	  1.699	319.411	  1.794	317.791	  1.785
     179	349.475	  1.952	312.818	  1.748	322.412	  1.801	312.983	  1.749
     180	330.659	  1.837	313.864	  1.744	319.463	  1.775	312.859	  1.738
     181	331.301	  1.830	314.581	  1.738	320.299	  1.770	313.857	  1.734
     182	331.681	  1.822	303.649	  1.668	316.291	  1.738	321.948	  1.769
     183	331.653	  1.812	301.610	  1.648	322.939	  1.765	320.699	  1.752
     184	331.771	  1.803	312.303	  1.697	324.174	  1.762	322.152	  1.751
     185	331.395	  1.791	316.754	  1.712	326.186	  1.763	318.643	  1.722
     186	335.505	  1.804	317.191	  1.705	327.076	  1.758	318.102	  1.710
     187	335.442	  1.794	316.022	  1.690	321.973	  1.722	325.507	  1.741
     188	335.445	  1.784	313.734	  1.669	329.917	  1.755	325.146	  1.730
     189	335.416	  1.775	313.066	  1.656	332.873	  1.761	322.539	  1.707
     190	335.528	  1.766	322.563	  1.698	331.697	  1.746	320.516	  1.687
     191	335.994	  1.759	317.252	  1.661	323.837	  1.695	330.263	  1.729
     192	335.652	  1.748	312.804	  1.629	331.799	  1.728	328.864	  1.713
     193	335.765	  1.740	314.761	  1.631	334.328	  1.732	332.383	  1.722
     194	339.879	  1.752	322.106	  1.660	336.466	  1.734	326.061	  1.681
     195	362.595	  1.859	322.310	  1.653	304.908	  1.564	332.463	  1.705
     196	361.179	  1.843	321.557	  1.641	337.521	  1.722	334.247	  1.705
     197	340.420	  1.728	321.471	  1.632	338.825	  1.720	333.268	  1.692
     198	341.274	  1.724	320.984	  1.621	337.218	  1.703	304.087	  1.536
     199	363.322	  1.826	320.471	  1.610	328.907	  1.653	325.943	  1.638
     200	362.148	  1.811	320.603	  1.603	335.807	  1.679	335.773	  1.679
     201	341.315	  1.698	322.295	  1.603	340.314	  1.693	304.580	  1.515
     202	344.559	  1.706	322.202	  1.595	332.504	  1.646	335.166	  1.659
     203	344.643	  1.698	322.664	  1.589	364.502	  1.796	336.568	  1.658
     204	344.214	  1.687	322.140	  1.579	362.716	  1.778	306.751	  1.504
     205	344.725	  1.682	321.225	  1.567	332.274	  1.621	337.901	  1.648
     206	346.059	  1.680	321.517	  1.561	341.365	  1.657	336.945	  1.636
     207	345.455	  1.669	320.522	  1.548	343.455	  1.659	328.719	  1.588
     208	345.877	  1.663	320.815	  1.542	331.550	  1.594	335.713	  1.614
     209	346.111	  1.656	321.535	  1.538	338.732	  1.621	336.076	  1.608
     210	348.568	  1.660	321.974	  1.533	338.975	  1.614	332.248	  1.582
     211	349.028	  1.654	321.552	  1.524	335.478	  1.590	342.839	  1.625
     212	349.139	  1.647	321.617	  1.517	342.906	  1.617	340.908	  1.608
     213	348.949	  1.638	322.014	  1.512	341.354	  1.603	331.645	  1.557
     214	348.921	  1.630	322.165	  1.505	335.122	  1.566	342.308	  1.600
     215	349.152	  1.624	321.688	  1.496	347.816	  1.618	343.457	  1.597
     216	348.681	  1.614	321.408	  1.488	345.846	  1.601	338.624	  1.568
     217	349.761	  1.612	321.678	  1.482	338.877	  1.562	344.956	  1.590
     218	353.179	  1.620	322.159	  1.478	357.841	  1.641	346.204	  1.588
     219	353.486	  1.614	321.645	  1.469	347.309	  1.586	357.059	  1.630
     220	353.221	  1.606	321.545	  1.462	357.718	  1.626	357.319	  1.624
     221	352.575	  1.595	340.270	  1.540	355.193	  1.607	347.545	  1.573
     222	353.839	  1.594	337.415	  1.520	348.845	  1.571	358.349	  1.614
     223	352.584	  1.581	339.084	  1.521	359.468	  1.612	350.944	  1.574
     224	353.318	  1.577	338.147	  1.510	346.947	  1.549	361.257	  1.613
     225	353.388	  1.571	321.967	  1.431	358.442	  1.593	359.429	  1.597
     226	358.148	  1.585	341.478	  1.511	353.145	  1.563	362.867	  1.606
     227	358.433	  1.579	341.259	  1.503	368.083	  1.622	364.517	  1.606
     228	358.330	  1.572	341.189	  1.496	359.088	  1.575	360.324	  1.580
     229	358.680	  1.566	341.013	  1.489	368.997	  1.611	364.129	  1.590
     230	360.091	  1.566	341.171	  1.483	363.214	  1.579	323.459	  1.406
     231	359.768	  1.557	341.041	  1.476	368.313	  1.594	366.304	  1.586
     232	359.676	  1.550	340.845	  1.469	367.306	  1.583	323.655	  1.395
     233	359.520	  1.543	340.908	  1.463	371.397	  1.594	370.254	  1.589
     234	362.691	  1.550	341.018	  1.457	370.468	  1.583	359.426	  1.536
     235	362.246	  1.541	341.153	  1.452	367.248	  1.563	368.680	  1.569
     236	362.806	  1.537	341.113	  1.445	367.783	  1.558	358.571	  1.519
     237	363.623	  1.534	338.265	  1.427	367.137	  1.549	371.998	  1.570
     238	364.116	  1.530	338.210	  1.421	375.514	  1.578	356.881	  1.500
     239	363.257	  1.520	337.639	  1.413	374.420	  1.567	372.519	  1.559
     240	363.296	  1.514	337.759	  1.407	374.430	  1.560	360.201	  1.501
     241	363.143	  1.507	341.201	  1.416	372.728	  1.547	370.827	  1.539
     242	366.482	  1.514	341.442	  1.411	375.185	  1.550	365.262	  1.509
     243	366.298	  1.507	341.740	  1.406	376.241	  1.548	371.251	  1.528
     244	366.454	  1.502	341.991	  1.402	364.436	  1.494	370.580	  1.519
     245	366.747	  1.497	340.133	  1.388	368.376	  1.504	363.211	  1.482
     246	367.555	  1.494	340.276	  1.383	335.175	  1.362	377.622	  1.535
     247	367.281	  1.487	340.895	  1.380	377.353	  1.528	365.057	  1.478
     248	367.613	  1.482	339.935	  1.371	374.065	  1.508	375.212	  1.513
     249	367.385	  1.475	341.171	  1.370	378.735	  1.521	367.040	  1.474
     250	370.263	  1.481	341.372	  1.365	379.992	  1.520	376.230	  1.505
     251	370.209	  1.475	341.858	  1.362	337.278	  1.344	335.241	  1.336
     252	370.484	  1.470	341.078	  1.353	381.701	  1.515	335.341	  1.331
     253	369.632	  1.461	339.021	  1.340	336.966	  1.332	334.058	  1.320
     254	371.481	  1.463	339.426	  1.336	363.601	  1.431	336.054	  1.323
     255	371.282	  1.456	338.760	  1.328	405.518	  1.590	336.229	  1.319
     256	371.260	  1.450	339.163	  1.325	393.391	  1.537	335.697	  1.311
     257	371.251	  1.445	341.474	  1.329	382.782	  1.489	337.372	  1.313
     258	403.214	  1.563	359.895	  1.395	371.632	  1.440	375.291	  1.455
     259	403.564	  1.558	385.638	  1.489	370.907	  1.432	374.561	  1.446
     260	405.108	  1.558	387.593	  1.491	370.858	  1.426	375.154	  1.443
     261	377.743	  1.447	424.487	  1.626	385.187	  1.476	339.104	  1.299
     262	377.520	  1.441	358.475	  1.368	383.262	  1.463	373.388	  1.425
     263	377.414	  1.435	358.535	  1.363	377.901	  1.437	383.163	  1.457
     264	377.600	  1.430	358.467	  1.358	384.050	  1.455	372.872	  1.412
     265	406.864	  1.535	407.425	  1.537	372.791	  1.407	376.377	  1.420
     266	406.089	  1.527	422.656	  1.589	372.766	  1.401	376.303	  1.415
     267	407.851	  1.528	409.848	  1.535	373.035	  1.397	376.482	  1.410
     268	409.281	  1.527	414.476	  1.547	372.106	  1.388	376.186	  1.404
     269	380.976	  1.416	356.705	  1.326	348.971	  1.297	377.159	  1.402
     270	381.516	  1.413	356.814	  1.322	350.453	  1.298	348.602	  1.291
     271	382.456	  1.411	356.589	  1.316	349.784	  1.291	348.234	  1.285
     272	381.503	  1.403	356.256	  1.310	350.046	  1.287	348.442	  1.281
     273	409.231	  1.499	421.378	  1.544	374.128	  1.370	378.783	  1.387
     274	407.607	  1.488	423.675	  1.546	375.583	  1.371	379.248	  1.384
     275	408.942	  1.487	385.814	  1.403	377.123	  1.371	379.715	  1.381
     276	409.967	  1.485	436.809	  1.583	379.036	  1.373	379.126	  1.374
     277	408.439	  1.475	359.469	  1.298	350.485	  1.265	350.435	  1.265
     278	384.442	  1.383	359.336	  1.293	352.386	  1.268	352.311	  1.267
     279	384.953	  1.380	359.190	  1.287	352.057	  1.262	351.918	  1.261
     280	385.374	  1.376	359.281	  1.283	352.412	  1.259	351.893	  1.257
     281	412.663	  1.469	421.460	  1.500	382.093	  1.360	380.192	  1.353
     282	392.019	  1.390	424.052	  1.504	383.376	  1.359	383.391	  1.360
     283	391.715	  1.384	434.009	  1.534	381.757	  1.349	381.883	  1.349
     284	414.062	  1.458	413.999	  1.458	382.144	  1.346	380.999	  1.342
     285	438.392	  1.538	425.673	  1.494	353.199	  1.239	353.359	  1.240
     286	387.978	  1.357	444.268	  1.553	355.166	  1.242	355.149	  1.242
     287	388.640	  1.354	353.624	  1.232	355.118	  1.237	409.707	  1.428
     288	388.329	  1.348	417.635	  1.450	355.202	  1.233	355.110	  1.233
     289	392.419	  1.358	416.027	  1.440	388.784	  1.345	382.880	  1.325
     290	398.478	  1.374	456.821	  1.575	385.092	  1.328	384.642	  1.326
     291	410.732	  1.411	464.620	  1.597	378.159	  1.300	381.083	  1.310
     292	411.589	  1.410	456.452	  1.563	378.585	  1.297	382.719	  1.311
     293	394.984	  1.348	501.090	  1.710	362.877	  1.238	403.733	  1.378
     294	395.512	  1.345	487.439	  1.658	364.580	  1.240	404.572	  1.376
     295	395.513	  1.341	478.232	  1.621	402.347	  1.364	404.095	  1.370
     296	395.331	  1.336	487.642	  1.647	363.780	  1.229	362.423	  1.224
     297	402.736	  1.356	471.610	  1.588	389.921	  1.313	395.048	  1.330
     298	403.568	  1.354	470.528	  1.579	391.035	  1.312	396.510	  1.331
     299	402.743	  1.347	487.559	  1.631	389.587	  1.303	395.608	  1.323
     300	402.871	  1.343	487.072	  1.624	389.719	  1.299	395.507	  1.318
     301	397.594	  1.321	381.205	  1.266	365.806	  1.215	365.020	  1.213
     302	398.640	  1.320	381.258	  1.262	367.601	  1.217	366.845	  1.215
     303	398.411	  1.315	381.116	  1.258	367.231	  1.212	366.156	  1.208
     304	398.472	  1.311	380.556	  1.252	367.260	  1.208	366.016	  1.204
     305	404.765	  1.327	508.057	  1.666	391.373	  1.283	398.074	  1.305
     306	422.619	  1.381	484.647	  1.584	392.429	  1.282	398.886	  1.304
     307	422.253	  1.375	463.150	  1.509	392.278	  1.278	397.549	  1.295
     308	422.308	  1.371	473.629	  1.538	392.020	  1.273	397.593	  1.291
     309	420.991	  1.362	506.689	  1.640	369.410	  1.196	367.849	  1.190
     310	402.115	  1.297	505.073	  1.629	370.556	  1.195	369.317	  1.191
     311	402.524	  1.294	497.936	  1.601	370.523	  1.191	369.115	  1.187
     312	401.504	  1.287	502.353	  1.610	370.376	  1.187	369.461	  1.184
     313	405.800	  1.296	486.632	  1.555	393.521	  1.257	399.600	  1.277
     314	407.038	  1.296	509.827	  1.624	394.558	  1.257	400.660	  1.276
     315	407.261	  1.293	483.188	  1.534	394.077	  1.251	399.676	  1.269
     316	426.586	  1.350	467.966	  1.481	394.008	  1.247	399.486	  1.264
     317	404.378	  1.276	499.576	  1.576	371.931	  1.173	370.675	  1.169
     318	404.874	  1.273	585.293	  1.841	377.085	  1.186	372.729	  1.172
     319	405.062	  1.270	507.799	  1.592	377.256	  1.183	372.963	  1.169
     320	404.725	  1.265	493.608	  1.543	377.895	  1.181	372.739	  1.165
     321	410.214	  1.278	496.354	  1.546	396.564	  1.235	404.543	  1.260
     322	426.173	  1.324	511.588	  1.589	392.159	  1.218	396.928	  1.233
     323	425.230	  1.317	517.107	  1.601	391.305	  1.211	396.507	  1.228
     324	425.263	  1.313	541.107	  1.670	391.531	  1.208	396.423	  1.224
     325	429.267	  1.321	523.635	  1.611	380.358	  1.170	378.845	  1.166
     326	412.092	  1.264	562.467	  1.725	382.184	  1.172	380.744	  1.168
     327	412.357	  1.261	553.424	  1.692	381.579	  1.167	380.460	  1.163
     328	412.575	  1.258	552.824	  1.685	381.689	  1.164	380.519	  1.160
     329	436.422	  1.327	580.525	  1.765	392.937	  1.194	398.923	  1.213
     330	423.098	  1.282	538.642	  1.632	394.678	  1.196	398.868	  1.209
     331	426.424	  1.288	518.771	  1.567	394.046	  1.190	395.847	  1.196
     332	426.797	  1.286	518.619	  1.562	394.052	  1.187	398.522	  1.200
     333	414.024	  1.243	578.118	  1.736	382.850	  1.150	381.638	  1.146
     334	415.649	  1.244	584.870	  1.751	384.324	  1.151	384.226	  1.150
     335	415.299	  1.240	556.523	  1.661	384.243	  1.147	384.170	  1.147
     336	415.796	  1.237	563.959	  1.678	384.655	  1.145	384.074	  1.143
     337	423.682	  1.257	622.159	  1.846	395.219	  1.173	401.217	  1.191
     338	422.989	  1.251	597.001	  1.766	396.268	  1.172	402.172	  1.190
     339	426.278	  1.257	560.525	  1.653	396.234	  1.169	400.904	  1.183
     340	425.931	  1.253	537.121	  1.580	396.432	  1.166	400.963	  1.179
     341	436.848	  1.281	611.487	  1.793	386.476	  1.133	385.253	  1.130
     342	418.152	  1.223	590.883	  1.728	387.131	  1.132	386.899	  1.131
     343	419.112	  1.222	622.145	  1.814	387.319	  1.129	386.869	  1.128
     344	419.357	  1.219	606.697	  1.764	387.468	  1.126	386.392	  1.123
     345	423.483	  1.227	618.177	  1.792	396.869	  1.150	401.512	  1.164
     346	414.809	  1.199	605.791	  1.751	400.603	  1.158	403.533	  1.166
     347	424.555	  1.224	843.645	  2.431	400.132	  1.153	402.203	  1.159
     348	428.578	  1.232	608.628	  1.749	400.188	  1.150	402.584	  1.157
     349	448.465	  1.285	856.511	  2.454	388.400	  1.113	387.956	  1.112
     350	421.126	  1.203	783.099	  2.237	396.246	  1.132	396.677	  1.133
     351	424.515	  1.209	718.931	  2.048	395.152	  1.126	396.187	  1.129
     352	420.918	  1.196	763.611	  2.169	395.466	  1.123	396.222	  1.126
     353	426.637	  1.209	624.606	  1.769	405.516	  1.149	404.917	  1.147
     354	426.001	  1.203	816.525	  2.307	399.738	  1.129	403.794	  1.141
     355	426.202	  1.201	933.506	  2.630	399.885	  1.126	403.867	  1.138
