name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,3, 140.142, 130.473, 124.437, 143.726, 124.488,,3, 1, 1.0741, 1.12621, 0.975065, 1.12575,,3, 0, 0.0689905, 0.112064,-0.0255727, 0.1117
start,3,,36, 236.129, 205.273, 165.727, 173.393, 173.343,,36, 1, 1.15032, 1.42481, 1.36181, 1.3622,,36, 0, 0.130674, 0.29815, 0.265683, 0.265895
end,2049,,69, 320.756, 292.651, 257.18, 222.887, 221.772,,69, 1, 1.09604, 1.2472, 1.4391, 1.44633,,69, 0, 0.0876206, 0.198206, 0.305119, 0.308596
incr,33,,102, 403.463, 378.543, 289.88, 252.693, 251.673,,102, 1, 1.06583, 1.39183, 1.59665, 1.60312,,102, 0, 0.061766, 0.281521, 0.37369, 0.376218
num_try,15360,,135, 485.833, 468.138, 356.615, 296.569, 296.047,,135, 1, 1.0378, 1.36235, 1.63818, 1.64107,,135, 0, 0.0364221, 0.265973, 0.389566, 0.390641
align,31,,168, 567.492, 542.45, 373.871, 321.141, 320.609,,168, 1, 1.04616, 1.51788, 1.76711, 1.77004,,168, 0, 0.0441273, 0.341188, 0.434106, 0.435042
baseline,0,,201, 652.241, 630.561, 445.222, 390.595, 389.595,,201, 1, 1.03438, 1.46498, 1.66987, 1.67415,,201, 0, 0.033239, 0.317396, 0.40115, 0.402683
rand,1,,234, 735.228, 715.527, 477.153, 428.406, 428.299,,234, 1, 1.02753, 1.54086, 1.7162, 1.71662,,234, 0, 0.026796, 0.351014, 0.417316, 0.417461
rand_align,1,,267, 818.286, 803.495, 541.068, 501.074, 500.223,,267, 1, 1.01841, 1.51235, 1.63307, 1.63584,,267, 0, 0.0180752, 0.338779, 0.387655, 0.388694
seed,0,,300, 901.729, 876.476, 559.318, 524.167, 523.005,,300, 1, 1.02881, 1.6122, 1.72031, 1.72413,,300, 0, 0.0280057, 0.379728, 0.418709, 0.419998
testmask,0,,333, 986.483, 964.923, 629.003, 598.213, 597.667,,333, 1, 1.02234, 1.56833, 1.64905, 1.65055,,333, 0, 0.0218553, 0.362378, 0.39359, 0.394143
clock,500,,366, 1066.58, 1049.13, 660.439, 635.37, 633.489,,366, 1, 1.01664, 1.61496, 1.67868, 1.68366,,366, 0, 0.0163661, 0.38079, 0.404293, 0.406057
=====,,,399, 1150.62, 1139.26, 726.457, 702.588, 700.068,,399, 1, 1.00997, 1.58388, 1.63769, 1.64359,,399, 0, 0.00987401, 0.368641, 0.389385, 0.391575
Totals:,,,432, 1235.14, 1215.5, 743.689, 727.594, 726.376,,432, 1, 1.01616, 1.66083, 1.69757, 1.70041,,432, 0, 0.0159025, 0.39789, 0.410921, 0.411907
total_bytes, 64638,,465, 1318.7, 1299.49, 814.197, 803.262, 800.624,,465, 1, 1.01478, 1.61964, 1.64169, 1.6471,,465, 0, 0.014568, 0.382577, 0.39087, 0.392871
best_test,lx64si1,,498, 1402.74, 1387.51, 844.399, 836.328, 837.078,,498, 1, 1.01097, 1.66123, 1.67726, 1.67575,,498, 0, 0.0108538, 0.398035, 0.403789, 0.403254
best_total, 101017,,531, 1490.05, 1475.5, 911.146, 904.061, 904.145,,531, 1, 1.00986, 1.63536, 1.64817, 1.64802,,531, 0, 0.00976736, 0.388513, 0.393268, 0.393212
worst_test,local,,564, 1568.64, 1548.69, 928.869, 933.447, 931.775,,564, 1, 1.01288, 1.68876, 1.68048, 1.68349,,564, 0, 0.0127196, 0.40785, 0.404932, 0.405998
worst_total, 172463,,597, 1646.24, 1635.55, 996.286, 1001.55, 1001.78,,597, 1, 1.00654, 1.65238, 1.6437, 1.64332,,597, 0, 0.00649312, 0.394811, 0.391615, 0.391474
total_local, 172463,,630, 1730.63, 1722.15, 1031.62, 1040.42, 1039.43,,630, 1, 1.00492, 1.67758, 1.6634, 1.66498,,630, 0, 0.00489563, 0.403904, 0.398821, 0.399393
total_libc586, 172449,,663, 1815.84, 1807.8, 1091.97, 1107.47, 1107.99,,663, 1, 1.00445, 1.66291, 1.63963, 1.63887,,663, 0, 0.00442977, 0.398645, 0.390107, 0.389822
total_lx64si1, 101017,,696, 1899.66, 1883.18, 1113.69, 1136.76, 1133.55,,696, 1, 1.00875, 1.70573, 1.67112, 1.67585,,696, 0, 0.00867563, 0.413741, 0.4016, 0.403288
total_movq, 105255,,729, 1981.95, 1969.78, 1181.08, 1205.35, 1204.02,,729, 1, 1.00618, 1.67808, 1.6443, 1.64612,,729, 0, 0.00614179, 0.404081, 0.391839, 0.39251
total_movq_r, 104954,,762, 2065.64, 2057.02, 1218.05, 1248.7, 1246.59,,762, 1, 1.00419, 1.69586, 1.65423, 1.65703,,762, 0, 0.00417206, 0.410329, 0.395488, 0.39651
ratio_local, 1,,795, 2151.84, 2147.35, 1272.49, 1312.32, 1308.16,,795, 1, 1.00209, 1.69105, 1.63972, 1.64494,,795, 0, 0.00208333, 0.408651, 0.39014, 0.392073
ratio_libc586, 1.00008,,828, 2231.17, 2215.24, 1300.04, 1336.77, 1338.79,,828, 1, 1.00719, 1.71623, 1.66908, 1.66656,,828, 0, 0.00713902, 0.417329, 0.400868, 0.399961
ratio_lx64si1, 1.70727,,861, 2310.72, 2300.68, 1368.76, 1408.88, 1407.7,,861, 1, 1.00436, 1.68818, 1.6401, 1.64149,,861, 0, 0.00434555, 0.407646, 0.390283, 0.390797
ratio_movq, 1.63853,,894, 2396.81, 2391.91, 1406.34, 1455.22, 1454.52,,894, 1, 1.00205, 1.70429, 1.64704, 1.64783,,894, 0, 0.00204417, 0.413247, 0.39285, 0.393142
ratio_movq_r, 1.64323,,927, 2513.34, 2480.13, 1460.99, 1517.77, 1513.1,,927, 1, 1.01339, 1.72029, 1.65594, 1.66105,,927, 0, 0.0132106, 0.418704, 0.396112, 0.397973
,,,960, 2557.48, 2553.81, 1504.74, 1564.71, 1562.18,,960, 1, 1.00144, 1.69962, 1.63447, 1.63712,,960, 0, 0.00143363, 0.411632, 0.388181, 0.389171
,,,993, 2647.77, 2670.05, 1549.35, 1615.45, 1614.48,,993, 1, 0.991654, 1.70895, 1.63903, 1.64002,,993, 0,-0.00841666, 0.414846, 0.389881, 0.39025
,,,1026, 2727.49, 2726.61, 1607.1, 1670.94, 1666.5,,1026, 1, 1.00032, 1.69715, 1.63231, 1.63665,,1026, 0, 0.000322202, 0.410777, 0.38737, 0.388997
,,,1059, 2816.09, 2818.53, 1644.75, 1715.4, 1711.38,,1059, 1, 0.999134, 1.71217, 1.64165, 1.64551,,1059, 0,-0.000866925, 0.415944, 0.390857, 0.392286
,,,1092, 2893.62, 2894.48, 1694.66, 1770.98, 1766.61,,1092, 1, 0.999703, 1.70749, 1.63391, 1.63795,,1092, 0,-0.000297533, 0.414346, 0.38797, 0.389481
,,,1125, 3009.83, 2977.5, 1734.26, 1816.34, 1815.31,,1125, 1, 1.01086, 1.73552, 1.65709, 1.65803,,1125, 0, 0.0107436, 0.423803, 0.396533, 0.396874
,,,1158, 3051.53, 3064.26, 1837.2, 1882.89, 1878.91,,1158, 1, 0.995844, 1.66096, 1.62066, 1.6241,,1158, 0,-0.00417378, 0.39794, 0.382968, 0.384273
,,,1191, 3138.62, 3153.17, 1828.45, 1923.53, 1916.68,,1191, 1, 0.995385, 1.71655, 1.6317, 1.63753,,1191, 0,-0.00463681, 0.417436, 0.387142, 0.389323
