name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,3, 67.1451, 70.7159, 72.0051, 85.8419, 84.19,,3, 1, 0.949505, 0.932505, 0.782195, 0.797543,,3, 0,-0.05318,-0.0723805,-0.278454,-0.253852
start,3,,36, 93.6741, 81.239, 82.8112, 96.6107, 95.282,,36, 1, 1.15307, 1.13118, 0.969603, 0.983125,,36, 0, 0.132748, 0.115965,-0.0313495,-0.0171649
end,2049,,69, 103.044, 97.3298, 98.6558, 110.482, 109.382,,69, 1, 1.05871, 1.04448, 0.932674, 0.942051,,69, 0, 0.05545, 0.0425815,-0.0721857,-0.0615138
incr,33,,102, 113.063, 110.69, 108.338, 121.222, 118.805,,102, 1, 1.02145, 1.04362, 0.932698, 0.951673,,102, 0, 0.0209948, 0.041799,-0.0721581,-0.0507816
num_try,61440,,135, 121.846, 123.909, 117.699, 143.377, 128.566,,135, 1, 0.98335, 1.03523, 0.849829, 0.94773,,135, 0,-0.0169319, 0.0340344,-0.176708,-0.0551533
align,31,,168, 131.75, 125.898, 127.089, 154.384, 137.59,,168, 1, 1.04648, 1.03667, 0.85339, 0.957553,,168, 0, 0.0444133, 0.0353755,-0.171797,-0.0443285
baseline,0,,201, 140.848, 135.333, 136.107, 157.216, 146.605,,201, 1, 1.04075, 1.03484, 0.895888, 0.960729,,201, 0, 0.0391568, 0.0336634,-0.116212,-0.0408766
rand,1,,234, 149.894, 144.566, 145.726, 167.485, 156.497,,234, 1, 1.03686, 1.02861, 0.894975, 0.957811,,234, 0, 0.0355496, 0.0278099,-0.11735,-0.0440476
rand_align,1,,267, 159.313, 153.902, 155.051, 171.028, 165.228,,267, 1, 1.03516, 1.02749, 0.931503, 0.964204,,267, 0, 0.033968, 0.0267512,-0.0735343,-0.0371252
seed,0,,300, 169.11, 163.169, 164.219, 180.579, 175.232,,300, 1, 1.03641, 1.02978, 0.936486, 0.96506,,300, 0, 0.035128, 0.0289187,-0.0678216,-0.0362045
testmask,0,,333, 178.19, 172.583, 173.725, 184.601, 184.514,,333, 1, 1.03249, 1.0257, 0.965272, 0.965726,,333, 0, 0.0314705, 0.0250597,-0.0359776,-0.0354902
clock,500,,366, 188.665, 183.028, 184.055, 194.844, 195.028,,366, 1, 1.0308, 1.02505, 0.968287, 0.967375,,366, 0, 0.0298785, 0.0244332,-0.032752,-0.0337254
=====,,,399, 198.026, 192.91, 193.971, 199.258, 204.319,,399, 1, 1.02652, 1.02091, 0.993816, 0.969202,,399, 0, 0.0258367, 0.0204777,-0.00622221,-0.0317772
Totals:,,,432, 208.877, 203.098, 204.082, 210.135, 214.779,,432, 1, 1.02845, 1.02349, 0.994014, 0.972521,,432, 0, 0.0276648, 0.0229541,-0.00602195,-0.0282554
total_bytes, 64638,,465, 219.389, 213.83, 214.341, 215.449, 224.989,,465, 1, 1.026, 1.02355, 1.01829, 0.975112,,465, 0, 0.0253402, 0.0230095, 0.0179606,-0.0255234
best_test,lx_mmx64_BA,,498, 229.971, 224.692, 224.958, 226.541, 236.015,,498, 1, 1.0235, 1.02229, 1.01514, 0.97439,,498, 0, 0.0229564, 0.0217998, 0.0149157,-0.0262832
best_total, 23288,,531, 240.898, 234.593, 236.388, 232.8, 234.898,,531, 1, 1.02688, 1.01908, 1.03479, 1.02555,,531, 0, 0.0261743, 0.0187251, 0.0336182, 0.0249088
worst_test,local,,564, 251.916, 246.401, 247.62, 243.635, 245.996,,564, 1, 1.02238, 1.01735, 1.03399, 1.02407,,564, 0, 0.0218906, 0.0170525, 0.0328721, 0.0235002
worst_total, 25803.4,,597, 264.015, 258.571, 259.349, 250.014, 251.29,,597, 1, 1.02105, 1.01799, 1.056, 1.05064,,597, 0, 0.0206197, 0.0176756, 0.0530323, 0.0481992
total_local, 25803.4,,630, 275.033, 269.405, 270.429, 261.709, 263.237,,630, 1, 1.02089, 1.01703, 1.05091, 1.04481,,630, 0, 0.0204644, 0.0167415, 0.0484452, 0.0428906
total_lx_zan, 25456.6,,663, 285.499, 279.77, 280.868, 267.279, 269.891,,663, 1, 1.02048, 1.01649, 1.06817, 1.05783,,663, 0, 0.0200655, 0.0162182, 0.0638187, 0.0546667
total_lx_hyb, 25519.3,,696, 297.143, 291.216, 292.985, 279.024, 281.258,,696, 1, 1.02035, 1.01419, 1.06494, 1.05648,,696, 0, 0.019946, 0.0139933, 0.0609765, 0.0534598
total_lx_mmx64_BA, 23288,,729, 308.347, 302.984, 303.755, 284.732, 286.767,,729, 1, 1.0177, 1.01512, 1.08294, 1.07525,,729, 0, 0.017394, 0.0148928, 0.0765854, 0.0699875
total_lx_mmx64_h2, 23314.6,,762, 319.475, 313.705, 314.984, 297.214, 297.555,,762, 1, 1.01839, 1.01426, 1.0749, 1.07367,,762, 0, 0.0180598, 0.0140573, 0.0696791, 0.0686141
ratio_local, 1,,795, 329.77, 324.785, 325.227, 301.873, 304.875,,795, 1, 1.01535, 1.01397, 1.09241, 1.08165,,795, 0, 0.0151153, 0.0137756, 0.0845953, 0.0754899
