name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
,,,1521, 10404, 5730.86, 5711.87, 5719.49,,1521, 1, 1.81544, 1.82147, 1.81905,,1521, 0, 0.449169, 0.450994, 0.450262
,,,1554, 10626.1, 5871.06, 5859.79, 5870.11,,1554, 1, 1.80991, 1.81339, 1.81021,,1554, 0, 0.447487, 0.448547, 0.447576
,,,1587, 10834.4, 5972.23, 5962.39, 5991.51,,1587, 1, 1.81413, 1.81712, 1.80829,,1587, 0, 0.448771, 0.449679, 0.446991
,,,1620, 11086.9, 6093.57, 6056.55, 6089.76,,1620, 1, 1.81944, 1.83056, 1.82058,,1620, 0, 0.45038, 0.453719, 0.450723
,,,1653, 11290.9, 6213.59, 6195.23, 6215.92,,1653, 1, 1.81713, 1.82251, 1.81645,,1653, 0, 0.449681, 0.451307, 0.449475
,,,1686, 11509.4, 6367.96, 6345.9, 6359.89,,1686, 1, 1.8074, 1.81368, 1.80969,,1686, 0, 0.446718, 0.448634, 0.447418
,,,1719, 11737.7, 6485.31, 6471.24, 6483.88,,1719, 1, 1.80988, 1.81382, 1.81028,,1719, 0, 0.447479, 0.448677, 0.447601
,,,1752, 11971, 6579.56, 6542.95, 6575.7,,1752, 1, 1.81942, 1.8296, 1.82049,,1752, 0, 0.450374, 0.453432, 0.450696
,,,1785, 12195.4, 6699.53, 6681.14, 6695.17,,1785, 1, 1.82034, 1.82535, 1.82153,,1785, 0, 0.450652, 0.452161, 0.45101
,,,1818, 12404.4, 6848.48, 6828.46, 6841.99,,1818, 1, 1.81126, 1.81657, 1.81298,,1818, 0, 0.447898, 0.449513, 0.448422
,,,1851, 12619, 6972.72, 6958.89, 6968.16,,1851, 1, 1.80977, 1.81337, 1.81096,,1851, 0, 0.447445, 0.44854, 0.447806
,,,1884, 12847.9, 7065.68, 7052.13, 7062.61,,1884, 1, 1.81835, 1.82185, 1.81914,,1884, 0, 0.450051, 0.451106, 0.45029
,,,1917, 13089.5, 7191.36, 7167.49, 7182.89,,1917, 1, 1.82017, 1.82624, 1.82232,,1917, 0, 0.450601, 0.452425, 0.451249
,,,1950, 13321.8, 7341.05, 7316.57, 7336.11,,1950, 1, 1.81469, 1.82076, 1.81591,,1950, 0, 0.448943, 0.45078, 0.449313
,,,1983, 13503.3, 7462.4, 7436.03, 7461.1,,1983, 1, 1.80951, 1.81593, 1.80982,,1983, 0, 0.447364, 0.449317, 0.44746
,,,2016, 13748.2, 7588.06, 7552.63, 7584.99,,2016, 1, 1.81182, 1.82032, 1.81256,,2016, 0, 0.44807, 0.450647, 0.448293
,,,2049, 14001.2, 7689.05, 7665.49, 7686.03,,2049, 1, 1.82092, 1.82652, 1.82164,,2049, 0, 0.450828, 0.452512, 0.451044

