name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,0, 132.871, 125.665, 123.127, 123.086, 122.648, 108.772, 110.845, 121.787, 121.799, 141.023,,0, 1, 1.05734, 1.07914, 1.07949, 1.08335, 1.22156, 1.1987, 1.09101, 1.0909, 0.942196,,0, 0, 0.0542344, 0.0733328, 0.0736387, 0.0769402, 0.181373, 0.165765, 0.0834189, 0.0833265,-0.0613509
start,0,,1, 157.463, 149.103, 144.814, 148.632, 146.439, 132.228, 133.09, 131.392, 129.691, 147.525,,1, 1, 1.05607, 1.08735, 1.05942, 1.07528, 1.19085, 1.18313, 1.19842, 1.21414, 1.06737,,1, 0, 0.0530903, 0.0803321, 0.0560852, 0.0700127, 0.16026, 0.154784, 0.165569, 0.176374, 0.0631173
end,128,,2, 169.665, 157.511, 152.479, 155.694, 154.159, 139.362, 139.03, 139.49, 137.261, 152.737,,2, 1, 1.07716, 1.11271, 1.08973, 1.10058, 1.21744, 1.22034, 1.21632, 1.23607, 1.11083,,2, 0, 0.0716326, 0.10129, 0.0823446, 0.0913882, 0.178606, 0.180559, 0.177847, 0.190986, 0.0997742
incr,1,,3, 182.65, 163.879, 160.344, 163.633, 160.822, 145.878, 144.64, 145.849, 143.079, 157.396,,3, 1, 1.11454, 1.13912, 1.11622, 1.13573, 1.25207, 1.26279, 1.25232, 1.27657, 1.16045,,3, 0, 0.102769, 0.122126, 0.104117, 0.119509, 0.201325, 0.208103, 0.201484, 0.216648, 0.138264
num_try,122880,,4, 195.444, 171.05, 168.467, 169.55, 168.791, 152.518, 151.174, 152.655, 148.471, 179.49,,4, 1, 1.14261, 1.16013, 1.15273, 1.15791, 1.28145, 1.29284, 1.28031, 1.31639, 1.08889,,4, 0, 0.124813, 0.138029, 0.132491, 0.136373, 0.219636, 0.226509, 0.218936, 0.240344, 0.0816296
align,0,,5, 208.846, 178.203, 176.115, 176.944, 175.173, 159.406, 156.779, 159.903, 154.263, 184.887,,5, 1, 1.17196, 1.18585, 1.1803, 1.19222, 1.31015, 1.33211, 1.30608, 1.35383, 1.12959,,5, 0, 0.146728, 0.156722, 0.152756, 0.161232, 0.23673, 0.24931, 0.23435, 0.261354, 0.114723
baseline,0,,6, 220.597, 185.471, 184.005, 183.553, 182.323, 166.188, 161.99, 171.466, 160.844, 189.419,,6, 1, 1.18939, 1.19886, 1.20182, 1.20992, 1.3274, 1.3618, 1.28653, 1.3715, 1.16459,,6, 0, 0.15923, 0.165876, 0.167926, 0.173501, 0.246645, 0.265675, 0.222718, 0.270869, 0.141332
rand,1,,7, 233.314, 192.112, 191.603, 190.683, 189.335, 173.112, 168.397, 177.921, 168.368, 193.567,,7, 1, 1.21447, 1.21769, 1.22357, 1.23228, 1.34776, 1.3855, 1.31133, 1.38573, 1.20534,,7, 0, 0.176595, 0.178774, 0.182718, 0.188493, 0.258029, 0.278239, 0.237415, 0.27836, 0.170356
rand_align,0,,8, 246.239, 199.453, 199.443, 197.745, 195.746, 180.117, 173.789, 189.021, 176.68, 201.689,,8, 1, 1.23457, 1.23463, 1.24524, 1.25795, 1.3671, 1.41688, 1.3027, 1.3937, 1.22088,,8, 0, 0.19, 0.190042, 0.19694, 0.205057, 0.268527, 0.294225, 0.232366, 0.282487, 0.18092
seed,0,,9, 258.671, 205.842, 206.957, 204.006, 202.748, 187.046, 179.829, 196.907, 184.277, 207.044,,9, 1, 1.25665, 1.24988, 1.26796, 1.27583, 1.38293, 1.43842, 1.31367, 1.40371, 1.24936,,9, 0, 0.204231, 0.199921, 0.211332, 0.216195, 0.276896, 0.304795, 0.238773, 0.2876, 0.199587
testmask,0,,10, 270.873, 212.734, 215.06, 210.717, 209.438, 192.724, 185.181, 205.608, 193.415, 211.295,,10, 1, 1.27329, 1.25952, 1.28548, 1.29333, 1.4055, 1.46275, 1.31742, 1.40048, 1.28197,,10, 0, 0.214635, 0.20605, 0.222082, 0.226804, 0.288509, 0.316356, 0.240943, 0.285958, 0.219949
clock,500,,11, 283.262, 219.3, 221.893, 217.343, 216.633, 199.335, 190.767, 212.246, 201.158, 215.177,,11, 1, 1.29166, 1.27657, 1.30329, 1.30756, 1.42103, 1.48485, 1.33459, 1.40816, 1.31641,,11, 0, 0.225805, 0.216651, 0.232714, 0.235219, 0.296286, 0.326533, 0.250708, 0.289853, 0.240358
=====,,,12, 295.41, 225.912, 229.393, 223.952, 223.174, 206.293, 196.53, 219.668, 207.204, 223.365,,12, 1, 1.30763, 1.28779, 1.31908, 1.32368, 1.43199, 1.50313, 1.3448, 1.42569, 1.32255,,12, 0, 0.23526, 0.223475, 0.241893, 0.244528, 0.301672, 0.33472, 0.256398, 0.298587, 0.243882
Totals:,,,13, 307.052, 232.311, 236.611, 230.491, 229.37, 212.888, 201.805, 225.436, 213.027, 227.811,,13, 1, 1.32173, 1.29771, 1.33216, 1.33868, 1.44232, 1.52152, 1.36204, 1.44138, 1.34783,,13, 0, 0.243413, 0.22941, 0.24934, 0.252994, 0.306672, 0.342764, 0.265805, 0.306219, 0.258069
total_bytes, 8256,,14, 318.911, 238.881, 244.172, 236.806, 235.215, 218.573, 207.046, 232.14, 218.644, 232.426,,14, 1, 1.33502, 1.30609, 1.34672, 1.35583, 1.45906, 1.54029, 1.37379, 1.45859, 1.37209,,14, 0, 0.250947, 0.234355, 0.257453, 0.262443, 0.314626, 0.350772, 0.272085, 0.314405, 0.271187
best_test,i686_r2,,15, 330.687, 244.857, 251.516, 243.025, 241.791, 225.789, 213.005, 237.814, 224.581, 236.345,,15, 1, 1.35053, 1.31477, 1.36071, 1.36765, 1.46458, 1.55248, 1.39053, 1.47246, 1.39917,,15, 0, 0.259549, 0.239413, 0.26509, 0.268821, 0.317212, 0.35587, 0.280848, 0.320864, 0.285291
best_total, 53739.3,,16, 342.35, 251.577, 258.389, 249.296, 247.953, 231.036, 218.007, 245.233, 231.701, 243.578,,16, 1, 1.36082, 1.32494, 1.37327, 1.3807, 1.4818, 1.57036, 1.39602, 1.47755, 1.4055,,16, 0, 0.265147, 0.245247, 0.27181, 0.275732, 0.325147, 0.363203, 0.283678, 0.323203, 0.288511
worst_test,local,,17, 353.509, 257.769, 265.66, 255.511, 254.81, 237.272, 223.435, 252.384, 237.959, 248.688,,17, 1, 1.37141, 1.33068, 1.38354, 1.38734, 1.48989, 1.58215, 1.40068, 1.48559, 1.4215,,17, 0, 0.270826, 0.248506, 0.277214, 0.279197, 0.328809, 0.36795, 0.286059, 0.326866, 0.296516
worst_total, 115014,,18, 365.159, 264.027, 273.118, 262.306, 261.045, 243.961, 228.763, 258.441, 243.243, 252.235,,18, 1, 1.38304, 1.337, 1.39211, 1.39884, 1.4968, 1.59623, 1.41293, 1.50121, 1.44769,,18, 0, 0.276953, 0.252058, 0.281667, 0.28512, 0.331906, 0.373526, 0.292252, 0.333872, 0.309245
total_local, 115014,,19, 376.473, 270.539, 280.135, 268.532, 267.716, 249.686, 233.749, 263.621, 248.277, 256.198,,19, 1, 1.39157, 1.3439, 1.40197, 1.40624, 1.50779, 1.61059, 1.42809, 1.51634, 1.46946,,19, 0, 0.281385, 0.255896, 0.286716, 0.288884, 0.336776, 0.379108, 0.299762, 0.340519, 0.319477
total_local_gg, 72298.5,,20, 388.954, 276.761, 286.964, 274.391, 273.849, 255.799, 239.329, 268.64, 252.944, 263.864,,20, 1, 1.40538, 1.35541, 1.41752, 1.42032, 1.52054, 1.62518, 1.44786, 1.5377, 1.47407,,20, 0, 0.288448, 0.262216, 0.294541, 0.295933, 0.34234, 0.384685, 0.309325, 0.34968, 0.321605
total_generic, 79050.3,,21, 400.326, 282.667, 293.876, 280.09, 279.575, 261.398, 244.527, 274.474, 257.341, 268.636,,21, 1, 1.41625, 1.36223, 1.42928, 1.43191, 1.53148, 1.63714, 1.45852, 1.55562, 1.49022,,21, 0, 0.293908, 0.265909, 0.300346, 0.301633, 0.347037, 0.389179, 0.314374, 0.357171, 0.328958
total_i386, 72025.4,,22, 410.311, 289.042, 300.724, 286.306, 285.075, 267.715, 249.051, 280.089, 260.483, 272.521,,22, 1, 1.41956, 1.36441, 1.43312, 1.43931, 1.53264, 1.6475, 1.46493, 1.57519, 1.50561,,22, 0, 0.295554, 0.267081, 0.302221, 0.305222, 0.347531, 0.393019, 0.317373, 0.365156, 0.335818
total_i486, 71946.2,,23, 423.917, 294.778, 307.48, 292.68, 291.405, 273.652, 254.766, 284.217, 265.859, 276.079,,23, 1, 1.43809, 1.37868, 1.4484, 1.45473, 1.54911, 1.66395, 1.49152, 1.59452, 1.53549,,23, 0, 0.304632, 0.274669, 0.309581, 0.312588, 0.354467, 0.399019, 0.329545, 0.372851, 0.348743
total_i686, 70504.6,,24, 433.612, 300.554, 313.585, 298.143, 297.977, 279.513, 259.06, 289.623, 270.368, 282.889,,24, 1, 1.44271, 1.38276, 1.45437, 1.45519, 1.55131, 1.67378, 1.49716, 1.60378, 1.5328,,24, 0, 0.306858, 0.276807, 0.312419, 0.312803, 0.355385, 0.402552, 0.332067, 0.376474, 0.347598
total_i686_1i, 63257.6,,25, 447.809, 306.152, 320.374, 303.692, 302.819, 285.288, 264.177, 294.113, 274.036, 287.094,,25, 1, 1.4627, 1.39777, 1.47455, 1.4788, 1.56967, 1.69511, 1.52258, 1.63412, 1.5598,,25, 0, 0.316333, 0.284574, 0.321827, 0.323777, 0.362924, 0.410068, 0.343219, 0.388051, 0.358892
total_i686_1iu, 59972.7,,26, 457.587, 312.068, 327.497, 309.64, 309.404, 290.559, 269.886, 299.787, 278.913, 290.57,,26, 1, 1.46631, 1.39723, 1.4778, 1.47893, 1.57485, 1.69549, 1.52638, 1.64061, 1.57479,,26, 0, 0.318014, 0.284297, 0.32332, 0.323836, 0.365019, 0.410199, 0.344854, 0.390471, 0.364996
total_i686_r2, 53739.3,,27, 471.793, 317.666, 333.904, 315.216, 315.137, 297.616, 274.313, 303.986, 282.411, 294.803,,27, 1, 1.48518, 1.41296, 1.49673, 1.4971, 1.58524, 1.71991, 1.55202, 1.67059, 1.60037,,27, 0, 0.326683, 0.292266, 0.331877, 0.332044, 0.369181, 0.418573, 0.35568, 0.401408, 0.375144
total_1dw, 64154.2,,28, 481.184, 322.831, 340.14, 320.766, 319.68, 303.098, 279.08, 309.411, 286.358, 301.36,,28, 1, 1.49051, 1.41466, 1.50011, 1.5052, 1.58755, 1.72418, 1.55516, 1.68035, 1.59671,,28, 0, 0.32909, 0.293118, 0.333381, 0.335638, 0.3701, 0.420014, 0.356979, 0.404887, 0.373712
ratio_local, 1,,29, 494.409, 329.545, 346.354, 326.114, 324.927, 308.695, 283.545, 313.323, 290.191, 305.242,,29, 1, 1.50028, 1.42747, 1.51606, 1.5216, 1.60161, 1.74367, 1.57795, 1.70374, 1.61973,,29, 0, 0.333458, 0.299458, 0.340396, 0.342796, 0.375629, 0.426497, 0.366267, 0.413056, 0.382613
