name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,3, 168.338, 161.532, 216.684, 161.715, 170.883,,3, 1, 1.04213, 0.776881, 1.04096, 0.985103,,3, 0, 0.0404259,-0.287198, 0.0393439,-0.0151226
start,3,,36, 385.707, 378.74, 315.386, 378.967, 277.521,,36, 1, 1.0184, 1.22297, 1.01779, 1.38983,,36, 0, 0.0180641, 0.182317, 0.0174759, 0.280488
end,2049,,69, 601.318, 597.779, 433.201, 595.462, 402.335,,69, 1, 1.00592, 1.38808, 1.00983, 1.49457,,69, 0, 0.00588618, 0.279581, 0.00973806, 0.330911
incr,33,,102, 822.107, 815.364, 554.564, 813.957, 522.961,,102, 1, 1.00827, 1.48244, 1.01001, 1.57202,,102, 0, 0.00820252, 0.325436, 0.00991397, 0.363877
num_try,15360,,135, 1036.95, 1031.3, 671.11, 1030.81, 646.248,,135, 1, 1.00548, 1.54513, 1.00596, 1.60457,,135, 0, 0.00545285, 0.352805, 0.00592552, 0.376781
align,0,,168, 1256.61, 1250.73, 781.014, 1243.98, 752.698,,168, 1, 1.0047, 1.60895, 1.01015, 1.66948,,168, 0, 0.00468077, 0.378476, 0.0100517, 0.40101
baseline,0,,201, 1474.58, 1470.4, 899.776, 1467.76, 877.752,,201, 1, 1.00284, 1.63883, 1.00464, 1.67995,,201, 0, 0.00283239, 0.389808, 0.00462344, 0.404744
rand,1,,234, 1694.17, 1685.11, 1017.17, 1687.08, 1002.91,,234, 1, 1.00538, 1.66557, 1.0042, 1.68926,,234, 0, 0.00535177, 0.399604, 0.00418602, 0.408024
rand_align,0,,267, 1952.02, 1944.65, 1130.61, 1905.99, 1124.04,,267, 1, 1.00379, 1.72651, 1.02415, 1.73662,,267, 0, 0.00377565, 0.420798, 0.0235821, 0.424168
seed,0,,300, 2129.12, 2118.51, 1248.28, 2118.49, 1233.01,,300, 1, 1.00501, 1.70564, 1.00502, 1.72677,,300, 0, 0.00498708, 0.413711, 0.00499641, 0.420885
testmask,0,,333, 2389.52, 2397.99, 1367.14, 2369.65, 1360.19,,333, 1, 0.99647, 1.74783, 1.00839, 1.75676,,333, 0,-0.00354215, 0.427861, 0.00831805, 0.430769
clock,500,,366, 2568.05, 2549.01, 1478.17, 2588.01, 1479.68,,366, 1, 1.00747, 1.73732, 0.992289, 1.73555,,366, 0, 0.00741604, 0.424401,-0.00777085, 0.423812
=====,,,399, 2814.2, 2802.78, 1596.33, 2794.96, 1593.25,,399, 1, 1.00407, 1.76291, 1.00688, 1.76632,,399, 0, 0.00405537, 0.432757, 0.00683564, 0.433852
Totals:,,,432, 3015.86, 2972.83, 1702.98, 2961.62, 1696.94,,432, 1, 1.01447, 1.77093, 1.01831, 1.77723,,432, 0, 0.0142653, 0.435325, 0.017982, 0.437326
total_bytes, 64638,,465, 3238.41, 3237.7, 1858.96, 3248.7, 1821.68,,465, 1, 1.00022, 1.74205, 0.996833, 1.77771,,465, 0, 0.000219915, 0.425965,-0.00317735, 0.437478
best_test,i686,,498, 3451.12, 3445.18, 1940.46, 3451.49, 1941.64,,498, 1, 1.00172, 1.7785, 0.999892, 1.77743,,498, 0, 0.00171942, 0.437729,-0.000108187, 0.437389
best_total, 231803,,531, 3670.11, 3666.72, 2059.65, 3664.48, 2070.01,,531, 1, 1.00092, 1.78191, 1.00154, 1.77299,,531, 0, 0.000921741, 0.438805, 0.00153457, 0.435982
worst_test,i386,,564, 3881.83, 3864.49, 2174.44, 3863.82, 2159.79,,564, 1, 1.00449, 1.78521, 1.00466, 1.79732,,564, 0, 0.00446774, 0.439842, 0.00463825, 0.443616
