name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
,,,62, 515.625, 507.186, 399.55, 501.713, 395.748,,62, 1, 1.01664, 1.29051, 1.02773, 1.30291,,62, 0, 0.0163662, 0.225115, 0.0269808, 0.232489
,,,63, 519.53, 517.168, 403.952, 506.102, 399.702,,63, 1, 1.00457, 1.28612, 1.02653, 1.29979,,63, 0, 0.00454641, 0.222466, 0.0258455, 0.230647
,,,64, 522.123, 520.172, 399.115, 515.829, 396.392,,64, 1, 1.00375, 1.3082, 1.0122, 1.31719,,64, 0, 0.00373741, 0.235592, 0.0120539, 0.240807
,,,65, 525.793, 524.362, 401.839, 521.175, 402.974,,65, 1, 1.00273, 1.30847, 1.00886, 1.30478,,65, 0, 0.00272095, 0.235746, 0.00878187, 0.233587
,,,66, 527.895, 527.148, 404.298, 521.513, 406.036,,66, 1, 1.00142, 1.30571, 1.01224, 1.30012,,66, 0, 0.00141439, 0.234132, 0.0120893, 0.230839
,,,67, 538.898, 536.213, 406.343, 532.903, 409.682,,67, 1, 1.00501, 1.32622, 1.01125, 1.3154,,67, 0, 0.00498213, 0.245975, 0.0111248, 0.239778
,,,68, 541.123, 539.003, 403.614, 535.716, 406.315,,68, 1, 1.00393, 1.3407, 1.01009, 1.33178,,68, 0, 0.00391936, 0.254119, 0.00999369, 0.249126
,,,69, 543.602, 542.365, 406.486, 538.379, 412.103,,69, 1, 1.00228, 1.33732, 1.0097, 1.31909,,69, 0, 0.00227624, 0.252235, 0.00960803, 0.241903
,,,70, 555.31, 544.27, 405.245, 540.159, 415.304,,70, 1, 1.02029, 1.37031, 1.02805, 1.33712,,70, 0, 0.0198821, 0.270237, 0.0272847, 0.252122
,,,71, 559.581, 554.079, 417.911, 550.647, 418.695,,71, 1, 1.00993, 1.339, 1.01622, 1.33649,,71, 0, 0.00983197, 0.253171, 0.0159651, 0.25177
,,,72, 558.87, 558.314, 416.553, 551.86, 415.185,,72, 1, 1.001, 1.34166, 1.0127, 1.34607,,72, 0, 0.000995251, 0.254652, 0.0125438, 0.257099
,,,73, 561.937, 559.557, 419.452, 556.19, 420.346,,73, 1, 1.00425, 1.33969, 1.01033, 1.33684,,73, 0, 0.00423514, 0.253561, 0.0102281, 0.25197
,,,74, 573.308, 562.312, 421.379, 557.871, 422.691,,74, 1, 1.01955, 1.36055, 1.02767, 1.35633,,74, 0, 0.0191796, 0.265004, 0.0269261, 0.262715
,,,75, 575.874, 574.079, 424.059, 569.846, 426.085,,75, 1, 1.00313, 1.35801, 1.01058, 1.35155,,75, 0, 0.00311772, 0.263626, 0.0104683, 0.260108
,,,76, 579.355, 576.015, 423.026, 571.303, 423.116,,76, 1, 1.0058, 1.36955, 1.0141, 1.36926,,76, 0, 0.00576488, 0.269833, 0.0138991, 0.269679
,,,77, 581.611, 578.145, 432.314, 576.051, 429.883,,77, 1, 1.006, 1.34534, 1.00965, 1.35295,,77, 0, 0.00595936, 0.256695, 0.00955961, 0.260875
,,,78, 592.765, 580.792, 433.847, 576.921, 433.277,,78, 1, 1.02061, 1.3663, 1.02746, 1.3681,,78, 0, 0.0201985, 0.268096, 0.0267295, 0.269059
,,,79, 596.069, 592.818, 436.449, 587.947, 436.169,,79, 1, 1.00548, 1.36572, 1.01381, 1.3666,,79, 0, 0.00545314, 0.267787, 0.0136263, 0.268257
,,,80, 597.589, 595.568, 435.988, 592.274, 433.271,,80, 1, 1.00339, 1.37065, 1.00897, 1.37925,,80, 0, 0.00338216, 0.270421, 0.00889445, 0.274968
,,,81, 599.656, 598.557, 438.246, 593.322, 437.992,,81, 1, 1.00184, 1.36831, 1.01068, 1.3691,,81, 0, 0.00183346, 0.269171, 0.0105637, 0.269595
,,,82, 602.263, 598.422, 439.809, 597.256, 440.386,,82, 1, 1.00642, 1.36937, 1.00838, 1.36758,,82, 0, 0.00637755, 0.26974, 0.00831272, 0.26878
,,,83, 614.647, 601.88, 442.135, 597.741, 442.544,,83, 1, 1.02121, 1.39018, 1.02828, 1.3889,,83, 0, 0.0207722, 0.280669, 0.0275055, 0.280004
,,,84, 617.069, 614.078, 441.625, 598.096, 440.248,,84, 1, 1.00487, 1.39727, 1.03172, 1.40164,,84, 0, 0.00484702, 0.284319, 0.0307469, 0.28655
,,,85, 618.004, 615.882, 443.273, 611.374, 444.147,,85, 1, 1.00345, 1.39418, 1.01084, 1.39144,,85, 0, 0.00343319, 0.282734, 0.0107268, 0.281319
