name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,3, 96.3982, 84.0414, 100.324, 117.653, 100.974,,3, 1, 1.14703, 0.960873, 0.819341, 0.954686,,3, 0, 0.128185,-0.0407203,-0.220493,-0.0474648
start,3,,36, 162.484, 135.121, 131.145, 141.709, 141.978,,36, 1, 1.2025, 1.23896, 1.1466, 1.14443,,36, 0, 0.168402, 0.192872, 0.127858, 0.1262
end,2049,,69, 208.376, 180.562, 205.833, 179.322, 178.407,,69, 1, 1.15404, 1.01236, 1.16202, 1.16798,,69, 0, 0.13348, 0.0122077, 0.13943, 0.143823
incr,33,,102, 255.959, 233.649, 233.481, 206.448, 206.118,,102, 1, 1.09549, 1.09627, 1.23982, 1.24181,,102, 0, 0.0871632, 0.0878185, 0.193432, 0.194723
num_try,30720,,135, 305.145, 281.574, 323.296, 261.643, 260.568,,135, 1, 1.08371, 0.943857, 1.16626, 1.17108,,135, 0, 0.0772458,-0.0594822, 0.14256, 0.146084
align,31,,168, 352.475, 331.239, 338.533, 279.669, 278.964,,168, 1, 1.06411, 1.04118, 1.26033, 1.26351,,168, 0, 0.0602491, 0.0395558, 0.206556, 0.208556
baseline,0,,201, 397.791, 377.157, 409.397, 332.616, 331.705,,201, 1, 1.05471, 0.97165, 1.19594, 1.19923,,201, 0, 0.0518713,-0.0291775, 0.163841, 0.166133
rand,1,,234, 444.475, 428.398, 437.474, 362.048, 361.546,,234, 1, 1.03753, 1.016, 1.22767, 1.22937,,234, 0, 0.0361702, 0.015751, 0.185448, 0.186578
rand_align,1,,267, 492.154, 476.767, 504.162, 409.974, 409.868,,267, 1, 1.03227, 0.976183, 1.20045, 1.20076,,267, 0, 0.0312648,-0.0243977, 0.166981, 0.167196
seed,0,,300, 544.094, 526.726, 522.742, 428.762, 427.686,,300, 1, 1.03297, 1.04085, 1.26899, 1.27218,,300, 0, 0.0319222, 0.0392439, 0.211971, 0.213948
testmask,0,,333, 587.322, 576.815, 599.27, 483.828, 484.524,,333, 1, 1.01822, 0.980063, 1.21391, 1.21216,,333, 0, 0.0178903,-0.0203426, 0.176214, 0.175029
clock,500,,366, 634.915, 627.588, 625.946, 517.469, 515.978,,366, 1, 1.01167, 1.01433, 1.22696, 1.23051,,366, 0, 0.0115396, 0.014126, 0.18498, 0.187328
=====,,,399, 681.052, 675.544, 694.066, 568.054, 566.704,,399, 1, 1.00815, 0.98125, 1.19892, 1.20178,,399, 0, 0.0080875,-0.0191088, 0.165917, 0.1679
Totals:,,,432, 727.584, 722.651, 712.988, 587.299, 587.194,,432, 1, 1.00683, 1.02047, 1.23886, 1.23908,,432, 0, 0.0067789, 0.0200608, 0.192809, 0.192953
total_bytes, 64638,,465, 773.106, 769.155, 783.789, 642.209, 641.591,,465, 1, 1.00514, 0.98637, 1.20382, 1.20498,,465, 0, 0.00510998,-0.0138187, 0.169313, 0.170112
best_test,movq,,498, 817.144, 819.359, 817.444, 672.73, 673.158,,498, 1, 0.997297, 0.999633, 1.21467, 1.2139,,498, 0,-0.00271004,-0.000366814, 0.176731, 0.176207
best_total, 84038.2,,531, 866.077, 867.807, 882.201, 725.173, 724.867,,531, 1, 0.998007, 0.981723, 1.1943, 1.19481,,531, 0,-0.00199735,-0.0186177, 0.162692, 0.163045
worst_test,libc586,,564, 910.969, 914.903, 904.156, 742.895, 743.942,,564, 1, 0.9957, 1.00754, 1.22624, 1.22452,,564, 0,-0.00431808, 0.00747972, 0.1845, 0.183352
worst_total, 105816,,597, 964.746, 968.703, 975.468, 800.829, 799.002,,597, 1, 0.995916, 0.989009, 1.20468, 1.20744,,597, 0,-0.00410109,-0.0111136, 0.169907, 0.171801
total_local, 104721,,630, 1010.65, 1034.77, 1007.45, 830.375, 830.78,,630, 1, 0.976697, 1.00318, 1.21711, 1.21651,,630, 0,-0.0238592, 0.00316599, 0.178379, 0.177978
total_libc586, 105816,,663, 1059.79, 1093.95, 1082.73, 884.949, 877.22,,663, 1, 0.968778, 0.978818, 1.19757, 1.20813,,663, 0,-0.0322277,-0.0216407, 0.164979, 0.172272
total_lx64si1, 101558,,696, 1138.03, 1143.34, 1104.76, 901.656, 905.27,,696, 1, 0.995354, 1.03011, 1.26215, 1.25711,,696, 0,-0.00466809, 0.0292303, 0.207702, 0.204526
total_movq, 84038.2,,729, 1193.76, 1204.05, 1177.43, 959.728, 958.974,,729, 1, 0.991453, 1.01387, 1.24385, 1.24483,,729, 0,-0.00862051, 0.0136784, 0.196044, 0.196676
total_movq_r, 84110,,762, 1247.42, 1257.93, 1209.94, 989.079, 993.091,,762, 1, 0.991647, 1.03098, 1.2612, 1.2561,,762, 0,-0.00842373, 0.0300505, 0.207102, 0.203885
ratio_local, 1,,795, 1297.75, 1306.59, 1280.47, 1039.75, 1040.28,,795, 1, 0.993236, 1.0135, 1.24813, 1.24751,,795, 0,-0.00681038, 0.0133176, 0.198803, 0.1984
ratio_libc586, 0.989649,,828, 1359.56, 1369.36, 1300.85, 1060.45, 1057.81,,828, 1, 0.992841, 1.04512, 1.28205, 1.28526,,828, 0,-0.00721036, 0.0431766, 0.219999, 0.221947
ratio_lx64si1, 1.03114,,861, 1408.61, 1412.94, 1369.17, 1123.48, 1122.23,,861, 1, 0.996938, 1.0288, 1.25379, 1.25519,,861, 0,-0.00307151, 0.0279962, 0.202417, 0.203305
