name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,3, 226.89, 194.096, 193.622, 208.082, 189.491, 202.078, 176.814, 176.357, 176.272, 208.002,,3, 1, 1.16896, 1.17182, 1.09039, 1.19737, 1.12279, 1.28322, 1.28654, 1.28716, 1.09081,,3, 0, 0.144537, 0.146628, 0.0828975, 0.164835, 0.109358, 0.22071, 0.222722, 0.223095, 0.0832494
start,3,,36, 753.292, 573.2, 606.38, 531.83, 568.127, 583.726, 523.617, 416.436, 414.488, 526.869,,36, 1, 1.31419, 1.24228, 1.41641, 1.32592, 1.29049, 1.43863, 1.8089, 1.8174, 1.42975,,36, 0, 0.239074, 0.195026, 0.293992, 0.245808, 0.225099, 0.304895, 0.447178, 0.449764, 0.300578
end,2049,,69, 1270.15, 950.312, 1014.04, 854.498, 943.423, 963.816, 868.002, 638.474, 637.442, 830.446,,69, 1, 1.33656, 1.25256, 1.48642, 1.34632, 1.31783, 1.4633, 1.98935, 1.99257, 1.52947,,69, 0, 0.251809, 0.201633, 0.327244, 0.257233, 0.241177, 0.316612, 0.497322, 0.498135, 0.34618
incr,33,,102, 1817.86, 1321.09, 1416.87, 1167.71, 1316.91, 1372.84, 1208.9, 860.331, 854.434, 1128.5,,102, 1, 1.37604, 1.28301, 1.55678, 1.3804, 1.32417, 1.50373, 2.11298, 2.12756, 1.61087,,102, 0, 0.273275, 0.220582, 0.357648, 0.275571, 0.244808, 0.334986, 0.526735, 0.529979, 0.379216
num_try,7680,,135, 2329.96, 1686.79, 1846.18, 1479.86, 1715.33, 1707.15, 1541.31, 1072.35, 1071.45, 1461.1,,135, 1, 1.3813, 1.26205, 1.57445, 1.35831, 1.36483, 1.51167, 2.17275, 2.17459, 1.59466,,135, 0, 0.276043, 0.207635, 0.364857, 0.263792, 0.267306, 0.33848, 0.539754, 0.540143, 0.372906
align,31,,168, 2833.76, 2054.83, 2252.7, 1787.98, 2078.24, 2063.84, 1906.89, 1285.2, 1285.7, 1752.26,,168, 1, 1.37907, 1.25794, 1.58489, 1.36354, 1.37305, 1.48606, 2.20491, 2.20405, 1.6172,,168, 0, 0.274874, 0.205048, 0.369043, 0.266615, 0.271696, 0.327082, 0.546468, 0.54629, 0.381648
baseline,0,,201, 3353.63, 2449.11, 2644.66, 2101.68, 2466.49, 2462.15, 2236.16, 1494.68, 1496.51, 2004.69,,201, 1, 1.36933, 1.26808, 1.59569, 1.35968, 1.36208, 1.49973, 2.24372, 2.24098, 1.67289,,201, 0, 0.269714, 0.211406, 0.373311, 0.26453, 0.265826, 0.333212, 0.554311, 0.553766, 0.402233
rand,1,,234, 3822.99, 2813.07, 3012.56, 2428.7, 2807.72, 2844.37, 2516.4, 1741.09, 1697.69, 2338.95,,234, 1, 1.35901, 1.26902, 1.57409, 1.3616, 1.34406, 1.51923, 2.19575, 2.25188, 1.63449,,234, 0, 0.264169, 0.211988, 0.364711, 0.265569, 0.255984, 0.341773, 0.544574, 0.555927, 0.388188
rand_align,1,,267, 4295.14, 3162.24, 3427.09, 2743.21, 3136.11, 3182.41, 2902.21, 1942.05, 1906.58, 2613.05,,267, 1, 1.35826, 1.25329, 1.56573, 1.36957, 1.34965, 1.47995, 2.21165, 2.2528, 1.64373,,267, 0, 0.263762, 0.202099, 0.36132, 0.269845, 0.259067, 0.324304, 0.54785, 0.556108, 0.391626
seed,0,,300, 4767.68, 3487.26, 3813.84, 2994.49, 3481.65, 3510.99, 3224.89, 2140.89, 2163.08, 2895.12,,300, 1, 1.36717, 1.2501, 1.59215, 1.36937, 1.35793, 1.4784, 2.22696, 2.20411, 1.6468,,300, 0, 0.268562, 0.200064, 0.371918, 0.269739, 0.263585, 0.323592, 0.550957, 0.546303, 0.392761
