name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,60, 170.101, 153.329, 143.481, 150.988, 154.068,,60, 1, 1.10938, 1.18553, 1.12659, 1.10407,,60, 0, 0.0985996, 0.156496, 0.112364, 0.0942574
,,,61, 177.714, 167.189, 151.101, 158.722, 162.026,,61, 1, 1.06296, 1.17613, 1.11966, 1.09683,,61, 0, 0.0592267, 0.149752, 0.106868, 0.0882795
,,,62, 180.137, 170.674, 153.02, 160.817, 163.733,,62, 1, 1.05545, 1.17722, 1.12013, 1.10019,,62, 0, 0.0525329, 0.150538, 0.10725, 0.0910649
,,,63, 181.937, 171.549, 155.453, 162.841, 165.885,,63, 1, 1.06055, 1.17037, 1.11727, 1.09677,,63, 0, 0.0570969, 0.145567, 0.104962, 0.0882297
,,,64, 166.007, 149.194, 183.778, 146.575, 146.196,,64, 1, 1.11269, 0.903304, 1.13258, 1.13551,,64, 0, 0.101277,-0.107047, 0.117058, 0.11934
,,,65, 213.306, 201.895, 203.102, 168.709, 167.104,,65, 1, 1.05652, 1.05024, 1.26434, 1.27648,,65, 0, 0.0534959, 0.0478386, 0.209073, 0.216598
,,,66, 216.847, 205.946, 204.871, 173.157, 171.261,,66, 1, 1.05293, 1.05845, 1.25231, 1.26618,,66, 0, 0.0502666, 0.0552263, 0.201478, 0.210222
,,,67, 219.216, 206.77, 206.576, 176.365, 174.402,,67, 1, 1.06019, 1.06119, 1.24297, 1.25696,,67, 0, 0.0567771, 0.0576605, 0.195474, 0.204429
,,,68, 204.113, 188.07, 203.18, 173.121, 170.976,,68, 1, 1.0853, 1.00459, 1.17902, 1.19381,,68, 0, 0.0785999, 0.00457264, 0.151838, 0.162345
,,,69, 212.038, 205.217, 211.306, 181.355, 180.251,,69, 1, 1.03324, 1.00347, 1.16919, 1.17635,,69, 0, 0.0321721, 0.00345509, 0.144705, 0.149912
,,,70, 213.855, 208.778, 213.321, 184.378, 182.53,,70, 1, 1.02432, 1.0025, 1.15987, 1.17161,,70, 0, 0.0237379, 0.00249595, 0.137837, 0.146475
,,,71, 215.811, 209.461, 214.914, 186.426, 185,,71, 1, 1.03031, 1.00417, 1.15762, 1.16654,,71, 0, 0.0294208, 0.0041553, 0.13616, 0.142766
,,,72, 207.082, 191.378, 204.922, 175.988, 174.268,,72, 1, 1.08206, 1.01054, 1.17668, 1.1883,,72, 0, 0.0758358, 0.0104338, 0.150154, 0.158461
,,,73, 215.976, 209.627, 214.11, 185.568, 183.45,,73, 1, 1.03029, 1.00871, 1.16386, 1.1773,,73, 0, 0.0293975, 0.00863955, 0.140792, 0.1506
,,,74, 217.875, 213.881, 216.547, 187.714, 186.074,,74, 1, 1.01867, 1.00613, 1.16067, 1.17091,,74, 0, 0.0183305, 0.00609402, 0.13843, 0.145961
,,,75, 220.376, 214.605, 218.096, 189.765, 188.165,,75, 1, 1.02689, 1.01045, 1.16131, 1.17119,,75, 0, 0.0261861, 0.010346, 0.138906, 0.146166
,,,76, 210.433, 194.246, 208.364, 179.233, 178.041,,76, 1, 1.08333, 1.00993, 1.17408, 1.18194,,76, 0, 0.0769242, 0.00983279, 0.148266, 0.153931
,,,77, 218.051, 211.666, 216.457, 186.96, 185.599,,77, 1, 1.03017, 1.00737, 1.1663, 1.17485,,77, 0, 0.0292828, 0.00731225, 0.142589, 0.14883
,,,78, 220.315, 216.419, 218.05, 189.247, 187.546,,78, 1, 1.018, 1.01038, 1.16417, 1.17472,,78, 0, 0.0176826, 0.0102773, 0.141017, 0.148737
,,,79, 222.172, 216.55, 220.216, 191.331, 189.866,,79, 1, 1.02596, 1.00889, 1.16119, 1.17015,,79, 0, 0.0253045, 0.00880776, 0.138816, 0.14541
,,,80, 212.423, 196.006, 210.274, 181.358, 179.861,,80, 1, 1.08376, 1.01022, 1.1713, 1.18104,,80, 0, 0.0772857, 0.0101203, 0.146245, 0.153292
,,,81, 220.347, 215.882, 218.096, 188.503, 187.229,,81, 1, 1.02068, 1.01032, 1.16893, 1.17688,,81, 0, 0.0202648, 0.010217, 0.144517, 0.150299
,,,82, 223.091, 220.686, 220.213, 190.89, 189.2,,82, 1, 1.0109, 1.01307, 1.16869, 1.17913,,82, 0, 0.0107825, 0.0128997, 0.144341, 0.151918
,,,83, 225.003, 220.85, 222.086, 193.061, 191.369,,83, 1, 1.01881, 1.01314, 1.16545, 1.17576,,83, 0, 0.0184588, 0.012965, 0.141965, 0.149486
,,,84, 214.033, 198.109, 212.151, 182.873, 181.346,,84, 1, 1.08038, 1.00887, 1.1704, 1.18025,,84, 0, 0.0744031, 0.00879646, 0.145588, 0.152722
,,,85, 222.284, 218.079, 220.243, 190.5, 188.85,,85, 1, 1.01928, 1.00927, 1.16685, 1.17704,,85, 0, 0.0189173, 0.00918152, 0.142989, 0.15041
,,,86, 224.866, 222.673, 222.167, 192.527, 191.392,,86, 1, 1.00985, 1.01215, 1.16797, 1.1749,,86, 0, 0.00975369, 0.012003, 0.143814, 0.148862
,,,87, 227.366, 222.663, 224.135, 195.254, 193.735,,87, 1, 1.02112, 1.01442, 1.16446, 1.17359,,87, 0, 0.020684, 0.0142106, 0.141234, 0.147916
,,,88, 216.088, 199.988, 214.014, 185.159, 183.346,,88, 1, 1.0805, 1.00969, 1.16704, 1.17858,,88, 0, 0.0745061, 0.0095976, 0.143128, 0.151518
,,,89, 224.938, 222.567, 222.164, 192.617, 190.985,,89, 1, 1.01065, 1.01248, 1.1678, 1.17777,,89, 0, 0.0105398, 0.012329, 0.143688, 0.150941
,,,90, 227.263, 226.382, 224.132, 194.808, 193.617,,90, 1, 1.00389, 1.01397, 1.1666, 1.17378,,90, 0, 0.00387617, 0.013774, 0.142809, 0.14805
,,,91, 229.053, 227.319, 226.147, 197.26, 195.729,,91, 1, 1.00763, 1.01285, 1.16117, 1.17026,,91, 0, 0.00756848, 0.0126848, 0.138801, 0.145487
,,,92, 217.933, 202.012, 216.443, 188.948, 187.447,,92, 1, 1.07881, 1.00688, 1.1534, 1.16264,,92, 0, 0.0730537, 0.00683731, 0.132998, 0.139889
,,,93, 227.202, 224.623, 224.225, 197.128, 194.831,,93, 1, 1.01148, 1.01328, 1.15256, 1.16615,,93, 0, 0.0113513, 0.0131018, 0.132366, 0.142479
,,,94, 229.1, 228.434, 226.182, 199.676, 198.011,,94, 1, 1.00292, 1.0129, 1.14736, 1.15701,,94, 0, 0.00290666, 0.0127365, 0.128434, 0.135702
,,,95, 230.843, 229.21, 228.277, 201.625, 199.921,,95, 1, 1.00712, 1.01124, 1.14491, 1.15467,,95, 0, 0.00707122, 0.0111147, 0.126569, 0.13395
,,,96, 214.258, 197.927, 212.197, 185.368, 183.354,,96, 1, 1.08251, 1.00971, 1.15585, 1.16855,,96, 0, 0.0762206, 0.00961693, 0.134836, 0.144235
,,,97, 265.913, 262.229, 226.523, 199.789, 197.672,,97, 1, 1.01405, 1.17389, 1.33097, 1.34523,,97, 0, 0.0138544, 0.148132, 0.24867, 0.256631
,,,98, 269.241, 265.966, 228.337, 201.907, 200.724,,98, 1, 1.01231, 1.17914, 1.33349, 1.34135,,98, 0, 0.0121638, 0.151926, 0.250089, 0.254482
,,,99, 270.919, 266.706, 230.362, 204.096, 202.684,,99, 1, 1.01579, 1.17606, 1.32741, 1.33666,,99, 0, 0.0155493, 0.149701, 0.246654, 0.251866
,,,100, 257.217, 241.349, 219.652, 195.23, 193.271,,100, 1, 1.06575, 1.17102, 1.3175, 1.33086,,100, 0, 0.0616913, 0.146043, 0.240988, 0.248606
,,,101, 265.115, 265.001, 228.341, 202.965, 200.748,,101, 1, 1.00043, 1.16105, 1.30621, 1.32064,,101, 0, 0.000429867, 0.138709, 0.234428, 0.242789
,,,102, 266.871, 269.854, 230.383, 205.1, 202.609,,102, 1, 0.988945, 1.15838, 1.30118, 1.31718,,102, 0,-0.0111784, 0.136726, 0.231464, 0.2408
,,,103, 268.81, 269.368, 232.049, 206.904, 204.714,,103, 1, 0.99793, 1.15842, 1.2992, 1.3131,,103, 0,-0.00207472, 0.136756, 0.230297, 0.238443
,,,104, 260.411, 244.241, 222.007, 197.596, 195.724,,104, 1, 1.0662, 1.17299, 1.3179, 1.3305,,104, 0, 0.0620937, 0.147476, 0.241217, 0.248404
