ptest -- memcmp version 1.0
start	0	end	128
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i686	        	  lxCond	        	    lxDw	        
      18	   0.000%	 147.058	   4.164%	 140.935	   8.746%	 134.196	   4.954%	 139.772	  16.811%	 122.336
      19	   0.000%	 149.256	   3.543%	 143.968	   8.431%	 136.672	   4.094%	 143.146	  16.093%	 125.237
      20	   0.000%	 152.655	   4.172%	 146.287	  13.222%	 132.471	   4.551%	 145.708	  24.131%	 115.818
      21	   0.000%	 155.640	   4.067%	 149.311	  13.121%	 135.218	   4.497%	 148.642	  21.524%	 122.141
      22	   0.000%	 157.775	   3.205%	 152.719	  11.982%	 138.871	   4.230%	 151.101	  20.256%	 125.817
      23	   0.000%	 160.932	   3.493%	 155.312	  12.710%	 140.477	   4.564%	 153.588	  20.297%	 128.269
      24	   0.000%	 163.749	   3.967%	 157.253	  16.519%	 136.699	   4.041%	 157.132	  26.917%	 119.673
      25	   0.000%	 166.417	   3.491%	 160.607	  16.366%	 139.181	   3.652%	 160.340	  24.976%	 124.853
      26	   0.000%	 169.818	   3.768%	 163.419	  16.063%	 142.541	   4.186%	 162.709	  24.374%	 128.426
      27	   0.000%	 171.428	   2.805%	 166.619	  15.198%	 145.374	   3.760%	 164.983	  23.240%	 131.588
      28	   0.000%	 174.268	   3.192%	 168.705	  19.147%	 140.901	   3.901%	 167.469	  29.216%	 123.354
      29	   0.000%	 177.737	   3.586%	 171.363	  18.613%	 144.655	   3.605%	 171.330	  28.062%	 127.860
      30	   0.000%	 180.149	   2.924%	 174.881	  18.041%	 147.648	   3.597%	 173.670	  26.778%	 131.909
      31	   0.000%	 183.494	   3.680%	 176.741	  17.878%	 150.690	   3.577%	 176.931	  26.390%	 135.069
      32	   0.000%	 186.189	   3.044%	 180.522	  25.900%	 137.966	   3.339%	 179.973	  31.945%	 126.710
      33	   0.000%	 206.371	   3.080%	 200.015	  23.415%	 158.048	   3.543%	 199.059	  28.632%	 147.284
      34	   0.000%	 212.616	   3.164%	 205.888	  24.666%	 160.172	   4.160%	 203.770	  27.766%	 153.581
      35	   0.000%	 213.248	   2.499%	 207.919	  23.782%	 162.533	   2.668%	 207.559	  27.356%	 154.912
      36	   0.000%	 215.516	   2.181%	 210.815	  25.688%	 160.155	   2.831%	 209.415	  32.430%	 145.623
      37	   0.000%	 219.775	   2.958%	 213.275	  26.126%	 162.358	   3.378%	 212.351	  31.568%	 150.396
      38	   0.000%	 222.466	   3.054%	 215.671	  25.590%	 165.537	   3.549%	 214.571	  30.784%	 153.982
      39	   0.000%	 225.037	   2.393%	 219.652	  25.880%	 166.798	   3.550%	 217.047	  30.331%	 156.781
      40	   0.000%	 227.573	   2.370%	 222.179	  27.682%	 164.575	   2.768%	 221.275	  33.934%	 150.348
      41	   0.000%	 229.264	   1.987%	 224.709	  27.119%	 167.091	   2.815%	 222.812	  32.419%	 154.939
      42	   0.000%	 231.889	   2.159%	 226.883	  27.609%	 167.867	   2.442%	 226.226	  31.189%	 159.564
      43	   0.000%	 234.918	   2.383%	 229.319	  26.692%	 172.213	   2.378%	 229.331	  31.136%	 161.773
      44	   0.000%	 238.260	   2.177%	 233.073	  29.556%	 167.839	   3.257%	 230.499	  35.342%	 154.054
      45	   0.000%	 240.345	   1.986%	 235.571	  28.584%	 171.645	   2.523%	 234.282	  34.004%	 158.619
      46	   0.000%	 244.127	   2.518%	 237.980	  28.430%	 174.722	   2.983%	 236.845	  33.705%	 161.844
      47	   0.000%	 245.821	   2.416%	 239.881	  27.980%	 177.040	   2.569%	 239.505	  32.906%	 164.931
      48	   0.000%	 248.751	   2.054%	 243.641	  31.157%	 171.247	   3.059%	 241.142	  36.745%	 157.349
      49	   0.000%	 250.557	   1.492%	 246.818	  29.724%	 176.082	   2.369%	 244.622	  35.256%	 162.220
      50	   0.000%	 253.439	   1.966%	 248.458	  29.642%	 178.315	   2.398%	 247.363	  34.888%	 165.020
      51	   0.000%	 256.820	   2.399%	 250.659	  29.775%	 180.353	   2.983%	 249.159	  34.786%	 167.482
      52	   0.000%	 257.092	   1.828%	 252.392	  31.220%	 176.827	   2.036%	 251.859	  37.642%	 160.318
      53	   0.000%	 261.644	   1.624%	 257.394	  31.287%	 179.784	   2.864%	 254.150	  36.653%	 165.744
      54	   0.000%	 263.877	   2.495%	 257.293	  30.287%	 183.957	   3.108%	 255.677	  36.304%	 168.079
      55	   0.000%	 265.083	   1.503%	 261.098	  30.170%	 185.107	   2.613%	 258.156	  35.862%	 170.018
      56	   0.000%	 267.702	   2.383%	 261.322	  32.132%	 181.684	   2.177%	 261.875	  38.968%	 163.384
      57	   0.000%	 272.902	   2.797%	 265.270	  32.247%	 184.899	   3.523%	 263.289	  38.277%	 168.443
      58	   0.000%	 272.371	   1.612%	 267.981	  31.602%	 186.297	   1.975%	 266.991	  37.214%	 171.012
      59	   0.000%	 274.640	   1.231%	 271.258	  31.138%	 189.122	   2.162%	 268.703	  36.939%	 173.191
      60	   0.000%	 277.927	   2.283%	 271.582	  33.380%	 185.156	   2.366%	 271.352	  40.249%	 166.065
      61	   0.000%	 280.614	   2.653%	 273.169	  32.853%	 188.425	   2.966%	 272.290	  39.053%	 171.025
      62	   0.000%	 281.998	   1.069%	 278.985	  32.475%	 190.418	   2.459%	 275.063	  38.283%	 174.040
      63	   0.000%	 284.132	   1.326%	 280.366	  32.329%	 192.276	   1.959%	 278.566	  38.139%	 175.767
      64	   0.000%	 287.051	   1.476%	 282.813	  33.533%	 190.795	   2.521%	 279.815	  40.964%	 169.463
      65	   0.000%	 307.509	   1.718%	 302.227	  31.456%	 210.780	   3.188%	 297.705	  39.201%	 186.961
      66	   0.000%	 309.665	   0.902%	 306.871	  31.853%	 211.029	   2.424%	 302.159	  38.386%	 190.796
      67	   0.000%	 311.724	   1.149%	 308.141	  31.503%	 213.523	   1.542%	 306.917	  38.153%	 192.791
      68	   0.000%	 316.097	   1.985%	 309.822	  33.356%	 210.660	   3.046%	 306.469	  41.506%	 184.897
      69	   0.000%	 318.412	   2.508%	 310.425	  33.306%	 212.362	   3.016%	 308.809	  40.385%	 189.821
      70	   0.000%	 318.442	   0.823%	 315.822	  32.405%	 215.252	   1.946%	 312.243	  39.629%	 192.245
      71	   0.000%	 321.110	   1.414%	 316.570	  31.347%	 220.453	   2.246%	 313.898	  39.580%	 194.014
      72	   0.000%	 326.029	   2.229%	 318.762	  33.640%	 216.352	   2.330%	 318.432	  41.942%	 189.285
      73	   0.000%	 330.649	   2.711%	 321.686	  34.577%	 216.321	   3.063%	 320.520	  41.537%	 193.308
      74	   0.000%	 330.602	   1.651%	 325.144	  33.333%	 220.402	   1.732%	 324.875	  40.624%	 196.299
      75	   0.000%	 332.745	   1.131%	 328.981	  32.885%	 223.322	   2.455%	 324.575	  40.533%	 197.873
      76	   0.000%	 333.676	   1.629%	 328.239	  33.845%	 220.743	   2.146%	 326.516	  42.357%	 192.341
      77	   0.000%	 338.237	   1.685%	 332.538	  34.248%	 222.397	   3.028%	 327.994	  41.881%	 196.581
      78	   0.000%	 339.984	   1.850%	 333.694	  33.851%	 224.895	   1.967%	 333.297	  41.747%	 198.050
      79	   0.000%	 343.493	   1.461%	 338.475	  34.450%	 225.161	   1.999%	 336.625	  41.381%	 201.351
      80	   0.000%	 341.763	   1.006%	 338.324	  34.649%	 223.346	   1.683%	 336.011	  43.116%	 194.408
      81	   0.000%	 349.190	   1.269%	 344.759	  35.440%	 225.438	   3.420%	 337.246	  43.471%	 197.394
      82	   0.000%	 348.620	   1.128%	 344.686	  34.870%	 227.056	   2.824%	 338.776	  42.330%	 201.048
      83	   0.000%	 351.880	   1.452%	 346.769	  34.956%	 228.878	   1.655%	 346.055	  42.033%	 203.972
      84	   0.000%	 353.777	   1.033%	 350.123	  35.817%	 227.063	   3.416%	 341.692	  44.294%	 197.076
      85	   0.000%	 358.795	   2.178%	 350.979	  36.598%	 227.483	   3.670%	 345.627	  43.690%	 202.038
      86	   0.000%	 359.162	   2.173%	 351.357	  35.995%	 229.882	   2.001%	 351.976	  43.276%	 203.733
      87	   0.000%	 361.856	   1.779%	 355.420	  36.007%	 231.564	   2.988%	 351.043	  43.132%	 205.782
      88	   0.000%	 363.473	   1.094%	 359.495	  36.108%	 232.228	   2.957%	 352.726	  44.782%	 200.702
      89	   0.000%	 366.569	   1.381%	 361.505	  36.186%	 233.921	   2.139%	 358.728	  44.409%	 203.781
      90	   0.000%	 370.398	   2.358%	 361.664	  36.286%	 235.997	   3.584%	 357.122	  44.437%	 205.805
      91	   0.000%	 368.392	   1.115%	 364.284	  35.458%	 237.766	   1.297%	 363.614	  43.590%	 207.812
      92	   0.000%	 375.086	   1.967%	 367.707	  37.631%	 233.937	   2.758%	 364.740	  45.995%	 202.566
      93	   0.000%	 376.247	   2.376%	 367.306	  37.016%	 236.975	   2.485%	 366.898	  45.021%	 206.858
      94	   0.000%	 379.323	   3.083%	 367.630	  37.443%	 237.294	   1.923%	 372.029	  45.196%	 207.883
      95	   0.000%	 378.477	   0.552%	 376.388	  36.390%	 240.750	   2.614%	 368.584	  44.440%	 210.282
      96	   0.000%	 380.584	   0.760%	 377.692	  38.689%	 233.342	   1.188%	 376.062	  46.082%	 205.205
      97	   0.000%	 400.805	   0.822%	 397.512	  38.017%	 248.429	   1.383%	 395.262	  46.034%	 216.300
      98	   0.000%	 405.404	   1.500%	 399.324	  38.533%	 249.188	   1.377%	 399.821	  45.603%	 220.526
      99	   0.000%	 410.460	   1.844%	 402.891	  38.856%	 250.973	   2.610%	 399.746	  46.007%	 221.621
     100	   0.000%	 407.359	   1.040%	 403.122	  38.898%	 248.906	   1.421%	 401.572	  47.032%	 215.770
     101	   0.000%	 408.148	   0.686%	 405.348	  38.748%	 249.999	   0.804%	 404.867	  46.518%	 218.285
     102	   0.000%	 414.368	   2.090%	 405.710	  38.088%	 256.542	   2.480%	 404.092	  47.126%	 219.094
     103	   0.000%	 420.115	   1.847%	 412.357	  38.846%	 256.916	   3.264%	 406.403	  47.255%	 221.589
     104	   0.000%	 419.110	   0.947%	 415.140	  40.191%	 250.666	   1.301%	 413.657	  47.953%	 218.134
     105	   0.000%	 422.700	   1.647%	 415.737	  39.163%	 257.160	   1.456%	 416.545	  47.779%	 220.737
     106	   0.000%	 422.825	   0.936%	 418.866	  39.076%	 257.602	   1.221%	 417.663	  47.228%	 223.134
     107	   0.000%	 425.403	   1.121%	 420.635	  39.178%	 258.737	   2.498%	 414.775	  47.526%	 223.227
     108	   0.000%	 425.051	   0.900%	 421.223	  40.823%	 251.531	   1.828%	 417.281	  48.184%	 220.243
     109	   0.000%	 426.592	   0.984%	 422.396	  39.047%	 260.021	   1.392%	 420.656	  47.749%	 222.897
     110	   0.000%	 427.363	   0.803%	 423.933	  40.300%	 255.134	   1.105%	 422.640	  47.627%	 223.822
     111	   0.000%	 426.560	  -0.080%	 426.899	  38.616%	 261.840	   0.036%	 426.407	  47.286%	 224.858
     112	   0.000%	 436.182	   1.993%	 427.489	  40.370%	 260.095	   2.243%	 426.401	  49.221%	 221.490
     113	   0.000%	 438.423	   2.074%	 429.330	  40.252%	 261.951	   2.561%	 427.197	  48.871%	 224.161
     114	   0.000%	 442.765	   1.034%	 438.189	  41.081%	 260.872	   3.227%	 428.475	  49.107%	 225.335
     115	   0.000%	 442.964	   3.006%	 429.646	  40.679%	 262.772	   2.788%	 430.616	  47.988%	 230.392
     116	   0.000%	 442.137	   0.810%	 438.556	  40.841%	 261.564	   3.027%	 428.755	  49.316%	 224.095
     117	   0.000%	 445.420	   1.447%	 438.973	  41.284%	 261.531	   3.116%	 431.539	  49.429%	 225.255
     118	   0.000%	 445.647	   0.734%	 442.375	  40.928%	 263.254	   1.655%	 438.273	  49.089%	 226.886
     119	   0.000%	 447.785	   0.651%	 444.869	  40.149%	 268.004	   1.784%	 439.795	  48.233%	 231.805
     120	   0.000%	 445.621	   0.439%	 443.664	  41.199%	 262.031	   1.014%	 441.101	  49.361%	 225.658
     121	   0.000%	 449.564	   1.353%	 443.482	  41.763%	 261.812	   1.618%	 442.290	  48.468%	 231.670
     122	   0.000%	 451.675	   1.354%	 445.561	  40.476%	 268.857	   2.091%	 442.229	  48.488%	 232.669
     123	   0.000%	 450.002	   0.645%	 447.102	  40.478%	 267.852	   1.293%	 444.185	  48.073%	 233.671
     124	   0.000%	 457.360	   1.933%	 448.517	  42.085%	 264.879	   2.048%	 447.994	  49.463%	 231.136
     125	   0.000%	 461.406	   2.276%	 450.902	  41.639%	 269.282	   2.852%	 448.246	  49.494%	 233.038
     126	   0.000%	 460.680	   2.345%	 449.875	  41.255%	 270.627	   2.749%	 448.017	  49.413%	 233.042
     127	   0.000%	 462.734	   0.869%	 458.714	  41.417%	 271.084	   2.579%	 450.801	  49.499%	 233.685
     128	   0.000%	 463.002	   0.536%	 460.519	  43.806%	 260.178	   2.626%	 450.845	  49.938%	 231.787
