name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
,,,119, 1518.8, 1068, 1166.65, 938.206, 1093.96, 1089.26, 978.124, 710.658, 692.993, 890.661,,119, 1, 1.42209, 1.30185, 1.61883, 1.38834, 1.39434, 1.55276, 2.13717, 2.19165, 1.70525,,119, 0, 0.296812, 0.231861, 0.382271, 0.279716, 0.282813, 0.355987, 0.532091, 0.543722, 0.413575
,,,120, 1511, 1079.77, 1171.31, 942.151, 1077.11, 1075.66, 967.176, 713.575, 691.558, 898.097,,120, 1, 1.39937, 1.29001, 1.60377, 1.40282, 1.40472, 1.56228, 2.1175, 2.18492, 1.68244,,120, 0, 0.285391, 0.224812, 0.37647, 0.287149, 0.288114, 0.359908, 0.527745, 0.542317, 0.405626
,,,121, 1509.28, 1085.99, 1172.71, 948.726, 1079.29, 1094.72, 993.7, 712.269, 712.129, 887.025,,121, 1, 1.38977, 1.287, 1.59085, 1.39841, 1.37869, 1.51885, 2.11898, 2.1194, 1.70151,,121, 0, 0.280459, 0.223002, 0.371407, 0.284902, 0.274674, 0.341608, 0.528075, 0.528168, 0.412287
,,,122, 1543.4, 1071.38, 1171.54, 937.491, 1076.17, 1117.08, 986.079, 710.929, 711.101, 886.727,,122, 1, 1.44057, 1.31741, 1.64631, 1.43416, 1.38164, 1.56519, 2.17097, 2.17044, 1.74056,,122, 0, 0.305832, 0.240935, 0.392581, 0.30273, 0.276221, 0.3611, 0.539376, 0.539264, 0.425472
,,,123, 1545.61, 1075.57, 1175, 934.289, 1072.58, 1113.71, 990.354, 710.968, 710.524, 895.052,,123, 1, 1.43701, 1.3154, 1.65431, 1.44101, 1.3878, 1.56066, 2.17394, 2.1753, 1.72683,,123, 0, 0.304111, 0.239777, 0.395519, 0.306043, 0.279434, 0.359245, 0.540007, 0.540294, 0.420905
,,,124, 1550.44, 1105.07, 1159.68, 930.29, 1068.56, 1100.25, 988.54, 713.469, 711.315, 911.629,,124, 1, 1.40302, 1.33696, 1.66663, 1.45096, 1.40918, 1.56842, 2.17311, 2.17969, 1.70074,,124, 0, 0.287254, 0.252032, 0.399985, 0.310803, 0.290366, 0.362415, 0.53983, 0.541218, 0.412021
,,,125, 1542.73, 1099.8, 1203.22, 972.595, 1105.77, 1110.96, 985.361, 712.385, 711.998, 910.389,,125, 1, 1.40274, 1.28217, 1.5862, 1.39517, 1.38865, 1.56565, 2.16559, 2.16677, 1.69459,,125, 0, 0.287112, 0.220075, 0.369564, 0.283241, 0.279874, 0.361289, 0.538232, 0.538483, 0.409886
,,,126, 1550.17, 1103.46, 1189.7, 958.693, 1106.81, 1090.14, 973.384, 711.799, 712.122, 906.655,,126, 1, 1.40482, 1.30299, 1.61696, 1.40058, 1.42199, 1.59255, 2.17781, 2.17683, 1.70976,,126, 0, 0.288167, 0.232537, 0.381555, 0.286009, 0.296762, 0.372078, 0.540824, 0.540616, 0.415124
,,,127, 1552.69, 1090.24, 1192.28, 966.112, 1109.02, 1094.5, 966.521, 713.387, 710.735, 919.598,,127, 1, 1.42417, 1.30228, 1.60715, 1.40006, 1.41863, 1.60647, 2.17651, 2.18463, 1.68845,,127, 0, 0.297838, 0.232118, 0.377782, 0.285743, 0.295096, 0.377519, 0.540548, 0.542256, 0.40774
,,,128, 1545.53, 1094.22, 1181.55, 960.704, 1105.31, 1098.03, 966.755, 711.414, 711.241, 912.249,,128, 1, 1.41245, 1.30806, 1.60875, 1.39828, 1.40755, 1.59868, 2.17248, 2.17301, 1.6942,,128, 0, 0.292008, 0.235507, 0.378399, 0.284834, 0.289547, 0.374484, 0.539697, 0.539808, 0.409751

