name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,0, 71.7897, 92.6258, 88.3065, 90.7268,,0, 1, 0.775051, 0.81296, 0.791273,,0, 0,-0.290238,-0.230073,-0.263786
start,0,,1, 97.6079, 101.999, 104.502, 102.214,,1, 1, 0.956954, 0.934032, 0.954936,,1, 0,-0.0449825,-0.0706275,-0.047191
end,128,,2, 104.344, 110.993, 121.607, 112.937,,2, 1, 0.940096, 0.858045, 0.923914,,2, 0,-0.0637207,-0.16544,-0.0823515
incr,1,,3, 111.149, 120.439, 137.27, 122.806,,3, 1, 0.922865, 0.809706, 0.905076,,3, 0,-0.0835821,-0.235017,-0.104879
num_try,491520,,4, 118.18, 124.515, 141.352, 127.494,,4, 1, 0.949124, 0.836067, 0.926948,,4, 0,-0.0536026,-0.196076,-0.0788092
align,31,,5, 124.662, 129.25, 144.606, 131.926,,5, 1, 0.964499, 0.862079, 0.944941,,5, 0,-0.0368075,-0.159987,-0.058267
baseline,0,,6, 131.674, 133.963, 148.038, 136.384,,6, 1, 0.982915, 0.889458, 0.965464,,6, 0,-0.017382,-0.12428,-0.035771
rand,1,,7, 138.679, 138.604, 152.247, 141.028,,7, 1, 1.00054, 0.910877, 0.983339,,7, 0, 0.000538883,-0.0978433,-0.0169434
rand_align,1,,8, 145.443, 142.558, 157.407, 144.917,,8, 1, 1.02023, 0.923989, 1.00363,,8, 0, 0.0198317,-0.0822641, 0.00361574
seed,0,,9, 151.876, 146.935, 161.993, 149.455,,9, 1, 1.03362, 0.937544, 1.0162,,9, 0, 0.0325282,-0.0666171, 0.0159391
testmask,0,,10, 159.074, 151.071, 165.459, 153.677,,10, 1, 1.05298, 0.961414, 1.03512,,10, 0, 0.0503135,-0.0401347, 0.0339312
clock,500,,11, 165.74, 155.06, 168.976, 157.723,,11, 1, 1.06888, 0.980851, 1.05083,,11, 0, 0.0644404,-0.0195233, 0.0483706
