name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
clock,500,,11, 75.5392, 76.4598, 73.2644, 71.3592, 71.357, 68.3209, 66.3282, 71.3203, 71.3252, 82.1447, 79.8764, 75.431, 79.8844,,11, 1, 0.98796, 1.03105, 1.05858, 1.05861, 1.10565, 1.13887, 1.05915, 1.05908, 0.919587, 0.945701, 1.00144, 0.945607,,11, 0,-0.0121869, 0.0301149, 0.0553352, 0.0553648, 0.0955576, 0.121937, 0.0558508, 0.0557856,-0.0874445,-0.0574169, 0.00143298,-0.0575218
=====,,,12, 82.23, 83.26, 69.5451, 67.3778, 67.373, 64.3364, 62.3171, 67.3249, 67.3289, 78.1291, 75.8772, 71.456, 75.8758,,12, 1, 0.987629, 1.1824, 1.22043, 1.22052, 1.27813, 1.31954, 1.22139, 1.22132, 1.05249, 1.08373, 1.15078, 1.08375,,12, 0,-0.0125257, 0.154261, 0.180618, 0.180676, 0.217604, 0.242162, 0.181262, 0.181213, 0.0498712, 0.0772568, 0.131023, 0.0772743
Totals:,,,13, 86.1946, 87.1777, 73.2591, 71.3655, 71.3598, 68.323, 66.325, 71.3233, 71.3261, 82.1396, 79.8731, 75.4266, 79.8764,,13, 1, 0.988724, 1.17657, 1.20779, 1.20789, 1.26158, 1.29958, 1.20851, 1.20846, 1.04937, 1.07914, 1.14276, 1.0791,,13, 0,-0.0114045, 0.150073, 0.172042, 0.172109, 0.20734, 0.23052, 0.172533, 0.172499, 0.0470447, 0.0733405, 0.124927, 0.0733026
total_bytes, 8256,,14, 87.1817, 88.1668, 74.524, 71.4161, 72.3775, 69.3209, 67.327, 72.3299, 72.3288, 83.1202, 80.8797, 76.4143, 80.8696,,14, 1, 0.988826, 1.16985, 1.22076, 1.20454, 1.25765, 1.2949, 1.20533, 1.20535, 1.04886, 1.07792, 1.14091, 1.07805,,14, 0,-0.0113001, 0.145187, 0.180836, 0.169808, 0.204869, 0.227739, 0.170354, 0.170367, 0.0465857, 0.0722853, 0.123504, 0.0724015
best_test,lx_simp,,15, 88.1747, 89.1101, 75.5236, 72.4039, 73.3706, 70.3207, 68.3273, 73.3282, 73.3315, 84.1331, 81.8695, 77.9474, 81.8875,,15, 1, 0.989502, 1.16751, 1.21782, 1.20177, 1.25389, 1.29047, 1.20247, 1.20241, 1.04804, 1.07702, 1.13121, 1.07678,,15, 0,-0.0106092, 0.143478, 0.178858, 0.167895, 0.202484, 0.225091, 0.168375, 0.168338, 0.0458362, 0.0715081, 0.115989, 0.0713031
best_total, 10240.6,,16, 83.2646, 84.1808, 69.9126, 68.3717, 68.3777, 65.3243, 63.3252, 68.3183, 68.3218, 78.4273, 76.4265, 72.3999, 76.4315,,16, 1, 0.989116, 1.19098, 1.21782, 1.21772, 1.27463, 1.31487, 1.21877, 1.21871, 1.06168, 1.08947, 1.15006, 1.0894,,16, 0,-0.0110039, 0.160356, 0.178862, 0.17879, 0.215461, 0.23947, 0.179503, 0.179461, 0.0580953, 0.0821244, 0.130483, 0.0820645
worst_test,i586,,17, 87.1818, 88.185, 74.5245, 71.4168, 72.3781, 69.3213, 67.327, 72.3333, 72.3319, 83.138, 80.8665, 76.4276, 80.8745,,17, 1, 0.988624, 1.16984, 1.22075, 1.20453, 1.25765, 1.2949, 1.20528, 1.2053, 1.04864, 1.0781, 1.14071, 1.07799,,17, 0,-0.0115065, 0.145183, 0.18083, 0.169803, 0.204865, 0.227741, 0.170317, 0.170333, 0.0463844, 0.0724387, 0.123354, 0.0723465
worst_total, 20214.1,,18, 88.1691, 89.1966, 75.5339, 72.3979, 73.3694, 70.3168, 68.3224, 73.3319, 73.3292, 84.1261, 81.8877, 77.9212, 81.9,,18, 1, 0.988481, 1.16728, 1.21784, 1.20171, 1.25388, 1.29049, 1.20233, 1.20237, 1.04806, 1.07671, 1.13152, 1.07655,,18, 0,-0.011653, 0.143306, 0.178874, 0.167856, 0.202478, 0.225099, 0.168281, 0.168312, 0.0458552, 0.0712425, 0.11623, 0.0711031
total_local, 12656.9,,19, 89.1935, 90.1732, 76.5181, 73.4077, 74.3683, 71.3168, 69.3225, 74.3285, 74.3286, 85.1414, 82.8747, 78.9112, 82.886,,19, 1, 0.989135, 1.16565, 1.21504, 1.19935, 1.25067, 1.28665, 1.19999, 1.19999, 1.04759, 1.07625, 1.1303, 1.0761,,19, 0,-0.010984, 0.142112, 0.176984, 0.166215, 0.200426, 0.222786, 0.166661, 0.166659, 0.0454314, 0.0708438, 0.115281, 0.0707172
total_i386, 12784.8,,20, 84.1865, 85.1957, 70.6627, 69.3777, 69.3757, 66.3272, 64.3335, 69.3252, 69.328, 79.4373, 77.412, 73.4207, 76.964,,20, 1, 0.988155, 1.19139, 1.21345, 1.21349, 1.26926, 1.30859, 1.21437, 1.21432, 1.05979, 1.08751, 1.14663, 1.09384,,20, 0,-0.0119873, 0.160642, 0.175905, 0.175928, 0.21214, 0.235821, 0.176529, 0.176495, 0.0564139, 0.0804704, 0.127881, 0.0857923
