name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,3, 186.677, 180.456, 237.147, 177.772, 192.721,,3, 1, 1.03447, 0.787178, 1.05009, 0.968638,,3, 0, 0.0333259,-0.270361, 0.0477035,-0.0323775
start,3,,36, 417.063, 410.508, 354.959, 406.557, 321.774,,36, 1, 1.01597, 1.17496, 1.02584, 1.29614,,36, 0, 0.015717, 0.148909, 0.0251908, 0.228477
end,2049,,69, 647.812, 636.681, 490.447, 635.237, 468.19,,69, 1, 1.01748, 1.32086, 1.01979, 1.38365,,69, 0, 0.0171822, 0.242917, 0.0194104, 0.277275
incr,33,,102, 871.364, 865.207, 630.362, 861.435, 606.705,,102, 1, 1.00712, 1.38232, 1.01153, 1.43622,,102, 0, 0.00706684, 0.276581, 0.0113958, 0.303729
num_try,15360,,135, 1099.96, 1087.46, 766.698, 1086.71, 748.437,,135, 1, 1.0115, 1.43468, 1.0122, 1.46968,,135, 0, 0.0113705, 0.302979, 0.01205, 0.31958
align,31,,168, 1320.65, 1308.95, 885.345, 1335.54, 870.512,,168, 1, 1.00894, 1.49168, 0.988852, 1.51709,,168, 0, 0.00886142, 0.329613,-0.0112742, 0.340845
baseline,0,,201, 1539.64, 1528.29, 1016.62, 1525.09, 1009.95,,201, 1, 1.00743, 1.51446, 1.00954, 1.52447,,201, 0, 0.00737143, 0.339701, 0.00945265, 0.344035
rand,1,,234, 1797.26, 1742.45, 1151.55, 1791.33, 1133.83,,234, 1, 1.03146, 1.56074, 1.00331, 1.58512,,234, 0, 0.0304961, 0.359276, 0.00330047, 0.369134
rand_align,1,,267, 1969.71, 1961.07, 1279.11, 1958.76, 1275.8,,267, 1, 1.00441, 1.53991, 1.00559, 1.5439,,267, 0, 0.00438897, 0.350611, 0.00556129, 0.35229
seed,0,,300, 2236.42, 2223.51, 1405.74, 2204.3, 1387.95,,300, 1, 1.0058, 1.59092, 1.01457, 1.61132,,300, 0, 0.00576993, 0.371433, 0.014363, 0.379389
testmask,0,,333, 2399.97, 2396.17, 1544.62, 2436.27, 1534.55,,333, 1, 1.00159, 1.55376, 0.985103, 1.56396,,333, 0, 0.00158511, 0.3564,-0.0151224, 0.360597
clock,500,,366, 2624.82, 2617.72, 1666.55, 2649.97, 1660.9,,366, 1, 1.00271, 1.575, 0.99051, 1.58036,,366, 0, 0.00270663, 0.36508,-0.00958049, 0.367232
=====,,,399, 2877.86, 2865.93, 1808.4, 2866.45, 1791.92,,399, 1, 1.00416, 1.59138, 1.00398, 1.60602,,399, 0, 0.00414346, 0.371615, 0.00396286, 0.377343
Totals:,,,432, 3046.56, 3034.43, 1926.44, 3017.47, 1915.31,,432, 1, 1.004, 1.58145, 1.00964, 1.59064,,432, 0, 0.00398128, 0.367668, 0.00954875, 0.371322
total_bytes, 64638,,465, 3289.64, 3262.32, 2046.57, 3316.7, 2048.04,,465, 1, 1.00837, 1.60739, 0.99184, 1.60623,,465, 0, 0.00830525, 0.377875,-0.00822738, 0.377426
best_test,i686,,498, 3480.7, 3474.24, 2161.64, 3454.19, 2165.75,,498, 1, 1.00186, 1.61021, 1.00767, 1.60715,,498, 0, 0.00185568, 0.378964, 0.00761596, 0.377782
best_total, 236446,,531, 3703.13, 3694.07, 2291.58, 3649.18, 2295.32,,531, 1, 1.00245, 1.61597, 1.01478, 1.61334,,531, 0, 0.00244715, 0.381176, 0.0145668, 0.380166
worst_test,local,,564, 3921.86, 3883.22, 2410.03, 3865.56, 2401.03,,564, 1, 1.00995, 1.62731, 1.01457, 1.63341,,564, 0, 0.00985297, 0.38549, 0.014357, 0.387785
worst_total, 383442,,597, 4077.7, 4093.88, 2543.84, 4068.92, 2538.68,,597, 1, 0.996048, 1.60297, 1.00216, 1.60623,,597, 0,-0.00396754, 0.376158, 0.00215214, 0.377424
total_local, 383442,,630, 4303.21, 4265.73, 2667.98, 4242.43, 2659.05,,630, 1, 1.00879, 1.61291, 1.01433, 1.61833,,630, 0, 0.00870982, 0.380003, 0.0141244, 0.382078
total_i386, 382778,,663, 4495.22, 4477.99, 2789.4, 4435.73, 2782.03,,663, 1, 1.00385, 1.61154, 1.01341, 1.61581,,663, 0, 0.00383386, 0.379474, 0.0132346, 0.381114
total_i686, 236446,,696, 4678.25, 4655.46, 2891.32, 4624.33, 2904.51,,696, 1, 1.0049, 1.61803, 1.01166, 1.61068,,696, 0, 0.00487192, 0.381966, 0.0115261, 0.379145
total_lxCond, 383171,,729, 4881.23, 4863.69, 3035.95, 4819.04, 3027.93,,729, 1, 1.00361, 1.60781, 1.01291, 1.61207,,729, 0, 0.00359367, 0.378036, 0.0127407, 0.379678
total_lxDw, 238210,,762, 5082.97, 5056.83, 3170.06, 5031.34, 3164.9,,762, 1, 1.00517, 1.60343, 1.01026, 1.60605,,762, 0, 0.00514153, 0.376336, 0.0101579, 0.377353
ratio_local, 1,,795, 5258.02, 5253.51, 3287.01, 5239.54, 3277.54,,795, 1, 1.00086, 1.59964, 1.00353, 1.60426,,795, 0, 0.000858042, 0.374858, 0.00351545, 0.37666
ratio_i386, 1.00174,,828, 5443.19, 5439.52, 3372.31, 5381.5, 3363.49,,828, 1, 1.00067, 1.61408, 1.01146, 1.61831,,828, 0, 0.000673293, 0.380453, 0.011333, 0.382073
ratio_i686, 1.62169,,861, 5618.8, 5609.31, 3508.26, 5611.47, 3505.02,,861, 1, 1.00169, 1.60159, 1.00131, 1.60307,,861, 0, 0.00168953, 0.37562, 0.00130405, 0.376197
ratio_lxCond, 1.00071,,894, 5785.95, 5824.36, 3641.31, 5811.96, 3633.78,,894, 1, 0.993405, 1.58898, 0.995525, 1.59227,,894, 0,-0.00663868, 0.370664,-0.0044954, 0.371965
ratio_lxDw, 1.60968,,927, 5988.41, 5973.5, 3708.44, 6012.17, 3730.07,,927, 1, 1.0025, 1.6148, 0.996048, 1.60544,,927, 0, 0.00248936, 0.38073,-0.00396768, 0.377119
,,,960, 6181.76, 6187.48, 3836.71, 6203.8, 3845.28,,960, 1, 0.999076, 1.61121, 0.996446, 1.60762,,960, 0,-0.000925288, 0.37935,-0.00356633, 0.377963
,,,993, 6388.21, 6353.73, 3926.98, 6400.38, 3925.21,,993, 1, 1.00543, 1.62675, 0.998099, 1.62748,,993, 0, 0.00539727, 0.385277,-0.00190501, 0.385554
,,,1026, 6560.29, 6568.94, 4042.9, 6561.96, 4023.68,,1026, 1, 0.998684, 1.62267, 0.999746, 1.63042,,1026, 0,-0.00131766, 0.383732,-0.000253609, 0.386661
,,,1059, 6803.15, 6779.72, 4118.95, 6761.03, 4115.11,,1059, 1, 1.00345, 1.65167, 1.00623, 1.65321,,1059, 0, 0.00344291, 0.394551, 0.00618991, 0.395116
,,,1092, 6941.59, 6914.23, 4200.55, 6926.77, 4225.62,,1092, 1, 1.00396, 1.65255, 1.00214, 1.64274,,1092, 0, 0.00394242, 0.394873, 0.00213472, 0.391261
,,,1125, 7117, 7125.29, 4286.94, 7112.49, 4355.85,,1125, 1, 0.998837, 1.66016, 1.00063, 1.6339,,1125, 0,-0.00116484, 0.397647, 0.00063302, 0.387966
,,,1158, 7293.6, 7269.48, 4401.01, 7243.01, 4409.85,,1158, 1, 1.00332, 1.65726, 1.00698, 1.65393,,1158, 0, 0.00330709, 0.396593, 0.00693577, 0.39538
,,,1191, 7438.95, 7473.48, 4490.31, 7475.37, 4547.59,,1191, 1, 0.995379, 1.65667, 0.995128, 1.6358,,1191, 0,-0.00464205, 0.396378,-0.00489603, 0.388678
,,,1224, 7616.17, 7571.4, 4567.48, 7565.72, 4576.92,,1224, 1, 1.00591, 1.66748, 1.00667, 1.66404,,1224, 0, 0.00587895, 0.400292, 0.00662475, 0.399052
,,,1257, 7824.23, 7797.57, 4690.67, 7813.56, 4711.66,,1257, 1, 1.00342, 1.66804, 1.00136, 1.66061,,1257, 0, 0.00340645, 0.400494, 0.00136258, 0.397811
,,,1290, 7941.29, 7923.63, 4728.06, 7896.87, 4816.08,,1290, 1, 1.00223, 1.67961, 1.00562, 1.64891,,1290, 0, 0.00222353, 0.404623, 0.0055933, 0.393539
,,,1323, 8111.47, 8061.94, 4834.34, 7975.23, 4886.81,,1323, 1, 1.00614, 1.67788, 1.01708, 1.65987,,1323, 0, 0.0061055, 0.404012, 0.0167952, 0.397543
,,,1356, 8156.76, 8191.2, 4970.95, 8222.67, 4984.1,,1356, 1, 0.995796, 1.64089, 0.991985, 1.63656,,1356, 0,-0.00422147, 0.390574,-0.00807981, 0.388961
,,,1389, 8261.54, 8246.28, 4995.12, 8315.17, 5086.24,,1389, 1, 1.00185, 1.65392, 0.993551, 1.62429,,1389, 0, 0.00184757, 0.395377,-0.00649097, 0.384347
,,,1422, 8448.21, 8397.2, 5101.76, 8479.26, 5128.25,,1422, 1, 1.00608, 1.65594, 0.996339, 1.64739,,1422, 0, 0.00603854, 0.396114,-0.0036748, 0.392978
,,,1455, 8594.46, 8565.96, 5143.58, 8473.25, 5307.62,,1455, 1, 1.00333, 1.67091, 1.01431, 1.61927,,1455, 0, 0.00331677, 0.401524, 0.0141034, 0.382438
,,,1488, 8650.62, 8783.1, 5272.12, 8725.05, 5354.57,,1488, 1, 0.984917, 1.64083, 0.99147, 1.61556,,1488, 0,-0.015314, 0.390551,-0.0086037, 0.381019
,,,1521, 8740.23, 8811.92, 5427.51, 8747.22, 5484.17,,1521, 1, 0.991865, 1.61036, 0.999201, 1.59372,,1521, 0,-0.00820189, 0.37902,-0.000799834, 0.372537
,,,1554, 8885.21, 8928.09, 5477.63, 8970.04, 5524.23,,1554, 1, 0.995197, 1.62209, 0.990543, 1.60841,,1554, 0,-0.00482662, 0.383511,-0.00954727, 0.378267
,,,1587, 8986.33, 9031.19, 5590.02, 8987.29, 5645.77,,1587, 1, 0.995034, 1.60757, 0.999893, 1.59169,,1587, 0,-0.00499122, 0.377942,-0.000106735, 0.371738
,,,1620, 9208.28, 9233.38, 5684.9, 9079.07, 5647.56,,1620, 1, 0.997281, 1.61978, 1.01423, 1.63049,,1620, 0,-0.00272632, 0.382631, 0.0140313, 0.386686
,,,1653, 9231.52, 9227.68, 5760.37, 9254.32, 5748.71,,1653, 1, 1.00042, 1.60259, 0.997536, 1.60584,,1653, 0, 0.00041651, 0.376011,-0.00246976, 0.377274
,,,1686, 9352.32, 9393.86, 5760.96, 9406.42, 5944.68,,1686, 1, 0.995578, 1.62339, 0.994249, 1.57323,,1686, 0,-0.00444166, 0.384007,-0.00578445, 0.364363
,,,1719, 9490.78, 9396.33, 5911.98, 9601.03, 6008.83,,1719, 1, 1.01005, 1.60535, 0.988517, 1.57947,,1719, 0, 0.00995195, 0.377082,-0.0116168, 0.366877
,,,1752, 9664.36, 9587.23, 5930.14, 9683.89, 6006.3,,1752, 1, 1.00805, 1.6297, 0.997984, 1.60904,,1752, 0, 0.00798128, 0.386391,-0.00202023, 0.37851
,,,1785, 9713.94, 9728.73, 5942.86, 9727.64, 6008.98,,1785, 1, 0.99848, 1.63456, 0.998591, 1.61657,,1785, 0,-0.00152267, 0.388213,-0.00141049, 0.381407
,,,1818, 9789.07, 9670.06, 5914.66, 9626.01, 6198.04,,1818, 1, 1.01231, 1.65505, 1.01694, 1.57938,,1818, 0, 0.0121581, 0.39579, 0.0166579, 0.366841
,,,1851, 9846.15, 9908.54, 6111.48, 9854.14, 6171.36,,1851, 1, 0.993703, 1.61109, 0.99919, 1.59546,,1851, 0,-0.00633678, 0.379303,-0.000811102, 0.373221
,,,1884, 9928.94, 9761.78, 6133.06, 9934.28, 6177.5,,1884, 1, 1.01712, 1.61892, 0.999463, 1.60727,,1884, 0, 0.0168359, 0.382305,-0.000537615, 0.377829
,,,1917, 9716.85, 9923.47, 6084.96, 10133.1, 6176.89,,1917, 1, 0.979179, 1.59686, 0.958922, 1.5731,,1917, 0,-0.0212633, 0.373773,-0.0428374, 0.364312
,,,1950, 9877.53, 9956.41, 6073.32, 9883.59, 6216.39,,1950, 1, 0.992078, 1.62638, 0.999387, 1.58895,,1950, 0,-0.0079857, 0.385138,-0.00061314, 0.370653
,,,1983, 9829.13, 9863.89, 6093.76, 9777.97, 6172.3,,1983, 1, 0.996476, 1.61298, 1.00523, 1.59246,,1983, 0,-0.00353633, 0.380031, 0.00520498, 0.37204
,,,2016, 9742.28, 9838.98, 6152.01, 9861.99, 6168.39,,2016, 1, 0.990172, 1.58359, 0.987862, 1.57939,,2016, 0,-0.00992539, 0.368525,-0.0122874, 0.366844
,,,2049, 10066.2, 9619.08, 6097.96, 9974.52, 6193.95,,2049, 1, 1.04649, 1.65075, 1.00919, 1.62517,,2049, 0, 0.0444204, 0.394216, 0.0091102, 0.38468

