name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,0, 46.0638, 42.4739, 38.0715, 41, 57.8605,,0, 1, 1.08452, 1.20993, 1.12351, 0.796117,,0, 0, 0.0779335, 0.173504, 0.10993,-0.256096
start,0,,1, 139.345, 135.882, 130.756, 133.885, 150.896,,1, 1, 1.02549, 1.06569, 1.04078, 0.923453,,1, 0, 0.0248535, 0.0616395, 0.0391813,-0.0828925
end,128,,2, 149.95, 145.789, 167.482, 143.946, 161.553,,2, 1, 1.02854, 0.895319, 1.04171, 0.928177,,2, 0, 0.0277499,-0.116921, 0.0400397,-0.0773809
incr,1,,3, 154.995, 151.258, 173.301, 149.459, 166.886,,3, 1, 1.02471, 0.894369, 1.03704, 0.928749,,3, 0, 0.0241134,-0.118107, 0.0357163,-0.076717
num_try,245760,,4, 160.889, 156.97, 172.494, 155.6, 161.452,,4, 1, 1.02497, 0.932721, 1.03399, 0.996509,,4, 0, 0.0243572,-0.0721318, 0.0328698,-0.00350323
align,31,,5, 166.611, 163.145, 178.344, 161.144, 170.313,,5, 1, 1.02124, 0.934212, 1.03392, 0.978262,,5, 0, 0.0208013,-0.0704206, 0.0328113,-0.0222211
baseline,0,,6, 171.569, 168.161, 184.889, 166.5, 175.842,,6, 1, 1.02027, 0.927957, 1.03045, 0.975702,,6, 0, 0.0198673,-0.0776362, 0.0295459,-0.0249028
rand,1,,7, 177.757, 173.543, 189.297, 171.645, 181.907,,7, 1, 1.02428, 0.939035, 1.03561, 0.977184,,7, 0, 0.0237037,-0.064923, 0.0343826,-0.0233488
rand_align,1,,8, 182.553, 179.476, 188.182, 177.23, 178.967,,8, 1, 1.01715, 0.970086, 1.03004, 1.02004,,8, 0, 0.016857,-0.0308366, 0.0291615, 0.0196468
seed,0,,9, 188.742, 184.05, 193.93, 182.096, 187.5,,9, 1, 1.02549, 0.973249, 1.0365, 1.00663,,9, 0, 0.0248579,-0.027486, 0.0352109, 0.0065834
testmask,0,,10, 193.688, 189.739, 199.253, 187.527, 193.401,,10, 1, 1.02081, 0.972071, 1.03285, 1.00149,,10, 0, 0.0203895,-0.0287318, 0.0318094, 0.0014861
