name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,94, 296.126, 296.72, 247.952, 220.139, 219.643,,94, 1, 0.997999, 1.19429, 1.34518, 1.34822,,94, 0,-0.00200538, 0.162679, 0.256603, 0.258279
,,,95, 298.743, 301.335, 250.54, 222.038, 221.657,,95, 1, 0.991399, 1.1924, 1.34546, 1.34777,,95, 0,-0.00867551, 0.161353, 0.256762, 0.258036
,,,96, 280.219, 261.703, 232.049, 201.681, 200.891,,96, 1, 1.07075, 1.20758, 1.38942, 1.39488,,96, 0, 0.0660764, 0.1719, 0.280275, 0.283092
,,,97, 350.263, 347.375, 250.445, 218.039, 217.657,,97, 1, 1.00831, 1.39856, 1.60642, 1.60924,,97, 0, 0.0082443, 0.284978, 0.377499, 0.378589
,,,98, 355.389, 350.467, 252.813, 220.621, 219.895,,98, 1, 1.01404, 1.40574, 1.61085, 1.61617,,98, 0, 0.0138483, 0.288629, 0.379211, 0.381254
,,,99, 357.396, 355.347, 255.64, 222.887, 222.829,,99, 1, 1.00577, 1.39804, 1.60349, 1.6039,,99, 0, 0.00573307, 0.284714, 0.376359, 0.376521
,,,100, 335.751, 316.544, 243.476, 212.03, 211.384,,100, 1, 1.06068, 1.37899, 1.5835, 1.58834,,100, 0, 0.0572045, 0.274832, 0.368489, 0.370413
,,,101, 344.021, 349.311, 251.906, 221.111, 220.688,,101, 1, 0.984855, 1.36567, 1.55588, 1.55886,,101, 0,-0.0153777, 0.267759, 0.357276, 0.358505
,,,102, 346.136, 352.416, 254.605, 223.432, 223.15,,102, 1, 0.982182, 1.3595, 1.54918, 1.55114,,102, 0,-0.0181416, 0.264438, 0.354497, 0.355311
,,,103, 347.746, 357.076, 256.282, 224.874, 224.703,,103, 1, 0.973874, 1.35689, 1.54641, 1.54758,,103, 0,-0.0268272, 0.263021, 0.35334, 0.353832
,,,104, 341.009, 322.279, 246.058, 214.846, 214.503,,104, 1, 1.05812, 1.38589, 1.58723, 1.58977,,104, 0, 0.054926, 0.278442, 0.369971, 0.370977
,,,105, 351.779, 356.76, 257.433, 227.252, 226.574,,105, 1, 0.986038, 1.36649, 1.54797, 1.5526,,105, 0,-0.0141592, 0.268196, 0.353991, 0.355918
,,,106, 354.265, 359.316, 258.591, 229.025, 228.375,,106, 1, 0.985941, 1.36998, 1.54684, 1.55124,,106, 0,-0.0142592, 0.270061, 0.353519, 0.355355
,,,107, 356.168, 363.891, 261.246, 231.286, 231.105,,107, 1, 0.978776, 1.36334, 1.53995, 1.54116,,107, 0,-0.0216837, 0.266509, 0.350627, 0.351136
,,,108, 346.096, 327.417, 250.623, 220.665, 220.733,,108, 1, 1.05705, 1.38094, 1.56842, 1.56794,,108, 0, 0.0539702, 0.275855, 0.362418, 0.36222
,,,109, 353.968, 358.43, 258.707, 228.768, 228.44,,109, 1, 0.98755, 1.36822, 1.54728, 1.5495,,109, 0,-0.0126072, 0.269122, 0.353705, 0.354631
,,,110, 355.995, 361.614, 261.149, 231.072, 230.897,,110, 1, 0.98446, 1.36319, 1.54063, 1.54179,,110, 0,-0.015785, 0.266424, 0.350913, 0.351402
,,,111, 357.802, 366.08, 263.209, 233.113, 232.741,,111, 1, 0.977387, 1.35938, 1.53488, 1.53734,,111, 0,-0.0231361, 0.264373, 0.348485, 0.349524
,,,112, 347.875, 329.19, 253.017, 222.383, 221.975,,112, 1, 1.05676, 1.37491, 1.5643, 1.56718,,112, 0, 0.0537098, 0.272679, 0.360738, 0.361912
,,,113, 356.073, 362.692, 261.079, 230.616, 230.819,,113, 1, 0.98175, 1.36385, 1.54401, 1.54265,,113, 0,-0.0185889, 0.266782, 0.352335, 0.351764
,,,114, 357.904, 365.594, 263.04, 232.973, 233.153,,114, 1, 0.978965, 1.36064, 1.53625, 1.53506,,114, 0,-0.0214873, 0.265054, 0.349063, 0.348559
,,,115, 359.731, 370.04, 265.099, 235.369, 234.988,,115, 1, 0.972143, 1.35697, 1.52837, 1.53085,,115, 0,-0.0286555, 0.263065, 0.345709, 0.346769
,,,116, 350.029, 331.554, 255.295, 224.842, 224.037,,116, 1, 1.05572, 1.37108, 1.55678, 1.56237,,116, 0, 0.0527809, 0.270647, 0.357648, 0.359946
