name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
vers,1.0,,3, 67.2817, 68.2603, 71.2552, 65.2917, 65.3098, 70.7321, 61.2549, 66.2741, 66.2467, 79.2643, 79.1097, 76.1009, 79.1129,,3, 1, 0.985665, 0.944236, 1.03048, 1.03019, 0.95122, 1.09839, 1.0152, 1.01562, 0.848828, 0.850487, 0.884112, 0.850452,,3, 0,-0.0145436,-0.0590567, 0.0295784, 0.0293086,-0.0512819, 0.0895758, 0.0149768, 0.0153843,-0.178096,-0.175797,-0.131078,-0.175845
start,3,,36, 86.4401, 87.4411, 126.72, 71.3818, 71.3896, 76.7951, 67.33, 72.326, 72.3672, 82.4624, 85.1865, 81.2481, 85.181,,36, 1, 0.988553, 0.682133, 1.21095, 1.21082, 1.12559, 1.28383, 1.19515, 1.19447, 1.04824, 1.01472, 1.0639, 1.01478,,36, 0,-0.01158,-0.46599, 0.174204, 0.174115, 0.11158, 0.221079, 0.163282, 0.162805, 0.0460165, 0.0145022, 0.0600651, 0.0145663
end,2049,,69, 99.5852, 100.51, 203.39, 85.3066, 85.4022, 88.9928, 80.4205, 85.3823, 85.3991, 113.569, 96.5533, 91.4463, 96.5639,,69, 1, 0.990797, 0.489627, 1.16738, 1.16607, 1.11902, 1.23831, 1.16634, 1.16612, 0.87687, 1.0314, 1.089, 1.03129,,69, 0,-0.00928896,-1.04237, 0.143381, 0.142421, 0.106365, 0.192445, 0.14262, 0.142452,-0.14042, 0.0304453, 0.0817284, 0.0303386
incr,33,,102, 109.656, 110.614, 265.512, 95.3481, 95.4434, 99.9343, 90.4872, 95.4695, 95.4521, 122.623, 106.627, 101.597, 106.598,,102, 1, 0.991334, 0.412997, 1.15006, 1.14891, 1.09728, 1.21184, 1.14859, 1.1488, 0.894253, 1.0284, 1.07932, 1.02868,,102, 0,-0.00874151,-1.42133, 0.130477, 0.129607, 0.0886533, 0.174806, 0.12937, 0.129529,-0.118252, 0.027615, 0.073487, 0.0278824
num_try,30720,,135, 119.626, 120.7, 321.51, 104.617, 104.636, 110.007, 100.508, 105.534, 105.612, 131, 131, 126.652, 130.699,,135, 1, 0.991095, 0.372074, 1.14346, 1.14326, 1.08744, 1.1902, 1.13353, 1.13269, 0.913172, 0.913172, 0.944519, 0.915274,,135, 0,-0.00898532,-1.68764, 0.125459, 0.125306, 0.0804096, 0.159808, 0.1178, 0.117147,-0.0950838,-0.0950838,-0.0587405,-0.0925689
align,0,,168, 123.821, 124.783, 369.45, 109.473, 109.583, 118.33, 104.643, 109.593, 109.604, 134, 135.134, 130.79, 134.152,,168, 1, 0.992294, 0.33515, 1.13107, 1.12993, 1.0464, 1.18327, 1.12982, 1.12971, 0.924038, 0.916285, 0.946714, 0.92299,,168, 0,-0.00776559,-1.98374, 0.11588, 0.11499, 0.044343, 0.154887, 0.114907, 0.114815,-0.0822069,-0.0913638,-0.0562848,-0.0834353
baseline,0,,201, 137.59, 138.865, 436.696, 123.505, 123.652, 132.128, 118.634, 123.66, 123.629, 147, 144.835, 139.75, 143.798,,201, 1, 0.990817, 0.31507, 1.11404, 1.11271, 1.04134, 1.15978, 1.11264, 1.11292, 0.935984, 0.949978, 0.984541, 0.956826,,201, 0,-0.00926791,-2.1739, 0.102365, 0.101297, 0.0396955, 0.137767, 0.10124, 0.101462,-0.0683945,-0.0526559,-0.0157013,-0.0451223
rand,1,,234, 148, 148, 489.769, 132.878, 133, 142.548, 128.813, 133, 133, 156.821, 154.809, 149, 153.445,,234, 1, 1, 0.302183, 1.11381, 1.11278, 1.03825, 1.14895, 1.11278, 1.11278, 0.943749, 0.956016, 0.993289, 0.964516,,234, 0, 0,-2.30925, 0.102179, 0.101351, 0.0368366, 0.129642, 0.101351, 0.101351,-0.0596034,-0.0460077,-0.00675676,-0.036789
rand_align,0,,267, 158.083, 159.042, 558.955, 142.993, 143.922, 152.281, 138.949, 143.911, 143.916, 166, 160.099, 155.002, 158.933,,267, 1, 0.993973, 0.28282, 1.10553, 1.0984, 1.0381, 1.13771, 1.09848, 1.09844, 0.95231, 0.987408, 1.01988, 0.994654,,267, 0,-0.00606367,-2.53582, 0.0954579, 0.0895822, 0.0367018, 0.121039, 0.0896489, 0.0896201,-0.0500784,-0.0127526, 0.0194918,-0.00537474
seed,0,,300, 163.436, 164.144, 611.677, 149.048, 149.213, 157.929, 144.233, 149.209, 149.204, 169.484, 165.103, 160.149, 164.106,,300, 1, 0.99569, 0.267194, 1.09653, 1.09532, 1.03487, 1.13314, 1.09535, 1.09539, 0.964319, 0.989908, 1.02053, 0.995919,,300, 0,-0.0043282,-2.7426, 0.088034, 0.0870259, 0.0336952, 0.117495, 0.087049, 0.0870814,-0.0370009,-0.0101953, 0.0201131,-0.0040976
