name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,0, 96.5985, 91.8045, 83.8787, 101.719, 91.6978,,0, 1, 1.05222, 1.15164, 0.94966, 1.05344,,0, 0, 0.0496282, 0.131677,-0.0530084, 0.0507332
start,0,,1, 109.633, 105.258, 90.4456, 114.201, 104.565,,1, 1, 1.04157, 1.21214, 0.960001, 1.04847,,1, 0, 0.039911, 0.175016,-0.0416654, 0.0462261
end,128,,2, 124.198, 119.95, 94.6507, 117.228, 118.687,,2, 1, 1.03542, 1.31218, 1.05946, 1.04644,,2, 0, 0.0342088, 0.237907, 0.0561191, 0.0443773
incr,1,,3, 132.974, 128.382, 99.2926, 120.772, 127.154,,3, 1, 1.03577, 1.33922, 1.10104, 1.04577,,3, 0, 0.0345352, 0.253295, 0.0917678, 0.0437709
num_try,122880,,4, 135.677, 131.53, 103.703, 124.336, 131.587,,4, 1, 1.03152, 1.30832, 1.09121, 1.03108,,4, 0, 0.0305607, 0.235658, 0.083585, 0.0301403
align,31,,5, 139.131, 135.023, 107.522, 127.323, 135.304,,5, 1, 1.03043, 1.29398, 1.09274, 1.02828,,5, 0, 0.0295297, 0.227188, 0.0848701, 0.0275053
baseline,0,,6, 142.215, 137.597, 112.457, 130.074, 140.164,,6, 1, 1.03356, 1.26461, 1.09334, 1.01464,,6, 0, 0.0324725, 0.209245, 0.0853753, 0.014424
rand,1,,7, 146.343, 141.87, 116.511, 133.363, 146.352,,7, 1, 1.03153, 1.25605, 1.09733, 0.999937,,7, 0, 0.030568, 0.203851, 0.0887,-6.26751e-05
rand_align,1,,8, 149.44, 145.04, 120.738, 136.386, 149.194,,8, 1, 1.03034, 1.23772, 1.09571, 1.00165,,8, 0, 0.0294452, 0.192061, 0.0873532, 0.00164743
seed,0,,9, 152.537, 148.002, 125.14, 139.562, 151.777,,9, 1, 1.03064, 1.21893, 1.09297, 1.005,,9, 0, 0.0297285, 0.179606, 0.0850582, 0.00497642
testmask,0,,10, 155.839, 150.372, 129.769, 142.654, 154.184,,10, 1, 1.03636, 1.2009, 1.09242, 1.01073,,10, 0, 0.0350798, 0.167289, 0.0846042, 0.0106169
clock,500,,11, 159.547, 153.676, 134.224, 146.004, 156.947,,11, 1, 1.0382, 1.18866, 1.09275, 1.01656,,11, 0, 0.0367975, 0.158717, 0.0848796, 0.0162945
=====,,,12, 163.719, 157.575, 138.561, 148.958, 160.371,,12, 1, 1.03899, 1.18156, 1.09909, 1.02088,,12, 0, 0.0375275, 0.153664, 0.0901596, 0.020449
Totals:,,,13, 168.361, 161.374, 142.741, 151.908, 164.222,,13, 1, 1.0433, 1.17948, 1.10831, 1.0252,,13, 0, 0.0414994, 0.152171, 0.0977232, 0.0245796
total_bytes, 8256,,14, 171.892, 165.053, 147.533, 155.041, 167.595,,14, 1, 1.04144, 1.16511, 1.10869, 1.02564,,14, 0, 0.0397894, 0.141715, 0.0980365, 0.0249977
best_test,lx_5a_r2,,15, 175.875, 167.792, 151.595, 157.701, 171.782,,15, 1, 1.04818, 1.16016, 1.11525, 1.02383,,15, 0, 0.0459611, 0.138053, 0.103336, 0.0232709
best_total, 37903.6,,16, 180.387, 171.777, 155.88, 161.229, 175.172,,16, 1, 1.05012, 1.15722, 1.11882, 1.02977,,16, 0, 0.0477294, 0.13586, 0.106203, 0.0289102
worst_test,lxSimp,,17, 185.513, 176.472, 160.12, 163.988, 179.32,,17, 1, 1.05123, 1.15859, 1.13126, 1.03454,,17, 0, 0.0487324, 0.136882, 0.11603, 0.033385
worst_total, 47211.3,,18, 190.894, 180.187, 164.853, 167.461, 182.332,,18, 1, 1.05942, 1.15796, 1.13993, 1.04696,,18, 0, 0.0560886, 0.136414, 0.122753, 0.0448522
total_local, 45420.5,,19, 195.626, 184.777, 169.497, 170.252, 185.528,,19, 1, 1.05871, 1.15416, 1.14904, 1.05443,,19, 0, 0.0554552, 0.133567, 0.129709, 0.0516186
total_i486p, 37920.1,,20, 198.946, 186.973, 173.59, 173.347, 187.791,,20, 1, 1.06404, 1.14607, 1.14768, 1.0594,,20, 0, 0.0601815, 0.127455, 0.128677, 0.0560703
total_lxSimp, 47211.3,,21, 202.58, 189.2, 177.413, 176.908, 190.462,,21, 1, 1.07072, 1.14185, 1.14512, 1.06363,,21, 0, 0.066048, 0.124231, 0.126726, 0.0598194
total_lxus, 46196.8,,22, 206.029, 191.788, 182.25, 179.669, 194.134,,22, 1, 1.07426, 1.13047, 1.14671, 1.06127,,22, 0, 0.0691228, 0.115415, 0.127943, 0.0577357
total_lx_5a_r2, 37903.6,,23, 209.357, 194.156, 186.505, 182.864, 197.787,,23, 1, 1.0783, 1.12253, 1.14488, 1.0585,,23, 0, 0.0726118, 0.109157, 0.126548, 0.0552679
ratio_local, 1,,24, 212.759, 197.112, 191.151, 186.226, 201.02,,24, 1, 1.07939, 1.11305, 1.14248, 1.0584,,24, 0, 0.0735466, 0.101565, 0.124712, 0.0551747
ratio_i486p, 1.19779,,25, 216.233, 199.312, 195.145, 189.333, 203.2,,25, 1, 1.0849, 1.10806, 1.14208, 1.06414,,25, 0, 0.0782546, 0.0975247, 0.124402, 0.0602733
ratio_lxSimp, 0.962068,,26, 219.599, 201.721, 199.523, 192.199, 206.023,,26, 1, 1.08863, 1.10062, 1.14256, 1.0659,,26, 0, 0.0814147, 0.0914228, 0.124773, 0.0618246
ratio_lxus, 0.983195,,27, 223.198, 203.942, 203.864, 195.371, 208.339,,27, 1, 1.09442, 1.09484, 1.14243, 1.07132,,27, 0, 0.0862716, 0.0866215, 0.124672, 0.0665745
ratio_lx_5a_r2, 1.19832,,28, 227.494, 206.927, 208.24, 198.598, 211.16,,28, 1, 1.09939, 1.09246, 1.1455, 1.07735,,28, 0, 0.0904055, 0.0846339, 0.127018, 0.0718008
,,,29, 231.097, 209.867, 212.84, 201.629, 213.75,,29, 1, 1.10116, 1.08578, 1.14615, 1.08116,,29, 0, 0.0918677, 0.0790047, 0.127516, 0.0750638
,,,30, 232.796, 212.522, 217.404, 204.712, 216.334,,30, 1, 1.09539, 1.0708, 1.13719, 1.07609,,30, 0, 0.0870861, 0.0661163, 0.120638, 0.0707117
,,,31, 235.034, 213.776, 221.588, 205.706, 219.075,,31, 1, 1.09944, 1.06068, 1.14257, 1.07285,,31, 0, 0.0904449, 0.0572067, 0.124782, 0.0678999
,,,32, 238.353, 215.762, 225.933, 233.984, 220.088,,32, 1, 1.1047, 1.05497, 1.01867, 1.08299,,32, 0, 0.0947794, 0.0521067, 0.0183294, 0.0766291
