name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,3, 77.511, 77.9546, 72.6093, 86.298, 82.4996,,3, 1, 0.99431, 1.06751, 0.898178, 0.939532,,3, 0,-0.00572275, 0.0632381,-0.113365,-0.0643599
start,3,,36, 101.119, 89.2826, 85.2835, 98.3886, 94.1523,,36, 1, 1.13257, 1.18568, 1.02775, 1.074,,36, 0, 0.117056, 0.156604, 0.0270038, 0.068898
end,2049,,69, 121.949, 110.363, 105.757, 114.672, 115.742,,69, 1, 1.10498, 1.15311, 1.06346, 1.05363,,69, 0, 0.0950085, 0.132777, 0.0596766, 0.050899
incr,33,,102, 140.758, 128.518, 124.481, 132, 134.092,,102, 1, 1.09524, 1.13076, 1.06635, 1.04971,,102, 0, 0.0869569, 0.115637, 0.0622193, 0.0473586
num_try,30720,,135, 158.939, 147.104, 141.951, 146.824, 152.318,,135, 1, 1.08045, 1.11967, 1.08252, 1.04347,,135, 0, 0.0744636, 0.106882, 0.0762258, 0.0416553
align,0,,168, 167.649, 159.625, 151.098, 156.519, 161.165,,168, 1, 1.05027, 1.10954, 1.07111, 1.04023,,168, 0, 0.0478621, 0.098728, 0.0663909, 0.0386769
baseline,0,,201, 192.326, 183.595, 175.045, 163.221, 185.15,,201, 1, 1.04756, 1.09872, 1.17832, 1.03876,,201, 0, 0.0453967, 0.08985, 0.151331, 0.0373097
rand,1,,234, 209.776, 201.999, 193.876, 181.113, 203.722,,234, 1, 1.0385, 1.08201, 1.15826, 1.02971,,234, 0, 0.0370729, 0.0757948, 0.136633, 0.0288567
rand_align,0,,267, 228.152, 220.42, 212.211, 182.141, 221.316,,267, 1, 1.03508, 1.07512, 1.25262, 1.03089,,267, 0, 0.0338922, 0.069871, 0.20167, 0.0299635
seed,0,,300, 237.778, 229.177, 221.985, 192.063, 230.88,,300, 1, 1.03753, 1.07114, 1.23802, 1.02988,,300, 0, 0.0361712, 0.0664187, 0.19226, 0.029009
testmask,0,,333, 259.258, 250.281, 242.266, 196.001, 252.483,,333, 1, 1.03587, 1.07014, 1.32273, 1.02683,,333, 0, 0.0346248, 0.0655406, 0.24399, 0.0261311
clock,500,,366, 276.692, 268.828, 260.714, 214.858, 270.08,,366, 1, 1.02925, 1.06129, 1.28779, 1.02448,,366, 0, 0.0284219, 0.0577487, 0.223477, 0.0238966
=====,,,399, 295.104, 287.548, 279.628, 216.859, 288.441,,399, 1, 1.02628, 1.05535, 1.36081, 1.0231,,399, 0, 0.0256039, 0.0524427, 0.265145, 0.0225804
Totals:,,,432, 305.223, 296.744, 288.744, 226.341, 298.076,,432, 1, 1.02857, 1.05707, 1.34851, 1.02398,,432, 0, 0.0277805, 0.0539896, 0.258439, 0.0234172
total_bytes, 64638,,465, 325.837, 317.416, 310.186, 230.899, 319.213,,465, 1, 1.02653, 1.05046, 1.41117, 1.02075,,465, 0, 0.0258439, 0.0480343, 0.291369, 0.0203296
best_test,lx_mmx64_BA,,498, 344.193, 336.701, 328.976, 249.861, 337.309,,498, 1, 1.02225, 1.04626, 1.37754, 1.02041,,498, 0, 0.0217668, 0.0442107, 0.274067, 0.0199982
best_total, 25271.2,,531, 362.557, 354.44, 347.366, 251.705, 243.767,,531, 1, 1.0229, 1.04373, 1.44041, 1.48731,,531, 0, 0.0223875, 0.0419002, 0.305751, 0.327644
worst_test,local,,564, 372.118, 364.101, 356.501, 262.195, 254.131,,564, 1, 1.02202, 1.0438, 1.41924, 1.46427,,564, 0, 0.0215442, 0.0419665, 0.295398, 0.317068
worst_total, 38481.7,,597, 393.381, 385.667, 378.102, 268.388, 259.395,,597, 1, 1.02, 1.04041, 1.46572, 1.51653,,597, 0, 0.0196085, 0.0388386, 0.31774, 0.340601
total_local, 38481.7,,630, 411.305, 403.265, 396.732, 286.62, 278.999,,630, 1, 1.01994, 1.03673, 1.43502, 1.47421,,630, 0, 0.0195459, 0.03543, 0.303143, 0.321672
total_lx_zan, 37958.3,,663, 428.928, 421.453, 414.705, 289.626, 281.629,,663, 1, 1.01773, 1.0343, 1.48097, 1.52303,,663, 0, 0.0174257, 0.033158, 0.324767, 0.343413
