name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
,,,94, 139.597, 118.943, 123.013, 135.229, 126.059,,94, 1, 1.17365, 1.13481, 1.0323, 1.10739,,94, 0, 0.147957, 0.118797, 0.0312931, 0.0969792
,,,95, 141.372, 120.865, 125.723, 137.425, 127.353,,95, 1, 1.16966, 1.12447, 1.02872, 1.11008,,95, 0, 0.145052, 0.110692, 0.0279181, 0.0991605
,,,96, 126.552, 105.792, 110.916, 122.943, 112.441,,96, 1, 1.19623, 1.14098, 1.02935, 1.12549,,96, 0, 0.164042, 0.123557, 0.0285141, 0.111502
,,,97, 136.656, 117.001, 120.285, 133.253, 122.472,,97, 1, 1.16799, 1.13611, 1.02554, 1.11582,,97, 0, 0.143829, 0.119803, 0.0249065, 0.103798
,,,98, 138.852, 119.24, 122.145, 134.489, 125.349,,98, 1, 1.16448, 1.13678, 1.03244, 1.10773,,98, 0, 0.141244, 0.120319, 0.031424, 0.0972499
,,,99, 141.025, 119.994, 125.044, 136.479, 127.538,,99, 1, 1.17527, 1.1278, 1.03331, 1.10575,,99, 0, 0.14913, 0.113319, 0.0322341, 0.0956335
,,,100, 133.57, 113.414, 118.16, 129.856, 119.928,,100, 1, 1.17772, 1.13041, 1.0286, 1.11375,,100, 0, 0.150898, 0.115367, 0.0278052, 0.102131
,,,101, 138.785, 119.227, 122.121, 134.31, 125.526,,101, 1, 1.16403, 1.13645, 1.03332, 1.10563,,101, 0, 0.140919, 0.120067, 0.0322436, 0.0955359
,,,102, 140.813, 120.318, 124.85, 136.437, 127.698,,102, 1, 1.17034, 1.12786, 1.03207, 1.1027,,102, 0, 0.14555, 0.113361, 0.031077, 0.0931366
,,,103, 142.94, 122.108, 127.109, 138.795, 128.915,,103, 1, 1.17061, 1.12455, 1.02986, 1.10879,,103, 0, 0.145743, 0.110755, 0.0289966, 0.0981173
,,,104, 135.602, 115.327, 119.252, 131.998, 121.762,,104, 1, 1.1758, 1.1371, 1.0273, 1.11366,,104, 0, 0.149516, 0.120572, 0.0265772, 0.102058
,,,105, 144.363, 123.311, 127.195, 139.79, 129.657,,105, 1, 1.17072, 1.13497, 1.03271, 1.11342,,105, 0, 0.145827, 0.118923, 0.0316732, 0.101864
,,,106, 146.149, 126.026, 129.081, 141.722, 131.967,,106, 1, 1.15967, 1.13223, 1.03124, 1.10747,,106, 0, 0.137689, 0.11679, 0.0302923, 0.097043
,,,107, 147.026, 127.489, 131.096, 143.838, 134.766,,107, 1, 1.15325, 1.12152, 1.02217, 1.09097,,107, 0, 0.132883, 0.108351, 0.0216865, 0.0833872
,,,108, 141.022, 120.307, 124.846, 136.432, 127.712,,108, 1, 1.17219, 1.12957, 1.03365, 1.10422,,108, 0, 0.146893, 0.11471, 0.0325523, 0.0943818
,,,109, 146.158, 126.017, 129.097, 141.704, 131.923,,109, 1, 1.15982, 1.13215, 1.03143, 1.1079,,109, 0, 0.137801, 0.116729, 0.0304714, 0.0973932
