name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,32, 225.342, 195.208, 155.039, 161.314, 164.27,,32, 1, 1.15437, 1.45345, 1.39692, 1.37178,,32, 0, 0.133725, 0.311982, 0.284139, 0.27102
,,,33, 227.808, 200.513, 163.415, 169.214, 172.172,,33, 1, 1.13613, 1.39405, 1.34628, 1.32314,,33, 0, 0.119819, 0.282664, 0.257211, 0.244223
,,,34, 229.897, 204.415, 167.352, 172.39, 174.553,,34, 1, 1.12466, 1.37373, 1.33359, 1.31706,,34, 0, 0.110841, 0.272054, 0.250143, 0.240733
,,,35, 232.82, 213.126, 170.812, 175.036, 177.876,,35, 1, 1.0924, 1.36302, 1.33012, 1.30889,,35, 0, 0.0845876, 0.266333, 0.248191, 0.235991
,,,36, 235.368, 205.298, 163.378, 167.379, 169.263,,36, 1, 1.14647, 1.44064, 1.4062, 1.39055,,36, 0, 0.127757, 0.305864, 0.288862, 0.280858
,,,37, 237.875, 210.727, 173.765, 175.717, 177.775,,37, 1, 1.12883, 1.36894, 1.35374, 1.33807,,37, 0, 0.114126, 0.269509, 0.261306, 0.252655
,,,38, 240.597, 214.672, 177.389, 178.983, 180.476,,38, 1, 1.12077, 1.35632, 1.34425, 1.33312,,38, 0, 0.107755, 0.262713, 0.25609, 0.249881
,,,39, 243.001, 223.185, 181.084, 181.549, 183.246,,39, 1, 1.08878, 1.34192, 1.33848, 1.32609,,39, 0, 0.081545, 0.254801, 0.252886, 0.245904
,,,40, 245.998, 215.501, 174.509, 173.84, 175.012,,40, 1, 1.14152, 1.40966, 1.41508, 1.40561,,40, 0, 0.123974, 0.290608, 0.293328, 0.288566
,,,41, 248.102, 221.457, 183.991, 183.047, 183.868,,41, 1, 1.12031, 1.34845, 1.3554, 1.34935,,41, 0, 0.107392, 0.258406, 0.26221, 0.258902
,,,42, 250.626, 224.865, 187.792, 185.689, 186.334,,42, 1, 1.11456, 1.3346, 1.34971, 1.34504,,42, 0, 0.102787, 0.25071, 0.2591, 0.256525
,,,43, 253.305, 233.871, 191.224, 188.613, 188.651,,43, 1, 1.0831, 1.32465, 1.34299, 1.34272,,43, 0, 0.0767207, 0.245082, 0.255393, 0.25524
,,,44, 256.162, 225.883, 185.002, 181.064, 180.93,,44, 1, 1.13405, 1.38465, 1.41476, 1.41581,,44, 0, 0.118203, 0.277795, 0.293168, 0.293692
,,,45, 258.578, 231.761, 194.788, 189.869, 189.494,,45, 1, 1.11571, 1.32748, 1.36188, 1.36457,,45, 0, 0.10371, 0.246695, 0.265721, 0.267169
,,,46, 260.973, 235.494, 198.22, 192.793, 192.137,,46, 1, 1.10819, 1.31658, 1.35364, 1.35827,,46, 0, 0.0976315, 0.240457, 0.261251, 0.263767
,,,47, 263.737, 244.131, 201.793, 195.766, 194.595,,47, 1, 1.08031, 1.30697, 1.34721, 1.35531,,47, 0, 0.0743422, 0.234873, 0.257724, 0.262163
