name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
vers,1.0,,0, 54.2293, 55.1325, 55.2553, 38, 38, 51, 49, 57.4247, 57.5536, 67.8743, 66.2592, 58.5657, 65.8849,,0, 1, 0.983617, 0.981432, 1.42709, 1.42709, 1.06332, 1.10672, 0.944356, 0.94224, 0.798967, 0.818442, 0.925956, 0.823092,,0, 0,-0.0166557,-0.0189189, 0.299272, 0.299272, 0.059549, 0.0964295,-0.058923,-0.0613008,-0.251616,-0.221834,-0.0799649,-0.214931
start,0,,1, 63.5789, 64.494, 64.3044, 60.5276, 61.1863, 60.3581, 58.3572, 66.7757, 66.8727, 77.2075, 75.6147, 67.4457, 75.1323,,1, 1, 0.985812, 0.988719, 1.05041, 1.0391, 1.05336, 1.08948, 0.952126, 0.950746, 0.823481, 0.840827, 0.942668, 0.846227,,1, 0,-0.0143919,-0.0114102, 0.0479924, 0.0376329, 0.0506583, 0.08213,-0.0502809,-0.0518051,-0.214357,-0.189305,-0.0608186,-0.181717
end,128,,2, 63.8367, 64.7724, 65.2848, 71.2379, 68.907, 61.1979, 59.2024, 67.0476, 67.1317, 77.946, 76.3726, 68.5959, 76.0304,,2, 1, 0.985554, 0.977819, 0.896106, 0.926418, 1.04312, 1.07828, 0.952111, 0.950918, 0.818986, 0.835859, 0.93062, 0.839621,,2, 0,-0.014658,-0.0226845,-0.11594,-0.0794262, 0.0413367, 0.0725967,-0.0502976,-0.0516158,-0.221022,-0.196374,-0.0745521,-0.191014
incr,1,,3, 66.3954, 67.2788, 67.2734, 80.2914, 81.3059, 63.2586, 61.2032, 69.3372, 69.616, 80.0285, 78.2158, 70.9395, 78.0525,,3, 1, 0.98687, 0.986949, 0.826931, 0.816613, 1.04959, 1.08484, 0.957573, 0.953738, 0.829648, 0.848875, 0.935944, 0.850651,,3, 0,-0.0133051,-0.0132239,-0.20929,-0.22457, 0.0472446, 0.0782017,-0.0443066,-0.0485061,-0.205331,-0.178029,-0.0684396,-0.175571
num_try,245760,,4, 67.437, 68.3448, 65.3083, 80.85, 82.1782, 61.3155, 59.1165, 67.04, 67.4737, 78.1848, 76.3297, 68.266, 76.1089,,4, 1, 0.986718, 1.0326, 0.8341, 0.82062, 1.09984, 1.14075, 1.00592, 0.999456, 0.862534, 0.883497, 0.987857, 0.88606,,4, 0,-0.0134608, 0.0315662,-0.198896,-0.218591, 0.0907741, 0.123382, 0.00588736,-0.00054429,-0.159375,-0.131866,-0.0122926,-0.128592
align,31,,5, 68.4652, 69.3325, 68.9831, 83.035, 83.3321, 64.8506, 63.3471, 71.5188, 71.6661, 82.0336, 80.0745, 72.5335, 79.6903,,5, 1, 0.987491, 0.992492, 0.824535, 0.821595, 1.05574, 1.08079, 0.957304, 0.955336, 0.8346, 0.855019, 0.943912, 0.859141,,5, 0,-0.0126676,-0.00756451,-0.212805,-0.217145, 0.0527949, 0.074755,-0.0446005,-0.0467522,-0.198179,-0.169564,-0.0594212,-0.163953
baseline,0,,6, 69.4757, 70.4368, 70.3292, 81.9812, 84.291, 66.1521, 63.7092, 72.5359, 72.6492, 82.6889, 81.3358, 73.8112, 80.8414,,6, 1, 0.986355, 0.987864, 0.847459, 0.824237, 1.05024, 1.09051, 0.957811, 0.956318, 0.840206, 0.854183, 0.941262, 0.859408,,6, 0,-0.0138335,-0.012285,-0.179998,-0.213244, 0.0478379, 0.0830002,-0.0440469,-0.0456771,-0.190184,-0.170709,-0.0624033,-0.163592
rand,1,,7, 70.5847, 71.6235, 71.0298, 85.1562, 85.3347, 67.4198, 64.8582, 73.6821, 73.6648, 83.9643, 82.4189, 74.5137, 82.1539,,7, 1, 0.985498, 0.993735, 0.828886, 0.827152, 1.04694, 1.08829, 0.957963, 0.958188, 0.840652, 0.856414, 0.947272, 0.859177,,7, 0,-0.0147159,-0.00630457,-0.206439,-0.208967, 0.0448389, 0.08113,-0.0438816,-0.0436365,-0.189554,-0.167659,-0.0556627,-0.163905
rand_align,1,,8, 71.8209, 72.6609, 67.5076, 84.6332, 85.8139, 63.3662, 61.1306, 69.9446, 69.7859, 80.2503, 78.6104, 70.7533, 78.1708,,8, 1, 0.988441, 1.06389, 0.848614, 0.836938, 1.13343, 1.17488, 1.02683, 1.02916, 0.894961, 0.913631, 1.01509, 0.91877,,8, 0,-0.0116945, 0.0600565,-0.178392,-0.194831, 0.11772, 0.148848, 0.0261248, 0.0283354,-0.117367,-0.0945337, 0.0148658,-0.0884118
seed,0,,9, 72.8414, 74.1934, 71.8204, 86.6127, 85.8232, 67.6014, 65.6887, 73.6764, 73.6639, 84.2386, 82.3626, 75.0625, 82.2682,,9, 1, 0.981778, 1.01422, 0.841002, 0.848739, 1.07751, 1.10889, 0.988667, 0.988834, 0.864703, 0.884399, 0.97041, 0.885415,,9, 0,-0.01856, 0.0140169,-0.189058,-0.178219, 0.0719371, 0.0981955,-0.011463,-0.0112917,-0.156466,-0.130711,-0.030492,-0.129414
