ptest -- memcmp version 1.0
start	3	end	2049
incr	33	ntry	10016
align	31	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i686	        	  lxCond	        	    lxDw	        
       3	   0.000%	  91.014	   5.074%	  86.396	 -15.088%	 104.747	   6.686%	  84.929	 -10.165%	 100.266
      36	   0.000%	 199.934	   2.187%	 195.561	  22.190%	 155.568	   3.087%	 193.762	  32.170%	 135.616
      69	   0.000%	 308.413	   1.336%	 304.293	  30.703%	 213.722	   2.371%	 301.102	  40.998%	 181.970
     102	   0.000%	 418.421	   1.730%	 411.185	  36.985%	 263.670	   2.169%	 409.348	  45.953%	 226.146
     135	   0.000%	 525.223	   1.643%	 516.595	  40.618%	 311.888	   2.271%	 513.293	  48.871%	 268.543
     168	   0.000%	 627.045	   0.363%	 624.767	  43.783%	 352.506	   1.532%	 617.441	  52.460%	 298.099
     201	   0.000%	 732.341	   1.384%	 722.208	  45.385%	 399.971	   1.333%	 722.577	  52.871%	 345.143
     234	   0.000%	 836.676	   0.965%	 828.604	  46.571%	 447.030	   2.062%	 819.424	  54.046%	 384.486
     267	   0.000%	 938.040	   0.756%	 930.951	  47.332%	 494.050	   1.416%	 924.761	  54.445%	 427.328
     300	   0.000%	1033.811	   0.453%	1029.132	  48.093%	 536.616	   1.127%	1022.156	  55.690%	 458.081
     333	   0.000%	1130.753	  -0.101%	1131.896	  48.480%	 582.561	   0.863%	1120.991	  55.798%	 499.819
     366	   0.000%	1241.729	   1.442%	1223.826	  49.769%	 623.730	   1.767%	1219.793	  56.369%	 541.777
     399	   0.000%	1339.208	   0.819%	1328.237	  49.711%	 673.469	   0.840%	1327.956	  56.611%	 581.071
     432	   0.000%	1441.652	   0.179%	1439.069	  50.451%	 714.330	   0.772%	1430.524	  57.604%	 611.197
     465	   0.000%	1539.179	   0.528%	1531.050	  50.725%	 758.437	   0.491%	1531.618	  57.699%	 651.093
     498	   0.000%	1643.590	   1.342%	1621.532	  50.824%	 808.254	   0.829%	1629.962	  58.028%	 689.843
     531	   0.000%	1751.204	  -0.038%	1751.867	  51.184%	 854.868	   0.167%	1748.282	  58.181%	 732.329
     564	   0.000%	1842.710	   0.650%	1830.730	  51.651%	 890.936	   0.609%	1831.491	  58.400%	 766.571
     597	   0.000%	1943.344	   0.628%	1931.140	  51.935%	 934.070	   0.661%	1930.490	  58.074%	 814.774
     630	   0.000%	2039.263	   0.330%	2032.537	  51.723%	 984.500	   0.916%	2020.579	  58.343%	 849.490
     663	   0.000%	2138.300	   0.434%	2129.026	  52.190%	1022.325	   0.507%	2127.461	  58.464%	 888.171
     696	   0.000%	2228.193	  -0.154%	2231.631	  52.324%	1062.309	  -0.016%	2228.557	  59.027%	 912.959
     729	   0.000%	2326.149	   0.849%	2306.395	  53.071%	1091.633	   0.485%	2314.872	  59.092%	 951.574
     762	   0.000%	2423.083	   0.653%	2407.267	  53.006%	1138.693	   0.894%	2401.425	  59.230%	 987.893
     795	   0.000%	2479.663	   0.208%	2474.496	  52.423%	1179.745	  -0.014%	2480.014	  58.885%	1019.522
     828	   0.000%	2586.724	   0.161%	2582.569	  53.030%	1214.997	   0.160%	2582.596	  59.310%	1052.546
     861	   0.000%	2671.947	   0.646%	2654.682	  52.567%	1267.388	   0.143%	2668.133	  59.636%	1078.503
     894	   0.000%	2749.144	  -0.427%	2760.873	  53.097%	1289.422	  -0.808%	2771.357	  59.611%	1110.359
