name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,3, 89.4423, 87.69, 81.6698, 106.549, 92.5852,,3, 1, 1.01998, 1.09517, 0.839446, 0.966053,,3, 0, 0.0195912, 0.0868998,-0.191262,-0.0351394
start,3,,36, 204.996, 178.465, 187.924, 203.847, 177.099,,36, 1, 1.14866, 1.09085, 1.00564, 1.15752,,36, 0, 0.129422, 0.0832823, 0.00560781, 0.136086
end,2049,,69, 317.053, 266.722, 295.34, 296.688, 264.502,,69, 1, 1.1887, 1.07352, 1.06864, 1.19868,,69, 0, 0.158746, 0.0684859, 0.0642326, 0.165748
incr,33,,102, 429.666, 354.03, 401.465, 387.915, 351.775,,102, 1, 1.21364, 1.07024, 1.10763, 1.22142,,102, 0, 0.176034, 0.0656334, 0.0971695, 0.181282
num_try,61440,,135, 534.347, 436.237, 509.746, 479.03, 434.319,,135, 1, 1.2249, 1.04826, 1.11548, 1.23031,,135, 0, 0.183607, 0.0460387, 0.103523, 0.187196
align,0,,168, 644.235, 519.039, 616.84, 577.091, 516.035,,168, 1, 1.24121, 1.04441, 1.11635, 1.24843,,168, 0, 0.194333, 0.0425229, 0.104223, 0.198996
baseline,0,,201, 756.601, 615.396, 724.754, 669.819, 601.947,,201, 1, 1.22945, 1.04394, 1.12956, 1.25692,,201, 0, 0.186631, 0.0420922, 0.1147, 0.204406
rand,1,,234, 869.121, 703.199, 831.06, 762.325, 693.044,,234, 1, 1.23595, 1.0458, 1.14009, 1.25406,,234, 0, 0.190907, 0.0437925, 0.122878, 0.202592
rand_align,0,,267, 972.094, 784.926, 938.461, 850.745, 779.916,,267, 1, 1.23845, 1.03584, 1.14264, 1.24641,,267, 0, 0.192541, 0.0345983, 0.124832, 0.197695
seed,0,,300, 1082.94, 873.939, 1044.94, 941.79, 858.609,,300, 1, 1.23914, 1.03636, 1.14987, 1.26127,,300, 0, 0.192992, 0.0350829, 0.130337, 0.207148
testmask,0,,333, 1196.53, 960.752, 1151.94, 1032.71, 944.176,,333, 1, 1.24541, 1.03871, 1.15863, 1.26727,,333, 0, 0.197049, 0.0372639, 0.136914, 0.210902
clock,500,,366, 1308.37, 1046.18, 1257.06, 1122.9, 1029.03,,366, 1, 1.25062, 1.04082, 1.16517, 1.27147,,366, 0, 0.200398, 0.0392187, 0.141758, 0.213506
=====,,,399, 1412.52, 1128.97, 1366.42, 1212.24, 1110.16,,399, 1, 1.25116, 1.03374, 1.16522, 1.27236,,399, 0, 0.200741, 0.0326403, 0.141794, 0.214058
Totals:,,,432, 1521.27, 1212.3, 1472.74, 1304.19, 1197.39,,432, 1, 1.25487, 1.03295, 1.16645, 1.27048,,432, 0, 0.203103, 0.0319023, 0.142698, 0.212898
total_bytes, 64638,,465, 1633.77, 1300.26, 1578.97, 1397.39, 1284.83,,465, 1, 1.2565, 1.03471, 1.16916, 1.27158,,465, 0, 0.204137, 0.0335426, 0.144685, 0.213577
best_test,lx_5a_r2,,498, 1747.42, 1390.27, 1686.16, 1488.23, 1372.51,,498, 1, 1.2569, 1.03633, 1.17416, 1.27316,,498, 0, 0.204389, 0.0350603, 0.148327, 0.214555
best_total, 172150,,531, 1850.4, 1467.79, 1793.02, 1581.97, 1454.95,,531, 1, 1.26067, 1.032, 1.16968, 1.2718,,531, 0, 0.206771, 0.0310076, 0.145067, 0.213712
worst_test,local,,564, 1956.93, 1554.58, 1898.19, 1681.77, 1531.41,,564, 1, 1.25881, 1.03095, 1.16361, 1.27786,,564, 0, 0.205601, 0.0300181, 0.140609, 0.217444
