name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
vers,1.0,,0, 44.3323, 40.8793, 39.075, 41, 54.6563,,0, 1, 1.08447, 1.13454, 1.08128, 0.811111,,0, 0, 0.0778902, 0.118589, 0.0751669,-0.232876
start,0,,1, 134.184, 130.892, 128.637, 130.668, 143.82,,1, 1, 1.02515, 1.04313, 1.02691, 0.933003,,1, 0, 0.0245343, 0.0413435, 0.0262084,-0.0718082
end,128,,2, 141.723, 138.763, 162.376, 138.467, 152.006,,2, 1, 1.02133, 0.872808, 1.02351, 0.932351,,2, 0, 0.0208872,-0.145728, 0.0229734,-0.0725574
incr,1,,3, 144.802, 141.786, 165.356, 141.332, 154.94,,3, 1, 1.02127, 0.875697, 1.02455, 0.934571,,3, 0, 0.0208312,-0.141947, 0.0239625,-0.0700101
num_try,245760,,4, 148.035, 144.654, 160.725, 144.307, 144.667,,4, 1, 1.02337, 0.921042, 1.02583, 1.02328,,4, 0, 0.0228376,-0.0857266, 0.0251837, 0.0227529
align,0,,5, 151.618, 147.812, 163.434, 147.772, 150.533,,5, 1, 1.02575, 0.927698, 1.02602, 1.00721,,5, 0, 0.0251016,-0.0779373, 0.0253643, 0.00715383
baseline,0,,6, 154.697, 151.405, 167.685, 150.749, 154.536,,6, 1, 1.02174, 0.922546, 1.02619, 1.00104,,6, 0, 0.0212786,-0.0839573, 0.0255191, 0.00104187
rand,1,,7, 157.103, 153.87, 170.021, 153.927, 157.468,,7, 1, 1.02101, 0.924021, 1.02064, 0.99768,,7, 0, 0.0205774,-0.0822269, 0.0202193,-0.00232563
rand_align,0,,8, 160.812, 157.143, 164.948, 156.884, 153.032,,8, 1, 1.02335, 0.974925, 1.02504, 1.05083,,8, 0, 0.0228158,-0.0257196, 0.0244244, 0.0483749
seed,0,,9, 163.175, 160.193, 168.897, 159.72, 159.099,,9, 1, 1.01862, 0.96612, 1.02163, 1.02562,,9, 0, 0.0182786,-0.0350679, 0.0211723, 0.024981
testmask,0,,10, 166.53, 162.679, 171.241, 163.171, 162.645,,10, 1, 1.02367, 0.972491, 1.02059, 1.02389,,10, 0, 0.0231254,-0.0282874, 0.0201736, 0.0233312
clock,500,,11, 169.589, 166.449, 174.29, 165.889, 165.885,,11, 1, 1.01886, 0.973027, 1.0223, 1.02233,,11, 0, 0.0185127,-0.0277207, 0.021814, 0.0218383
=====,,,12, 172.22, 169.395, 170.499, 168.825, 156.888,,12, 1, 1.01667, 1.01009, 1.02011, 1.09773,,12, 0, 0.0164015, 0.009991, 0.0197149, 0.0890265
Totals:,,,13, 175.374, 171.865, 173.54, 171.74, 162.923,,13, 1, 1.02042, 1.01057, 1.02116, 1.07643,,13, 0, 0.0200109, 0.010461, 0.0207243, 0.0710005
total_bytes, 8256,,14, 178.337, 175.439, 175.797, 174.663, 166.319,,14, 1, 1.01652, 1.01444, 1.02103, 1.07225,,14, 0, 0.0162479, 0.0142386, 0.0205983, 0.0673857
best_test,lxDw,,15, 181.274, 177.727, 178.701, 177.611, 169.274,,15, 1, 1.01996, 1.0144, 1.02062, 1.07089,,15, 0, 0.0195681, 0.0141943, 0.0202072, 0.0661976
best_total, 37632,,16, 184.439, 180.923, 174.568, 180.859, 160.085,,16, 1, 1.01944, 1.05655, 1.01979, 1.15213,,16, 0, 0.0190655, 0.0535229, 0.0194106, 0.132044
worst_test,local,,17, 187.277, 183.767, 177.404, 183.338, 165.934,,17, 1, 1.0191, 1.05565, 1.02149, 1.12863,,17, 0, 0.0187417, 0.0527168, 0.0210347, 0.113967
worst_total, 50991.4,,18, 190.491, 187.326, 180.048, 186.675, 169.665,,18, 1, 1.0169, 1.058, 1.02045, 1.12275,,18, 0, 0.0166177, 0.0548227, 0.020036, 0.10933
total_local, 50991.4,,19, 193.371, 190.021, 183.239, 189.307, 172.456,,19, 1, 1.01763, 1.05529, 1.02147, 1.12128,,19, 0, 0.0173257, 0.0523968, 0.0210174, 0.108164
total_i386, 50537,,20, 196.364, 192.955, 179.055, 192.388, 164.101,,20, 1, 1.01767, 1.09667, 1.02067, 1.19661,,20, 0, 0.0173618, 0.0881469, 0.0202478, 0.164304
total_i686, 39778.2,,21, 199.432, 195.97, 181.614, 195.866, 169.167,,21, 1, 1.01766, 1.09811, 1.01821, 1.1789,,21, 0, 0.0173581, 0.0893439, 0.0178807, 0.151752
total_lxCond, 50314.5,,22, 202.32, 199.234, 185.922, 198.464, 172.865,,22, 1, 1.01549, 1.0882, 1.01943, 1.17039,,22, 0, 0.0152521, 0.0810491, 0.0190603, 0.145586
total_lxDw, 37632,,23, 204.979, 202.036, 187.383, 200.977, 175.637,,23, 1, 1.01456, 1.0939, 1.01991, 1.16706,,23, 0, 0.0143554, 0.0858418, 0.0195231, 0.143143
ratio_local, 1,,24, 208.007, 204.558, 183.366, 203.902, 167.1,,24, 1, 1.01686, 1.13438, 1.02013, 1.2448,,24, 0, 0.0165801, 0.118459, 0.0197325, 0.196661
ratio_i386, 1.00899,,25, 210.87, 207.586, 186.861, 206.717, 172.874,,25, 1, 1.01582, 1.12848, 1.02009, 1.21979,,25, 0, 0.0155692, 0.113855, 0.0196911, 0.180184
ratio_i686, 1.28189,,26, 213.744, 210.472, 188.77, 209.627, 176.362,,26, 1, 1.01555, 1.1323, 1.01964, 1.21196,,26, 0, 0.0153088, 0.116839, 0.0192614, 0.174891
ratio_lxCond, 1.01345,,27, 216.465, 213.471, 191.714, 212.617, 179.479,,27, 1, 1.01403, 1.1291, 1.0181, 1.20608,,27, 0, 0.0138325, 0.114341, 0.0177775, 0.170867
ratio_lxDw, 1.355,,28, 218.959, 216.05, 188.377, 215.305, 170.854,,28, 1, 1.01347, 1.16235, 1.01697, 1.28156,,28, 0, 0.0132886, 0.139672, 0.0166882, 0.219702
,,,29, 221.648, 218.687, 191.686, 218.128, 175.825,,29, 1, 1.01354, 1.15631, 1.01614, 1.26062,,29, 0, 0.0133586, 0.13518, 0.0158812, 0.206737
,,,30, 224.902, 221.384, 193.856, 220.779, 180.29,,30, 1, 1.01589, 1.16015, 1.01868, 1.24745,,30, 0, 0.0156429, 0.138042, 0.0183338, 0.198363
,,,31, 227.748, 224.462, 196.42, 223.424, 182.61,,31, 1, 1.01464, 1.15949, 1.01935, 1.24718,,31, 0, 0.0144287, 0.137555, 0.0189872, 0.198194
,,,32, 230.314, 227.044, 186.077, 226.209, 174.163,,32, 1, 1.0144, 1.23774, 1.01815, 1.3224,,32, 0, 0.0141991, 0.192075, 0.0178251, 0.243802
,,,33, 302.368, 299.615, 264.478, 298.365, 251.557,,33, 1, 1.00919, 1.14326, 1.01341, 1.20198,,33, 0, 0.00910274, 0.12531, 0.0132367, 0.168041
,,,34, 308.229, 305.032, 265.052, 304.296, 258.039,,34, 1, 1.01048, 1.1629, 1.01292, 1.1945,,34, 0, 0.0103711, 0.140081, 0.0127591, 0.162833
,,,35, 310.58, 307.635, 267.86, 306.838, 260.508,,35, 1, 1.00957, 1.15948, 1.01219, 1.19221,,35, 0, 0.00948026, 0.137547, 0.0120464, 0.161221
,,,36, 313.369, 310.258, 263.97, 309.213, 250.443,,36, 1, 1.01003, 1.18714, 1.01344, 1.25126,,36, 0, 0.00992811, 0.157637, 0.0132621, 0.200805
,,,37, 315.552, 312.786, 266.395, 311.639, 254.999,,37, 1, 1.00884, 1.18453, 1.01256, 1.23746,,37, 0, 0.00876378, 0.15578, 0.0123998, 0.191895
,,,38, 317.913, 314.915, 270.096, 314.24, 258.244,,38, 1, 1.00952, 1.17704, 1.01169, 1.23106,,38, 0, 0.00942982, 0.150408, 0.0115514, 0.187689
,,,39, 320.26, 317.474, 271.535, 316.464, 260.792,,39, 1, 1.00878, 1.17944, 1.01199, 1.22803,,39, 0, 0.00869883, 0.152141, 0.0118505, 0.185684
,,,40, 323.065, 320.169, 267.794, 318.86, 256.268,,40, 1, 1.00905, 1.20639, 1.01319, 1.26065,,40, 0, 0.00896474, 0.171084, 0.0130159, 0.20676
,,,41, 325.673, 322.536, 270.435, 321.204, 261.05,,41, 1, 1.00973, 1.20425, 1.01391, 1.24755,,41, 0, 0.0096315, 0.16961, 0.0137219, 0.198429
,,,42, 328.12, 325.402, 272.973, 324.115, 264.651,,42, 1, 1.00835, 1.20202, 1.01236, 1.23982,,42, 0, 0.0082827, 0.16807, 0.0122053, 0.193433
,,,43, 330.524, 327.86, 275.697, 326.317, 266.465,,43, 1, 1.00813, 1.19887, 1.01289, 1.2404,,43, 0, 0.00806079, 0.165878, 0.0127285, 0.193811
,,,44, 333.064, 330.072, 271.684, 328.919, 259.164,,44, 1, 1.00907, 1.22592, 1.0126, 1.28515,,44, 0, 0.00898406, 0.184289, 0.0124447, 0.221879
,,,45, 335.634, 332.447, 275.278, 331.033, 263.733,,45, 1, 1.00959, 1.21925, 1.0139, 1.27263,,45, 0, 0.00949523, 0.179825, 0.0137092, 0.214223
,,,46, 337.686, 334.632, 276.836, 333.687, 266.873,,46, 1, 1.00913, 1.21981, 1.01199, 1.26534,,46, 0, 0.0090437, 0.180198, 0.0118434, 0.209702
,,,47, 340.463, 337.388, 279.048, 336.027, 269.444,,47, 1, 1.00911, 1.22009, 1.0132, 1.26358,,47, 0, 0.00903223, 0.180388, 0.013031, 0.208595
,,,48, 342.487, 339.632, 275.715, 338.352, 262.262,,48, 1, 1.00841, 1.24218, 1.01222, 1.3059,,48, 0, 0.00833762, 0.194963, 0.0120734, 0.234242
,,,49, 344.924, 342.113, 278.276, 340.501, 266.815,,49, 1, 1.00822, 1.2395, 1.01299, 1.29274,,49, 0, 0.00815085, 0.193226, 0.0128217, 0.226452
,,,50, 347.019, 344.516, 280.245, 343.108, 269.85,,50, 1, 1.00727, 1.23827, 1.0114, 1.28597,,50, 0, 0.00721559, 0.192423, 0.0112702, 0.222378
,,,51, 351.345, 346.36, 282.983, 345.113, 274.354,,51, 1, 1.01439, 1.24158, 1.01806, 1.28063,,51, 0, 0.0141881, 0.194572, 0.0177366, 0.219132
,,,52, 353.426, 350.333, 279.317, 349.143, 265.271,,52, 1, 1.00883, 1.26532, 1.01227, 1.33232,,52, 0, 0.00875129, 0.209689, 0.0121197, 0.249431
,,,53, 355.759, 352.76, 281.44, 351.517, 269.717,,53, 1, 1.0085, 1.26407, 1.01207, 1.31901,,53, 0, 0.0084314, 0.208904, 0.0119241, 0.241856
,,,54, 358.21, 355.296, 284.805, 353.565, 274.805,,54, 1, 1.0082, 1.25774, 1.01314, 1.30351,,54, 0, 0.00813682, 0.204923, 0.012967, 0.232838
,,,55, 360.655, 357.385, 286.008, 356.189, 277.146,,55, 1, 1.00915, 1.261, 1.01254, 1.30132,,55, 0, 0.00906871, 0.206978, 0.0123827, 0.23155
,,,56, 362.18, 359.949, 282.751, 358.191, 267.928,,56, 1, 1.0062, 1.28091, 1.01113, 1.35178,,56, 0, 0.00615815, 0.219307, 0.011012, 0.260233
,,,57, 364.812, 361.634, 285.078, 360.166, 272.666,,57, 1, 1.00879, 1.2797, 1.0129, 1.33794,,57, 0, 0.00871265, 0.218564, 0.0127379, 0.252585
,,,58, 368.764, 364.017, 287.388, 362.596, 277.653,,58, 1, 1.01304, 1.28315, 1.01701, 1.32814,,58, 0, 0.0128726, 0.220671, 0.0167239, 0.24707
,,,59, 371.171, 368.063, 289.69, 364.254, 279.702,,59, 1, 1.00844, 1.28127, 1.01899, 1.32702,,59, 0, 0.00837269, 0.219524, 0.0186344, 0.246433
,,,60, 373.334, 370.254, 286.531, 368.732, 270.889,,60, 1, 1.00832, 1.30294, 1.01248, 1.37818,,60, 0, 0.00824994, 0.232507, 0.0123244, 0.274405
,,,61, 375.164, 372.583, 290.238, 371.051, 277.03,,61, 1, 1.00693, 1.29261, 1.01108, 1.35424,,61, 0, 0.00688106, 0.226371, 0.0109633, 0.261577
,,,62, 377.459, 374.534, 291.141, 373.019, 280.31,,62, 1, 1.00781, 1.29648, 1.0119, 1.34658,,62, 0, 0.00774813, 0.228681, 0.0117633, 0.257377
,,,63, 379.507, 376.599, 293.703, 375.054, 282.138,,63, 1, 1.00772, 1.29214, 1.01187, 1.34511,,63, 0, 0.00766139, 0.226093, 0.011733, 0.256567
,,,64, 381.521, 378.826, 292.934, 377.083, 274.065,,64, 1, 1.00711, 1.30241, 1.01177, 1.39208,,64, 0, 0.00706131, 0.232192, 0.0116308, 0.281651
,,,65, 442.362, 440.255, 349.634, 438.387, 329.627,,65, 1, 1.00479, 1.26521, 1.00907, 1.34201,,65, 0, 0.0047629, 0.20962, 0.00898611, 0.254847
,,,66, 446.373, 444.726, 349.59, 443.653, 334.517,,66, 1, 1.0037, 1.27684, 1.00613, 1.33438,,66, 0, 0.00368826, 0.21682, 0.00609161, 0.250588
,,,67, 447.878, 446.856, 351.789, 445.331, 336.722,,67, 1, 1.00229, 1.27314, 1.00572, 1.33011,,67, 0, 0.00228195, 0.214541, 0.00568573, 0.248182
,,,68, 450.564, 448.34, 349.053, 446.862, 328.312,,68, 1, 1.00496, 1.29082, 1.00828, 1.37237,,68, 0, 0.00493459, 0.225298, 0.00821487, 0.271331
,,,69, 451.988, 450.586, 350.772, 448.506, 332.174,,69, 1, 1.00311, 1.28855, 1.00776, 1.36069,,69, 0, 0.00310079, 0.223935, 0.00770334, 0.265081
,,,70, 453.622, 452.13, 353.326, 450.398, 334.583,,70, 1, 1.0033, 1.28386, 1.00716, 1.35579,,70, 0, 0.00329036, 0.2211, 0.00710745, 0.26242
,,,71, 455.59, 454.156, 354.943, 452.249, 336.747,,71, 1, 1.00316, 1.28356, 1.00739, 1.35291,,71, 0, 0.00314736, 0.220914, 0.00733194, 0.260855
,,,72, 457.605, 455.911, 352.229, 454.172, 333.173,,72, 1, 1.00372, 1.29917, 1.00756, 1.37348,,72, 0, 0.00370219, 0.230279, 0.00750404, 0.27192
,,,73, 459.708, 461.939, 354.066, 455.957, 337.107,,73, 1, 0.995171, 1.29837, 1.00823, 1.36368,,73, 0,-0.00485276, 0.229801, 0.00815843, 0.266692
,,,74, 461.028, 463.534, 355.69, 457.16, 339.839,,74, 1, 0.994593, 1.29615, 1.00846, 1.3566,,74, 0,-0.00543688, 0.228484, 0.00839001, 0.262866
,,,75, 468.319, 465.518, 358.21, 458.602, 340.985,,75, 1, 1.00602, 1.30739, 1.02119, 1.37343,,75, 0, 0.00598071, 0.235116, 0.0207497, 0.271897
,,,76, 469.967, 467.043, 355.52, 460.382, 335.663,,76, 1, 1.00626, 1.32191, 1.02082, 1.40011,,76, 0, 0.00622151, 0.243521, 0.0203931, 0.285772
,,,77, 471.911, 468.427, 357.837, 467.094, 339.504,,77, 1, 1.00744, 1.31879, 1.01031, 1.39,,77, 0, 0.00738291, 0.241727, 0.0102076, 0.280576
,,,78, 473.462, 470.965, 358.619, 469.101, 342.168,,78, 1, 1.0053, 1.32024, 1.0093, 1.38371,,78, 0, 0.0052748, 0.242561, 0.0092123, 0.277306
,,,79, 475.384, 472.991, 360.679, 471.112, 343.396,,79, 1, 1.00506, 1.31803, 1.00907, 1.38436,,79, 0, 0.0050347, 0.241291, 0.00898625, 0.277646
,,,80, 476.575, 474.528, 358.251, 472.444, 338.14,,80, 1, 1.00431, 1.33028, 1.00875, 1.4094,,80, 0, 0.00429563, 0.248281, 0.00866944, 0.290478
,,,81, 478.368, 475.547, 359.836, 474.179, 341.847,,81, 1, 1.00593, 1.32941, 1.00883, 1.39936,,81, 0, 0.00589742, 0.247784, 0.00875702, 0.28539
,,,82, 480.105, 477.649, 361.892, 475.304, 343.716,,82, 1, 1.00514, 1.32665, 1.0101, 1.39681,,82, 0, 0.00511676, 0.246224, 0.0100013, 0.284083
,,,83, 489.289, 478.53, 363.2, 477.311, 345.678,,83, 1, 1.02248, 1.34716, 1.02509, 1.41545,,83, 0, 0.0219883, 0.257699, 0.0244804, 0.293508
,,,84, 490.648, 480.388, 360.523, 478.299, 340.862,,84, 1, 1.02136, 1.36094, 1.02582, 1.43943,,84, 0, 0.0209102, 0.265211, 0.0251684, 0.305283
,,,85, 492.413, 490.33, 367.058, 479.554, 343.894,,85, 1, 1.00425, 1.34151, 1.02681, 1.43187,,85, 0, 0.00423122, 0.254572, 0.0261138, 0.301614
,,,86, 494.237, 491.948, 364.884, 489.044, 346.093,,86, 1, 1.00465, 1.3545, 1.01062, 1.42805,,86, 0, 0.00463149, 0.261722, 0.0105068, 0.299742
,,,87, 495.449, 493.201, 369.969, 482.584, 347.587,,87, 1, 1.00456, 1.33916, 1.02666, 1.4254,,87, 0, 0.00453743, 0.253265, 0.0259676, 0.298441
,,,88, 496.707, 494.561, 367.744, 484.048, 342.649,,88, 1, 1.00434, 1.35069, 1.02615, 1.44961,,88, 0, 0.00431905, 0.259635, 0.0254853, 0.310159
,,,89, 498.102, 496.782, 365.706, 485.609, 346.367,,89, 1, 1.00266, 1.36203, 1.02573, 1.43808,,89, 0, 0.0026516, 0.265802, 0.0250818, 0.304626
,,,90, 498.9, 488.072, 371.129, 486.85, 347.937,,90, 1, 1.02218, 1.34428, 1.02475, 1.43388,,90, 0, 0.0217033, 0.256106, 0.0241529, 0.302592
,,,91, 500.683, 490.307, 373.194, 488.655, 349.875,,91, 1, 1.02116, 1.34162, 1.02462, 1.43104,,91, 0, 0.0207235, 0.254631, 0.0240242, 0.301205
,,,92, 503.364, 491.745, 370.645, 489.416, 345.331,,92, 1, 1.02363, 1.35808, 1.0285, 1.45763,,92, 0, 0.0230832, 0.263664, 0.0277091, 0.313954
,,,93, 503.927, 493.158, 373.185, 491.028, 348.26,,93, 1, 1.02184, 1.35034, 1.02627, 1.44699,,93, 0, 0.0213698, 0.259447, 0.0255971, 0.308908
,,,94, 505.981, 494.734, 373.944, 491.75, 350.147,,94, 1, 1.02273, 1.35309, 1.02894, 1.44506,,94, 0, 0.0222295, 0.260953, 0.0281257, 0.307985
,,,95, 506.634, 496.075, 375.417, 494.42, 351.865,,95, 1, 1.02129, 1.34952, 1.0247, 1.43985,,95, 0, 0.0208414, 0.258996, 0.0241071, 0.305485
,,,96, 507.95, 496.355, 370.68, 495.047, 347.299,,96, 1, 1.02336, 1.37032, 1.02606, 1.46258,,96, 0, 0.0228274, 0.270243, 0.0254021, 0.316274
,,,97, 546.418, 546.12, 419.039, 543.089, 387.24,,97, 1, 1.00054, 1.30398, 1.00613, 1.41106,,97, 0, 0.000544618, 0.233116, 0.0060927, 0.291311
