name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,0, 74.6576, 94.8243, 91.2334, 92.674,,0, 1, 0.787326, 0.818315, 0.805593,,0, 0,-0.270122,-0.222024,-0.241321
start,0,,1, 99.4594, 100.152, 112.456, 98.1657,,1, 1, 0.993087, 0.884428, 1.01318,,1, 0,-0.00696106,-0.130675, 0.013007
end,128,,2, 105.973, 105.508, 122.984, 104.785,,2, 1, 1.00441, 0.861682, 1.01134,,2, 0, 0.00438603,-0.16052, 0.0112155
incr,1,,3, 111.783, 108.623, 127.428, 108.132,,3, 1, 1.02909, 0.877224, 1.03377,,3, 0, 0.0282668,-0.13996, 0.0326637
num_try,491520,,4, 117.728, 108.397, 102.614, 106.1,,4, 1, 1.08608, 1.14729, 1.10959,,4, 0, 0.0792585, 0.12838, 0.0987702
align,0,,5, 123.477, 113.742, 128.264, 112.346,,5, 1, 1.08559, 0.962678, 1.09908,,5, 0, 0.0788447,-0.0387691, 0.0901496
baseline,0,,6, 129.94, 119.521, 137.437, 118.733,,6, 1, 1.08717, 0.945449, 1.09438,,6, 0, 0.0801833,-0.057698, 0.0862435
rand,1,,7, 135.77, 122.916, 143.538, 122.007,,7, 1, 1.10458, 0.94588, 1.11281,,7, 0, 0.0946797,-0.0572161, 0.101373
rand_align,0,,8, 142.865, 122.494, 124.186, 120.417,,8, 1, 1.16631, 1.15041, 1.18642,,8, 0, 0.142593, 0.130746, 0.157128
seed,0,,9, 148.512, 127.907, 145.806, 126.392,,9, 1, 1.1611, 1.01856, 1.17501,,9, 0, 0.138749, 0.0182212, 0.148947
testmask,0,,10, 154.736, 133.519, 152.014, 132.733,,10, 1, 1.15891, 1.0179, 1.16576,,10, 0, 0.137118, 0.0175888, 0.142193
clock,500,,11, 161.107, 136.997, 157.912, 135.997,,11, 1, 1.17599, 1.02023, 1.18464,,11, 0, 0.149655, 0.0198332, 0.155858
=====,,,12, 166.574, 140.324, 136.389, 138.753,,12, 1, 1.18707, 1.22132, 1.20051,,12, 0, 0.157588, 0.181212, 0.167024
Totals:,,,13, 172.825, 146.269, 159.274, 144.588,,13, 1, 1.18155, 1.08508, 1.19529,,13, 0, 0.153656, 0.078406, 0.163382
total_bytes, 8256,,14, 178.917, 153.206, 165.326, 152.258,,14, 1, 1.16782, 1.08221, 1.17509,,14, 0, 0.143705, 0.0759614, 0.149004
best_test,lx_5a_r,,15, 184.721, 156.628, 171.671, 155.532,,15, 1, 1.17936, 1.07602, 1.18767,,15, 0, 0.152085, 0.0706491, 0.158018
best_total, 42028.1,,16, 190.912, 147.916, 150.706, 146.351,,16, 1, 1.29068, 1.26678, 1.30447,,16, 0, 0.225213, 0.210599, 0.233407
worst_test,local,,17, 196.437, 157.573, 173.783, 156.374,,17, 1, 1.24665, 1.13036, 1.2562,,17, 0, 0.197848, 0.115328, 0.203948
worst_total, 66764.4,,18, 202.679, 163.248, 180.036, 162.321,,18, 1, 1.24154, 1.12577, 1.24863,,18, 0, 0.194547, 0.111717, 0.19912
total_local, 66764.4,,19, 209.128, 166.785, 186.23, 166.13,,19, 1, 1.25388, 1.12295, 1.25882,,19, 0, 0.202474, 0.10949, 0.205608
total_lx_r3, 42184.6,,20, 214.532, 169.488, 164.475, 167.537,,20, 1, 1.26576, 1.30434, 1.2805,,20, 0, 0.209962, 0.23333, 0.219057
total_lx_5a, 43599.2,,21, 220.837, 174.786, 187.447, 173.367,,21, 1, 1.26347, 1.17813, 1.27381,,21, 0, 0.208528, 0.151198, 0.214956
total_lx_5a_r, 42028.1,,22, 226.862, 181.006, 193.646, 180.297,,22, 1, 1.25334, 1.17153, 1.25826,,22, 0, 0.202129, 0.146413, 0.205255
ratio_local, 1,,23, 232.714, 184.534, 199.448, 183.652,,23, 1, 1.26109, 1.16679, 1.26715,,23, 0, 0.207037, 0.142951, 0.210827
ratio_lx_r3, 1.58267,,24, 238.897, 180.998, 177.784, 179.903,,24, 1, 1.31989, 1.34375, 1.32793,,24, 0, 0.242359, 0.255815, 0.246946
ratio_lx_5a, 1.53132,,25, 244.714, 187.675, 200.488, 185.891,,25, 1, 1.30393, 1.22059, 1.31644,,25, 0, 0.233085, 0.180724, 0.240373
ratio_lx_5a_r, 1.58856,,26, 250.686, 192.882, 206.653, 192.026,,26, 1, 1.29969, 1.21308, 1.30548,,26, 0, 0.230584, 0.175651, 0.233998
,,,27, 257.113, 196.297, 212.611, 195.713,,27, 1, 1.30982, 1.20931, 1.31372,,27, 0, 0.236536, 0.173085, 0.238805
