name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,0, 131.808, 125.104, 122.915, 122.628, 122.072, 107.911, 109.872, 120.149, 119.974, 142.946,,0, 1, 1.05359, 1.07234, 1.07486, 1.07976, 1.22145, 1.19965, 1.09704, 1.09864, 0.922082,,0, 0, 0.0508617, 0.0674632, 0.0696444, 0.0738653, 0.181303, 0.16642, 0.0884533, 0.0897814,-0.084502
start,0,,1, 158.669, 150.958, 146.213, 150.554, 147.91, 133.282, 134.691, 132.328, 130.049, 152.489,,1, 1, 1.05108, 1.0852, 1.0539, 1.07274, 1.19047, 1.17802, 1.19906, 1.22008, 1.04053,,1, 0, 0.0485988, 0.0785071, 0.0511449, 0.0678089, 0.159999, 0.15112, 0.166013, 0.180381, 0.0389491
end,128,,2, 173.676, 161.439, 156.063, 159.943, 157.817, 142.197, 142.315, 143.247, 140.787, 163.143,,2, 1, 1.0758, 1.11285, 1.08586, 1.10048, 1.22137, 1.22036, 1.21242, 1.23361, 1.06456,,2, 0, 0.0704572, 0.101409, 0.0790675, 0.0913095, 0.18125, 0.180572, 0.175203, 0.189371, 0.0606444
incr,1,,3, 188.563, 170.05, 166.56, 169.14, 166.942, 151.907, 150.99, 152.214, 149.378, 172.665,,3, 1, 1.10887, 1.1321, 1.11484, 1.12952, 1.2413, 1.24884, 1.2388, 1.26232, 1.09208,,3, 0, 0.0981821, 0.116689, 0.103006, 0.114665, 0.194396, 0.199259, 0.192768, 0.207808, 0.0843123
num_try,122880,,4, 204.114, 179.379, 176.413, 177.995, 176.516, 161.018, 159.462, 161.854, 157.326, 184.649,,4, 1, 1.13789, 1.15703, 1.14674, 1.15634, 1.26765, 1.28001, 1.2611, 1.29739, 1.10541,,4, 0, 0.121182, 0.135715, 0.127962, 0.135206, 0.211138, 0.218759, 0.207043, 0.229224, 0.0953621
align,31,,5, 219.069, 189.022, 186.653, 187.465, 185.601, 169.803, 167.598, 170.139, 164.942, 195.135,,5, 1, 1.15896, 1.17367, 1.16859, 1.18032, 1.29013, 1.30711, 1.28759, 1.32816, 1.12266,,5, 0, 0.137159, 0.147969, 0.144266, 0.152771, 0.224886, 0.234951, 0.223356, 0.247078, 0.109255
baseline,0,,6, 234.077, 198.332, 197.083, 196.727, 195.07, 179.063, 175.175, 182.032, 172.749, 206.882,,6, 1, 1.18023, 1.18771, 1.18986, 1.19997, 1.30723, 1.33624, 1.28591, 1.35502, 1.13145,,6, 0, 0.152707, 0.158041, 0.159562, 0.166643, 0.235023, 0.251634, 0.22234, 0.262001, 0.11618
rand,1,,7, 248.615, 206.842, 207.261, 205.907, 203.777, 188.115, 183.49, 188.729, 181.544, 217.811,,7, 1, 1.20196, 1.19953, 1.20742, 1.22003, 1.32161, 1.35493, 1.31731, 1.36945, 1.14142,,7, 0, 0.168023, 0.166337, 0.171785, 0.18035, 0.243348, 0.261952, 0.24088, 0.269779, 0.123902
rand_align,1,,8, 264.062, 216.364, 217.128, 214.993, 213.081, 197.155, 191.966, 199.755, 189.62, 225.359,,8, 1, 1.22045, 1.21616, 1.22823, 1.23925, 1.33936, 1.37556, 1.32193, 1.39258, 1.17174,,8, 0, 0.180632, 0.177737, 0.185821, 0.193062, 0.253373, 0.273024, 0.24353, 0.281909, 0.146565
seed,0,,9, 278.907, 225.32, 226.721, 224.199, 222.434, 205.735, 199.6, 207.382, 196.674, 232.594,,9, 1, 1.23783, 1.23018, 1.24401, 1.25389, 1.35566, 1.39733, 1.34489, 1.41812, 1.19911,,9, 0, 0.192132, 0.18711, 0.19615, 0.20248, 0.262354, 0.28435, 0.256446, 0.294839, 0.166052
