name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
,,,93, 110.742, 99.4273, 107.673, 126.96, 112.554,,93, 1, 1.1138, 1.02851, 0.87226, 0.9839,,93, 0, 0.102173, 0.027717,-0.146447,-0.0163634
,,,94, 110.714, 100.402, 108.107, 127.435, 112.848,,94, 1, 1.10271, 1.02412, 0.868788, 0.981095,,94, 0, 0.0931447, 0.0235476,-0.151029,-0.019269
,,,95, 111.394, 100.992, 108.485, 127.719, 113.377,,95, 1, 1.103, 1.02681, 0.872179, 0.982505,,95, 0, 0.0933818, 0.0261113,-0.146553,-0.0178063
,,,96, 111.688, 96.6462, 108.566, 127.988, 113.561,,96, 1, 1.15564, 1.02876, 0.872647, 0.983504,,96, 0, 0.134676, 0.0279524,-0.145938,-0.0167727
,,,97, 112.154, 100.77, 108.943, 128.234, 113.994,,97, 1, 1.11297, 1.02948, 0.874604, 0.983863,,97, 0, 0.101507, 0.0286325,-0.143374,-0.0164018
,,,98, 112.42, 101.761, 109.117, 128.398, 114.046,,98, 1, 1.10474, 1.03027, 0.875559, 0.985736,,98, 0, 0.0948086, 0.0293817,-0.142128,-0.0144701
,,,99, 112.612, 102.811, 109.755, 128.67, 114.404,,99, 1, 1.09533, 1.02603, 0.875203, 0.984338,,99, 0, 0.0870327, 0.0253706,-0.142592,-0.0159116
,,,100, 112.943, 98.3137, 109.803, 129.125, 114.755,,100, 1, 1.1488, 1.02859, 0.874678, 0.984213,,100, 0, 0.129528, 0.0277982,-0.143277,-0.0160398
,,,101, 113.534, 101.995, 109.929, 129.381, 114.667,,101, 1, 1.11314, 1.03279, 0.877513, 0.990118,,101, 0, 0.101637, 0.0317496,-0.139584,-0.00998042
,,,102, 113.788, 103.023, 110.319, 129.267, 115.063,,102, 1, 1.10449, 1.03145, 0.880257, 0.988919,,102, 0, 0.0946075, 0.0304927,-0.136032,-0.0112047
,,,103, 113.701, 103.805, 110.872, 129.796, 115.517,,103, 1, 1.09533, 1.02551, 0.875997, 0.984278,,103, 0, 0.0870371, 0.0248788,-0.141557,-0.0159735
,,,104, 113.963, 99.9838, 111.363, 130.292, 115.945,,104, 1, 1.13981, 1.02334, 0.87467, 0.982904,,104, 0, 0.122661, 0.0228086,-0.143288,-0.0173934
,,,105, 114.171, 103.752, 111.334, 130.476, 115.96,,105, 1, 1.10043, 1.02548, 0.87504, 0.984573,,105, 0, 0.0912633, 0.0248474,-0.142805,-0.0156691
,,,106, 114.879, 104.891, 111.613, 130.732, 116.022,,106, 1, 1.09522, 1.02926, 0.878737, 0.990149,,106, 0, 0.0869447, 0.0284305,-0.137996,-0.00994876
,,,107, 114.706, 105.479, 112.025, 131.213, 116.354,,107, 1, 1.08748, 1.02393, 0.874193, 0.985835,,107, 0, 0.080443, 0.0233684,-0.143912,-0.014369
,,,108, 115.294, 101.447, 112.391, 131.259, 116.966,,108, 1, 1.13649, 1.02583, 0.878368, 0.9857,,108, 0, 0.120098, 0.025178,-0.138476,-0.0145079
,,,109, 115.287, 104.855, 112.339, 131.785, 117.016,,109, 1, 1.09948, 1.02624, 0.874809, 0.985219,,109, 0, 0.0904813, 0.0255645,-0.143107,-0.0150023
,,,110, 115.543, 105.959, 112.766, 132.078, 117.341,,110, 1, 1.09045, 1.02463, 0.874809, 0.984674,,110, 0, 0.0829455, 0.0240334,-0.143107,-0.0155645
,,,111, 116.285, 107.024, 113.213, 132.155, 117.886,,111, 1, 1.08653, 1.02713, 0.87991, 0.986419,,111, 0, 0.079638, 0.0264126,-0.13648,-0.0137679
,,,112, 116.328, 102.602, 113.268, 132.39, 117.899,,112, 1, 1.13378, 1.02701, 0.878677, 0.986673,,112, 0, 0.117992, 0.0263042,-0.138075,-0.0135069
,,,113, 116.666, 106.793, 113.39, 132.679, 118.043,,113, 1, 1.09245, 1.02889, 0.879309, 0.988336,,113, 0, 0.0846256, 0.0280786,-0.137256,-0.0118014
,,,114, 116.788, 107.82, 113.975, 132.921, 118.501,,114, 1, 1.08317, 1.02468, 0.878629, 0.98554,,114, 0, 0.0767879, 0.0240888,-0.138137,-0.0146721
,,,115, 117.151, 108.335, 114.069, 133.055, 118.689,,115, 1, 1.08138, 1.02702, 0.880469, 0.987044,,115, 0, 0.075259, 0.0263106,-0.135758,-0.0131262
,,,116, 117.4, 104.456, 114.369, 133.625, 119.149,,116, 1, 1.12391, 1.0265, 0.878578, 0.985324,,116, 0, 0.110253, 0.0258199,-0.138203,-0.0148944
,,,117, 117.801, 108.006, 114.436, 133.743, 119.478,,117, 1, 1.09069, 1.0294, 0.880801, 0.985961,,117, 0, 0.0831496, 0.0285638,-0.13533,-0.0142392
,,,118, 117.616, 109.166, 114.677, 134.144, 119.835,,118, 1, 1.07741, 1.02563, 0.876791, 0.981479,,118, 0, 0.0718466, 0.0249906,-0.140522,-0.0188703
,,,119, 118.395, 110.145, 115.231, 134.223, 120.021,,119, 1, 1.0749, 1.02745, 0.882073, 0.986447,,119, 0, 0.0696785, 0.0267202,-0.133693,-0.0137391
,,,120, 118.495, 105.668, 115.392, 134.744, 120.588,,120, 1, 1.12139, 1.02689, 0.879408, 0.982641,,120, 0, 0.108247, 0.0261834,-0.137129,-0.0176653
,,,121, 118.637, 109.476, 115.662, 134.851, 120.577,,121, 1, 1.08367, 1.02572, 0.879759, 0.983911,,121, 0, 0.0772135, 0.0250718,-0.136675,-0.0163517
,,,122, 118.863, 110.536, 115.942, 135.329, 120.793,,122, 1, 1.07534, 1.02519, 0.878327, 0.984024,,122, 0, 0.0700577, 0.0245721,-0.138528,-0.0162351
,,,123, 119.446, 112.023, 116.533, 135.309, 121.42,,123, 1, 1.06626, 1.025, 0.882767, 0.983744,,123, 0, 0.0621438, 0.0243888,-0.132801,-0.0165246
,,,124, 119.791, 107.495, 116.466, 136.025, 121.572,,124, 1, 1.11439, 1.02855, 0.880655, 0.98535,,124, 0, 0.102649, 0.0277583,-0.135518,-0.014868
,,,125, 119.718, 110.835, 116.722, 135.874, 121.498,,125, 1, 1.08015, 1.02567, 0.881096, 0.985354,,125, 0, 0.0742005, 0.0250297,-0.13495,-0.0148637
,,,126, 120.376, 112.202, 117.185, 136.272, 122.065,,126, 1, 1.07285, 1.02723, 0.883351, 0.986164,,126, 0, 0.0679007, 0.0265118,-0.132053,-0.0140297
,,,127, 120.568, 113.398, 117.686, 136.635, 122.289,,127, 1, 1.06323, 1.02448, 0.882408, 0.985921,,127, 0, 0.0594691, 0.0238987,-0.133263,-0.01428
,,,128, 120.927, 108.756, 117.685, 138.295, 122.288,,128, 1, 1.11191, 1.02755, 0.874416, 0.988877,,128, 0, 0.100649, 0.026808,-0.14362,-0.0112484

