ptest -- strlen version 1.0
start	1	end	128
incr	1	ntry	1000000
align	31	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i486	        	   i486p	        	  lxSimp	        	    lxus	        
      52	   0.000%	 218.753	   1.774%	 214.873	  -3.145%	 225.633	  18.172%	 179.001	   0.477%	 217.710
      53	   0.000%	 220.744	   1.583%	 217.249	  -3.019%	 227.408	  17.844%	 181.355	   0.379%	 219.909
      54	   0.000%	 223.176	   1.726%	 219.324	  -2.779%	 229.378	  17.739%	 183.586	   0.472%	 222.122
      55	   0.000%	 225.355	   1.660%	 221.613	  -2.666%	 231.362	  17.447%	 186.037	   0.462%	 224.314
      56	   0.000%	 228.025	   1.767%	 223.995	  -2.851%	 234.527	  17.577%	 187.946	   0.995%	 225.756
      57	   0.000%	 230.563	   1.814%	 226.379	  -3.211%	 237.966	  17.399%	 190.446	   1.197%	 227.802
      58	   0.000%	 232.826	   1.741%	 228.771	  -3.473%	 240.913	  17.296%	 192.557	   1.235%	 229.951
      59	   0.000%	 235.143	   1.718%	 231.104	  -3.816%	 244.117	  17.210%	 194.675	   1.255%	 232.191
      60	   0.000%	 237.477	   1.536%	 233.830	  -3.790%	 246.478	  17.024%	 197.048	   1.540%	 233.820
      61	   0.000%	 240.245	   1.574%	 236.465	  -3.596%	 248.884	  17.114%	 199.130	   1.886%	 235.713
      62	   0.000%	 243.039	   1.552%	 239.266	  -3.420%	 251.350	  16.975%	 201.784	   2.888%	 236.019
      63	   0.000%	 245.826	   1.626%	 241.830	  -3.291%	 253.916	  17.108%	 203.771	   4.006%	 235.979
      64	   0.000%	 247.774	   1.466%	 244.142	  -3.526%	 256.511	  16.851%	 206.020	  -2.451%	 253.846
      65	   0.000%	 250.169	   1.544%	 246.307	  -3.399%	 258.671	  16.765%	 208.227	  -2.301%	 255.925
      66	   0.000%	 252.076	   1.368%	 248.629	  -3.673%	 261.334	  16.548%	 210.363	  -2.414%	 258.160
      67	   0.000%	 254.394	   1.577%	 250.382	  -3.671%	 263.734	  16.437%	 212.578	  -2.289%	 260.216
      68	   0.000%	 256.371	   1.450%	 252.655	  -3.490%	 265.319	  16.223%	 214.780	  -2.336%	 262.360
      69	   0.000%	 258.718	   1.475%	 254.903	  -3.298%	 267.251	  16.147%	 216.943	  -3.839%	 268.649
      70	   0.000%	 260.865	   1.392%	 257.234	  -3.312%	 269.506	  15.962%	 219.226	  -4.603%	 272.873
      71	   0.000%	 263.581	   1.566%	 259.454	  -2.962%	 271.390	  15.944%	 221.555	  -4.290%	 274.890
      72	   0.000%	 265.662	   1.388%	 261.974	  -3.228%	 274.237	  15.846%	 223.567	  -4.184%	 276.777
      73	   0.000%	 268.172	   1.391%	 264.442	  -3.530%	 277.638	  15.847%	 225.676	  -3.848%	 278.492
      74	   0.000%	 270.778	   1.517%	 266.670	  -3.734%	 280.889	  15.716%	 228.221	  -3.674%	 280.725
      75	   0.000%	 272.829	   1.472%	 268.813	  -3.976%	 283.676	  15.535%	 230.445	  -3.524%	 282.443
      76	   0.000%	 275.433	   1.417%	 271.531	  -3.896%	 286.164	  15.524%	 232.676	  -3.282%	 284.472
      77	   0.000%	 278.423	   1.411%	 274.494	  -3.730%	 288.808	  15.670%	 234.794	  -2.902%	 286.502
      78	   0.000%	 281.036	   1.432%	 277.012	  -3.702%	 291.441	  15.746%	 236.783	  -2.795%	 288.892
      79	   0.000%	 283.495	   1.306%	 279.793	  -3.711%	 294.015	  15.626%	 239.196	  -2.632%	 290.956
      80	   0.000%	 285.543	   1.256%	 281.956	  -3.784%	 296.350	  15.515%	 241.241	  -2.455%	 292.553
      81	   0.000%	 288.175	   1.468%	 283.944	  -3.651%	 298.695	  15.373%	 243.873	  -2.144%	 294.354
