name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
,,,29, 90.244, 72.3305, 75.3249, 83.871, 77.325,,29, 1, 1.24766, 1.19806, 1.07599, 1.16707,,29, 0, 0.198501, 0.16532, 0.0706195, 0.143157
,,,30, 91.2751, 73.3314, 76.3258, 84.4189, 78.3292,,30, 1, 1.24469, 1.19586, 1.08122, 1.16528,,30, 0, 0.196589, 0.163782, 0.0751157, 0.141834
,,,31, 92.1881, 74.3186, 77.3235, 85.42, 79.3265,,31, 1, 1.24045, 1.19224, 1.07923, 1.16214,,31, 0, 0.193838, 0.161242, 0.0734164, 0.139515
,,,32, 81.1955, 63.3254, 66.3279, 74.8868, 68.3238,,32, 1, 1.2822, 1.22415, 1.08424, 1.18839,,32, 0, 0.220088, 0.183109, 0.0776983, 0.158527
,,,33, 90.3667, 71.4493, 75.3975, 83.9596, 77.3999,,33, 1, 1.26477, 1.19854, 1.07631, 1.16753,,33, 0, 0.209341, 0.165649, 0.0709012, 0.143491
,,,34, 90.6078, 73.4094, 76.3989, 84.49, 78.4013,,34, 1, 1.23428, 1.18598, 1.07241, 1.15569,,34, 0, 0.189811, 0.156818, 0.0675194, 0.134718
,,,35, 93.3268, 75.4019, 78.4007, 86.9585, 80.4026,,35, 1, 1.23772, 1.19038, 1.07323, 1.16074,,35, 0, 0.192066, 0.159933, 0.0682359, 0.138483
,,,36, 87.2355, 69.4003, 72.4024, 80.9577, 74.401,,36, 1, 1.25699, 1.20487, 1.07754, 1.1725,,36, 0, 0.204449, 0.170035, 0.0719631, 0.147124
,,,37, 91.4181, 73.4089, 76.4018, 84.4901, 78.4013,,37, 1, 1.24533, 1.19654, 1.082, 1.16603,,37, 0, 0.196998, 0.16426, 0.0757843, 0.142388
,,,38, 92.3263, 74.3986, 77.4003, 85.5024, 79.4053,,38, 1, 1.24097, 1.19284, 1.07981, 1.16272,,38, 0, 0.194178, 0.161666, 0.0739109, 0.13995
,,,39, 93.3312, 75.3996, 78.3983, 86.9604, 80.4215,,39, 1, 1.23782, 1.19048, 1.07326, 1.16053,,39, 0, 0.192129, 0.159999, 0.0682601, 0.138321
,,,40, 88.2985, 70.3959, 73.4075, 81.9534, 75.3994,,40, 1, 1.25431, 1.20285, 1.07742, 1.17108,,40, 0, 0.20275, 0.168644, 0.0718587, 0.146085
,,,41, 93.3335, 75.4029, 78.4028, 86.9642, 80.421,,41, 1, 1.2378, 1.19044, 1.07324, 1.16056,,41, 0, 0.192113, 0.159971, 0.0682418, 0.138348
,,,42, 94.3335, 76.398, 79.4044, 87.9562, 81.398,,42, 1, 1.23476, 1.18801, 1.07251, 1.15892,,42, 0, 0.190129, 0.158259, 0.0676038, 0.137126
