name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,3, 67.261, 70.7386, 66.2678, 79.1246, 75.0845,,3, 1, 0.950838, 1.01499, 0.850064, 0.895803,,3, 0,-0.0517037, 0.0147653,-0.176383,-0.116317
start,3,,36, 86.4682, 76.8017, 72.357, 85.1789, 81.1361,,36, 1, 1.12586, 1.19502, 1.01514, 1.06572,,36, 0, 0.111792, 0.163195, 0.0149109, 0.0616646
end,2049,,69, 99.5359, 89.0101, 85.3988, 96.5603, 94.2359,,69, 1, 1.11825, 1.16554, 1.03081, 1.05624,,69, 0, 0.105748, 0.14203, 0.0298938, 0.0532467
incr,33,,102, 109.6, 99.9372, 95.4716, 106.639, 103.555,,102, 1, 1.09669, 1.14798, 1.02777, 1.05837,,102, 0, 0.0881616, 0.128906, 0.027017, 0.0551545
num_try,61440,,135, 119.646, 110.002, 105.559, 130.721, 114.38,,135, 1, 1.08768, 1.13346, 0.915278, 1.04605,,135, 0, 0.0806105, 0.117746,-0.0925639, 0.0440195
align,0,,168, 123.749, 118.32, 109.578, 134.104, 118.442,,168, 1, 1.04589, 1.12932, 0.922788, 1.04481,,168, 0, 0.0438745, 0.114515,-0.0836722, 0.0428841
baseline,0,,201, 137.407, 132.138, 123.665, 143.828, 131.968,,201, 1, 1.03987, 1.11113, 0.955353, 1.04121,,201, 0, 0.0383424, 0.100012,-0.0467331, 0.0395811
rand,1,,234, 148, 142.55, 133, 153.662, 141.765,,234, 1, 1.03823, 1.11278, 0.963152, 1.04398,,234, 0, 0.0368253, 0.101351,-0.0382575, 0.0421288
rand_align,0,,267, 158.093, 152.27, 143.829, 159.007, 152.784,,267, 1, 1.03824, 1.09917, 0.994249, 1.03474,,267, 0, 0.0368327, 0.0902224,-0.00578475, 0.0335782
seed,0,,300, 163.398, 157.774, 148.204, 164.085, 157.004,,300, 1, 1.03565, 1.10252, 0.995813, 1.04073,,300, 0, 0.03442, 0.0929857,-0.00420438, 0.0391325
testmask,0,,333, 176.354, 170.293, 162.271, 172.109, 170.183,,333, 1, 1.03559, 1.08678, 1.02466, 1.03626,,333, 0, 0.0343677, 0.0798536, 0.0240697, 0.0349898
clock,500,,366, 186.018, 180.872, 172.642, 182.4, 181.605,,366, 1, 1.02845, 1.07748, 1.01983, 1.0243,,366, 0, 0.027666, 0.0719052, 0.019448, 0.0237207
=====,,,399, 197.119, 192.057, 183.035, 188.118, 191.473,,399, 1, 1.02636, 1.07695, 1.04785, 1.02949,,399, 0, 0.025679, 0.0714488, 0.0456635, 0.0286411
Totals:,,,432, 202.034, 197.216, 188.193, 193.259, 196.731,,432, 1, 1.02443, 1.07355, 1.0454, 1.02696,,432, 0, 0.0238472, 0.0685071, 0.0434329, 0.0262511
total_bytes, 64638,,465, 215.886, 210.988, 201.965, 202.646, 210.199,,465, 1, 1.02321, 1.06893, 1.06534, 1.02706,,465, 0, 0.022688, 0.0644838, 0.0613291, 0.0263424
best_test,lx_mmx64_BA,,498, 227.765, 221.713, 213.808, 214.786, 222.172,,498, 1, 1.0273, 1.06528, 1.06043, 1.02517,,498, 0, 0.0265734, 0.0612787, 0.0569863, 0.0245559
best_total, 22388.8,,531, 239.357, 233.876, 225.606, 221.65, 223.037,,531, 1, 1.02344, 1.06095, 1.07989, 1.07317,,531, 0, 0.0229, 0.0574505, 0.0739759, 0.0681813
worst_test,local,,564, 244.921, 239.366, 230.421, 226.462, 228.435,,564, 1, 1.0232, 1.06293, 1.08151, 1.07217,,564, 0, 0.0226772, 0.0592022, 0.0753654, 0.0673109
worst_total, 25529,,597, 259.411, 254.525, 244.928, 236.772, 238.82,,597, 1, 1.0192, 1.05913, 1.09562, 1.08622,,597, 0, 0.0188348, 0.055831, 0.087271, 0.0793776
total_local, 25529,,630, 271.761, 266.619, 257.117, 249.53, 251.521,,630, 1, 1.01929, 1.05696, 1.08909, 1.08047,,630, 0, 0.0189234, 0.0538877, 0.081804, 0.0744792
total_lx_zan, 25166.7,,663, 283.83, 278.48, 269.203, 258.016, 259.598,,663, 1, 1.01921, 1.05433, 1.10005, 1.09335,,663, 0, 0.0188504, 0.0515343, 0.090948, 0.0853758
total_lx_hyb, 24636,,696, 289.014, 283.626, 274.357, 262.865, 263.977,,696, 1, 1.019, 1.05342, 1.09948, 1.09485,,696, 0, 0.0186425, 0.050714, 0.0904768, 0.0866296
total_lx_mmx64_BA, 22388.8,,729, 304.825, 298.848, 289.783, 273.865, 275.388,,729, 1, 1.02, 1.05191, 1.11305, 1.10689,,729, 0, 0.0196066, 0.0493447, 0.101568, 0.0965687
total_lx_mmx64_h2, 22389.2,,762, 316.017, 311.278, 301.506, 284.441, 285.853,,762, 1, 1.01522, 1.04813, 1.11101, 1.10552,,762, 0, 0.0149963, 0.0459171, 0.0999172, 0.095448
ratio_local, 1,,795, 328.384, 322.512, 313.066, 292.956, 294.688,,795, 1, 1.01821, 1.04893, 1.12093, 1.11435,,795, 0, 0.0178806, 0.0466464, 0.107885, 0.102612
ratio_lx_zan, 1.0144,,828, 333.851, 328.568, 318.389, 298.017, 299.096,,828, 1, 1.01608, 1.04856, 1.12024, 1.1162,,828, 0, 0.015826, 0.0463144, 0.107335, 0.104102
ratio_lx_hyb, 1.03625,,861, 348.354, 342.699, 333.174, 308.989, 309.809,,861, 1, 1.0165, 1.04556, 1.1274, 1.12442,,861, 0, 0.016233, 0.0435762, 0.113005, 0.110651
ratio_lx_mmx64_BA, 1.14026,,894, 359.625, 354.026, 345.762, 319.852, 320.553,,894, 1, 1.01582, 1.0401, 1.12435, 1.12189,,894, 0, 0.0155714, 0.0385496, 0.110596, 0.108647
ratio_lx_mmx64_h2, 1.14024,,927, 370.73, 366.101, 356.787, 327.971, 330.102,,927, 1, 1.01264, 1.03908, 1.13038, 1.12308,,927, 0, 0.0124852, 0.0376095, 0.115338, 0.109588
,,,960, 371.18, 366.26, 356.63, 319.265, 320.592,,960, 1, 1.01343, 1.0408, 1.16261, 1.1578,,960, 0, 0.0132549, 0.0391987, 0.139863, 0.13629
,,,993, 391.342, 386.279, 375.456, 343.627, 344.729,,993, 1, 1.01311, 1.04231, 1.13886, 1.13522,,993, 0, 0.0129384, 0.0405943, 0.121928, 0.11911
,,,1026, 403.342, 397.368, 388.508, 348.901, 351.291,,1026, 1, 1.01503, 1.03818, 1.15604, 1.14817,,1026, 0, 0.0148109, 0.0367768, 0.134975, 0.12905
,,,1059, 414.233, 409.837, 402.329, 363.907, 365.731,,1059, 1, 1.01073, 1.02959, 1.13829, 1.13262,,1059, 0, 0.0106114, 0.0287361, 0.121491, 0.117088
,,,1092, 419.117, 414.005, 405.334, 361.853, 363.214,,1092, 1, 1.01235, 1.034, 1.15825, 1.15391,,1092, 0, 0.0121963, 0.0328852, 0.136631, 0.133383
,,,1125, 434.421, 428.389, 419.497, 378.951, 379.775,,1125, 1, 1.01408, 1.03558, 1.14638, 1.14389,,1125, 0, 0.0138854, 0.034354, 0.127687, 0.125791
,,,1158, 445.738, 439.535, 431.439, 384.404, 386.669,,1158, 1, 1.01411, 1.03314, 1.15956, 1.15276,,1158, 0, 0.0139149, 0.0320785, 0.137601, 0.132519
,,,1191, 455.704, 450.656, 441.782, 395.237, 396.846,,1191, 1, 1.0112, 1.03151, 1.15299, 1.14831,,1191, 0, 0.0110775, 0.0305504, 0.132691, 0.129158
,,,1224, 462.82, 456.534, 447.444, 394.738, 397.471,,1224, 1, 1.01377, 1.03436, 1.17247, 1.16441,,1224, 0, 0.0135822, 0.0332211, 0.147101, 0.141196
,,,1257, 480.157, 473.43, 462.809, 414.373, 416.427,,1257, 1, 1.01421, 1.03748, 1.15875, 1.15304,,1257, 0, 0.0140106, 0.0361299, 0.137005, 0.132727
,,,1290, 490.491, 483.658, 476.734, 420.604, 423.762,,1290, 1, 1.01413, 1.02886, 1.16616, 1.15747,,1290, 0, 0.0139323, 0.0280481, 0.142485, 0.136046
,,,1323, 502.502, 495.729, 487.076, 432.555, 433.943,,1323, 1, 1.01366, 1.03167, 1.16171, 1.15799,,1323, 0, 0.0134789, 0.0306989, 0.139197, 0.136435
,,,1356, 508.411, 503.776, 493.583, 436.154, 436.317,,1356, 1, 1.0092, 1.03004, 1.16567, 1.16523,,1356, 0, 0.00911756, 0.029166, 0.142123, 0.141804
,,,1389, 523.327, 518.399, 509.134, 450.822, 451.994,,1389, 1, 1.0095, 1.02788, 1.16083, 1.15782,,1389, 0, 0.00941509, 0.0271201, 0.138546, 0.136307
,,,1422, 537.668, 531.2, 522.859, 460.336, 460.96,,1422, 1, 1.01218, 1.02832, 1.16799, 1.16641,,1422, 0, 0.0120306, 0.0275438, 0.143829, 0.142669
,,,1455, 548.544, 543.597, 532.547, 473.11, 475.658,,1455, 1, 1.0091, 1.03004, 1.15944, 1.15323,,1455, 0, 0.00901852, 0.0291641, 0.137518, 0.132872
,,,1488, 554.386, 549.745, 541.221, 472.806, 475.501,,1488, 1, 1.00844, 1.02432, 1.17254, 1.1659,,1488, 0, 0.00837071, 0.0237464, 0.147153, 0.142292
,,,1521, 572.271, 565.701, 557.008, 490.023, 490.521,,1521, 1, 1.01161, 1.0274, 1.16784, 1.16666,,1521, 0, 0.01148, 0.0266705, 0.143721, 0.142852
