name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
=====,,,399, 197.924, 199.373, 867.918, 221.901, 198.516, 192.831, 214.286, 194.128, 195.779, 231.594, 219.78, 221.239, 199.151,,399, 1, 0.992735, 0.228045, 0.891948, 0.997021, 1.02642, 0.923644, 1.01956, 1.01096, 0.854618, 0.900555, 0.894619, 0.99384,,399, 0,-0.00731841,-3.3851,-0.121142,-0.00298743, 0.0257353,-0.0826684, 0.0191823, 0.0108376,-0.170113,-0.110426,-0.117794,-0.00619861
Totals:,,,432, 208.914, 209.789, 934.42, 232.743, 208.864, 203.828, 222.861, 204.663, 206.522, 242.156, 229.911, 229.133, 210.101,,432, 1, 0.995829, 0.223576, 0.897616, 1.00024, 1.02495, 0.937418, 1.02077, 1.01158, 0.862723, 0.908671, 0.911759, 0.994348,,432, 0,-0.00418833,-3.47276,-0.114062, 0.000237374, 0.0243447,-0.0667601, 0.0203482, 0.0114461,-0.159121,-0.100509,-0.0967816,-0.00568399
total_bytes, 64638,,465, 219.243, 219.788, 994.628, 246.064, 218.698, 213.703, 239.018, 214.614, 216.383, 252.618, 239.085, 241.684, 215.201,,465, 1, 0.99752, 0.220427, 0.890997, 1.00249, 1.02592, 0.917264, 1.02157, 1.01322, 0.86788, 0.917007, 0.907146, 1.01878,,465, 0,-0.00248654,-3.53665,-0.122338, 0.00248457, 0.0252687,-0.0901983, 0.0211126, 0.0130439,-0.152233,-0.0905046,-0.102358, 0.0184327
best_test,lx_mmx64_BA,,498, 230.031, 231.026, 1053.85, 255.07, 229.979, 224.888, 252.815, 225.491, 227.114, 263.918, 249.394, 255.716, 226.965,,498, 1, 0.995695, 0.218277, 0.901837, 1.00023, 1.02287, 0.90988, 1.02014, 1.01285, 0.871603, 0.922363, 0.899559, 1.01351,,498, 0,-0.00432402,-3.58133,-0.108848, 0.000228685, 0.0223584,-0.0990462, 0.0197377, 0.0126832,-0.147311,-0.0841723,-0.111656, 0.013331
best_total, 23286.4,,531, 241.462, 241.527, 1130.08, 271.096, 240.862, 234.858, 266.833, 236.236, 237.741, 274.897, 259.655, 265.622, 232.755,,531, 1, 0.999728, 0.213668, 0.890687, 1.00249, 1.02812, 0.904918, 1.02212, 1.01565, 0.878373, 0.929931, 0.909044, 1.03741,,531, 0,-0.00027256,-3.68017,-0.122729, 0.00248491, 0.0273479,-0.105072, 0.0216429, 0.01541,-0.138469,-0.0753486,-0.100057, 0.0360573
worst_test,i586,,564, 251.952, 252.968, 1196.76, 282.234, 252.31, 246.179, 274.997, 247.664, 248.854, 286.541, 270.24, 274.017, 243.494,,564, 1, 0.995985, 0.210528, 0.892708, 0.998584, 1.02345, 0.916199, 1.01731, 1.01245, 0.87929, 0.932326, 0.919477, 1.03474,,564, 0,-0.00403075,-3.74996,-0.120187,-0.00141829, 0.0229148,-0.0914657, 0.0170196, 0.012297,-0.137282,-0.0725859,-0.0875752, 0.0335717
worst_total, 127671,,597, 263.841, 264.509, 1249.34, 296.486, 263.755, 258.261, 293.095, 259.486, 260.815, 298.737, 280.038, 287.623, 250.091,,597, 1, 0.997476, 0.211185, 0.889896, 1.00033, 1.02161, 0.900191, 1.01678, 1.0116, 0.883189, 0.942164, 0.917317, 1.05498,,597, 0,-0.00253015,-3.73519,-0.123727, 0.000326686, 0.021151,-0.110876, 0.0165078, 0.0114692,-0.13226,-0.0613862,-0.0901359, 0.0521146
total_local, 25809.8,,630, 274.573, 275.565, 1316.6, 305.99, 274.923, 269.494, 306.558, 269.924, 271.788, 309.589, 291.23, 302.31, 261.751,,630, 1, 0.9964, 0.208547, 0.897325, 0.998728, 1.01885, 0.895662, 1.01722, 1.01025, 0.886896, 0.942803, 0.908249, 1.04898,,630, 0,-0.00361286,-3.79508,-0.114424,-0.00127408, 0.0184978,-0.116493, 0.0169315, 0.010142,-0.127528,-0.0606667,-0.10102, 0.0466965
total_i386, 25846,,663, 285.544, 285.668, 1365.42, 319.961, 285.093, 280.241, 321.09, 280.809, 282.555, 321.425, 300.972, 312.937, 267.07,,663, 1, 0.999566, 0.209125, 0.892435, 1.00158, 1.01892, 0.889296, 1.01686, 1.01058, 0.888369, 0.948741, 0.912467, 1.06917,,663, 0,-0.000433902,-3.78183,-0.120529, 0.0015805, 0.0185732,-0.124485, 0.0165824, 0.0104686,-0.125658,-0.0540285,-0.0959299, 0.0646987
total_i586, 127671,,696, 297.514, 298.019, 1437.94, 332.556, 296.469, 290.973, 328.823, 291.865, 293.59, 332.489, 312.098, 321.073, 279.522,,696, 1, 0.998306, 0.206903, 0.89463, 1.00353, 1.02248, 0.904784, 1.01936, 1.01337, 0.89481, 0.953272, 0.926626, 1.06437,,696, 0,-0.00169729,-3.83318,-0.11778, 0.00351351, 0.0219867,-0.105236, 0.0189889, 0.0131901,-0.117556,-0.049019,-0.0791837, 0.0604742
total_i686, 29169,,729, 308.348, 309.246, 1488.55, 346.765, 307.922, 302.658, 346.649, 303.782, 305.78, 344.058, 322.184, 335.264, 285.124,,729, 1, 0.997097, 0.207146, 0.889213, 1.00138, 1.0188, 0.88951, 1.01503, 1.0084, 0.896208, 0.957055, 0.919717, 1.08145,,729, 0,-0.00291154,-3.82751,-0.12459, 0.00138171, 0.0184521,-0.124214, 0.0148059, 0.00832855,-0.115812,-0.0448722,-0.0872907, 0.0753179
total_i686fix, 25788.4,,762, 319.841, 319.647, 1547.92, 356.191, 318.923, 313.749, 360.348, 315.146, 316.471, 355.366, 332.534, 350.068, 296.282,,762, 1, 1.00061, 0.206626, 0.89795, 1.00288, 1.01942, 0.887589, 1.0149, 1.01065, 0.900033, 0.961831, 0.913655, 1.07951,,762, 0, 0.000608398,-3.83965,-0.113648, 0.00287178, 0.0190491,-0.126648, 0.0146804, 0.0105362,-0.11107,-0.0396841,-0.094505, 0.0736578
total_lx_zan, 25463.3,,795, 330.001, 330.48, 1607.65, 371.705, 328.836, 324.502, 374.615, 325.655, 327.192, 367.574, 344.036, 360.278, 301.412,,795, 1, 0.99855, 0.205269, 0.887803, 1.00354, 1.01695, 0.880906, 1.01335, 1.00859, 0.897782, 0.959204, 0.915961, 1.09485,,795, 0,-0.00145191,-3.87166,-0.126376, 0.0035294, 0.016664,-0.135195, 0.0131701, 0.00851294,-0.113856,-0.0425313,-0.0917496, 0.0866341
total_lx_simp, 29751.2,,828, 341.254, 341.542, 1671.64, 383.979, 341.306, 335.517, 383.588, 337.254, 338.276, 379.089, 353.697, 368.907, 312.241,,828, 1, 0.999158, 0.204143, 0.888732, 0.999849, 1.0171, 0.889637, 1.01186, 1.00881, 0.900196, 0.964821, 0.925041, 1.09292,,828, 0,-0.000842359,-3.89852,-0.125199,-0.000151193, 0.0168132,-0.124054, 0.0117216, 0.00872903,-0.110869,-0.036462,-0.0810337, 0.0850188
total_lx_hyb, 25518.8,,861, 351.845, 352.651, 1720.92, 397.856, 351.924, 346.304, 401.178, 347.168, 349.336, 389.86, 363.105, 383.104, 319.571,,861, 1, 0.997715, 0.204452, 0.884353, 0.999777, 1.016, 0.87703, 1.01347, 1.00718, 0.902492, 0.968992, 0.918407, 1.10099,,861, 0,-0.00229018,-3.89112,-0.130771,-0.000222756, 0.0157499,-0.140212, 0.0132936, 0.00713092,-0.108043,-0.0320004,-0.0888413, 0.0917279
total_lx_hyb_BA, 25621.3,,894, 363.256, 363.868, 1789, 407.458, 362.507, 358.02, 415.212, 358.509, 359.914, 400.598, 374.72, 396.849, 330.207,,894, 1, 0.998318, 0.20305, 0.891518, 1.00207, 1.01463, 0.874869, 1.01324, 1.00929, 0.906784, 0.969407, 0.915351, 1.10009,,894, 0,-0.00168471,-3.9249,-0.121683, 0.00206291, 0.0144146,-0.143029, 0.013069, 0.00920159,-0.102798,-0.0315586,-0.0924777, 0.0909806
total_lx_mmx, 28409,,927, 373.446, 374.168, 1843.17, 423.045, 372.16, 367.607, 430.466, 369.366, 371.043, 414.481, 384.885, 407.103, 338.026,,927, 1, 0.998071, 0.202611, 0.882757, 1.00345, 1.01588, 0.86754, 1.01105, 1.00648, 0.900996, 0.97028, 0.917326, 1.10478,,927, 0,-0.00193309,-3.93556,-0.132814, 0.00344232, 0.0156359,-0.152685, 0.0109255, 0.00643542,-0.109883,-0.0306307,-0.0901249, 0.0948458
total_lx_mmx64, 26504.7,,960, 384.761, 386.216, 1913.57, 434.476, 385.621, 380.305, 438.315, 380.919, 381.156, 423.904, 393.692, 409.051, 345.516,,960, 1, 0.996233, 0.20107, 0.885577, 0.997772, 1.01172, 0.87782, 1.01009, 1.00946, 0.907663, 0.977316, 0.94062, 1.11358,,960, 0,-0.00378113,-3.97339,-0.129208,-0.00223331, 0.0115832,-0.139185, 0.00998661, 0.00937107,-0.101731,-0.02321,-0.0631286, 0.101999
total_lx_mmx64simp, 28003.3,,993, 395.031, 396.311, 1977.94, 448.548, 394.689, 389.922, 456.259, 391.399, 393.116, 435.78, 404.907, 430.782, 354.613,,993, 1, 0.996772, 0.199718, 0.880688, 1.00087, 1.0131, 0.865804, 1.00928, 1.00487, 0.906492, 0.975609, 0.917009, 1.11398,,993, 0,-0.00323893,-4.00706,-0.135476, 0.000866571, 0.0129343,-0.154995, 0.00919449, 0.0048471,-0.103153,-0.0250003,-0.0905015, 0.102315
total_lx_mmx64_BA, 23286.4,,1026, 407.469, 408.851, 2051.82, 458.781, 406.871, 402.109, 470.07, 403.404, 404.87, 446.961, 413.539, 439.611, 361.699,,1026, 1, 0.996619, 0.198589, 0.888155, 1.00147, 1.01333, 0.866825, 1.01008, 1.00642, 0.911643, 0.98532, 0.926885, 1.12654,,1026, 0,-0.00339231,-4.03552,-0.125929, 0.00146556, 0.013154,-0.153636, 0.009976, 0.00637682,-0.0969203,-0.0148989,-0.0788824, 0.112326
ratio_local, 1,,1059, 417.525, 418.178, 2107.54, 473.677, 417.772, 413.529, 484.208, 412.881, 414.58, 457.727, 428.534, 456.422, 373.764,,1059, 1, 0.998438, 0.19811, 0.881456, 0.99941, 1.00966, 0.862285, 1.01125, 1.0071, 0.912171, 0.974311, 0.914778, 1.11708,,1059, 0,-0.0015647,-4.0477,-0.134487,-0.000590812, 0.00957002,-0.159709, 0.0111235, 0.00705387,-0.0962853,-0.0263662,-0.0931608, 0.10481
ratio_i386, 0.9986,,1092, 427.649, 428.52, 2180.28, 485.831, 426.457, 424.01, 493.467, 424.867, 424.171, 469.29, 433.813, 460.39, 378.497,,1092, 1, 0.997968, 0.196144, 0.880243, 1.0028, 1.00858, 0.866621, 1.00655, 1.0082, 0.911267, 0.985792, 0.928884, 1.12986,,1092, 0,-0.00203654,-4.09829,-0.13605, 0.00278791, 0.00850969,-0.153907, 0.00650417, 0.008133,-0.0973734,-0.0144132,-0.0765603, 0.114935
ratio_i586, 0.202159,,1125, 440.255, 439.291, 2225.99, 499.987, 437.025, 431.916, 510.47, 434.109, 436.241, 481.171, 449.281, 476.363, 388.932,,1125, 1, 1.00219, 0.197779, 0.880533, 1.00739, 1.01931, 0.862451, 1.01416, 1.0092, 0.914966, 0.979911, 0.9242, 1.13196,,1125, 0, 0.00219009,-4.05614,-0.135676, 0.00733644, 0.0189413,-0.159486, 0.0139608, 0.00911894,-0.0929371,-0.0205005,-0.0820164, 0.116577
ratio_i686, 0.884837,,1158, 449.67, 451.105, 2290.09, 507.395, 449.574, 444.882, 524.793, 444.785, 446.69, 492.459, 457.587, 489.258, 395.231,,1158, 1, 0.996819, 0.196355, 0.886233, 1.00021, 1.01076, 0.856852, 1.01098, 1.00667, 0.913113, 0.982699, 0.919087, 1.13774,,1158, 0,-0.00319137,-4.09282,-0.128371, 0.000214762, 0.0106493,-0.167062, 0.0108639, 0.00662759,-0.0951547,-0.0176058,-0.0880367, 0.121065
ratio_i686fix, 1.00083,,1191, 460.002, 460.279, 2338, 524.41, 461.711, 456.266, 537.402, 455.62, 457.484, 507.335, 470.395, 503.12, 407.236,,1191, 1, 0.999398, 0.19675, 0.877179, 0.996298, 1.00819, 0.855973, 1.00962, 1.0055, 0.906702, 0.977907, 0.914299, 1.12957,,1191, 0,-0.000602805,-4.08259,-0.140018,-0.00371553, 0.00812118,-0.168261, 0.00952486, 0.00547398,-0.102898,-0.0225926,-0.0937339, 0.114708
ratio_lx_zan, 1.01361,,1224, 470.497, 472.163, 2409.9, 535.225, 470.534, 465.657, 546.628, 466.508, 467.688, 516.263, 475.793, 507.199, 413.169,,1224, 1, 0.996471, 0.195235, 0.879064, 0.99992, 1.01039, 0.860726, 1.00855, 1.00601, 0.911351, 0.988869, 0.927637, 1.13875,,1224, 0,-0.00354184,-4.12202,-0.137574,-7.99754e-05, 0.0102865,-0.16181, 0.0084767, 0.00597059,-0.097272,-0.0112566,-0.0780078, 0.121846
ratio_lx_simp, 0.867522,,1257, 483.703, 484.763, 2461.78, 551.88, 483.024, 477.639, 564.57, 478.853, 481.179, 528.484, 488.744, 524.828, 425.286,,1257, 1, 0.997813, 0.196485, 0.876465, 1.00141, 1.0127, 0.856764, 1.01013, 1.00525, 0.915265, 0.989687, 0.921642, 1.13736,,1257, 0,-0.0021915,-4.08944,-0.140947, 0.00140382, 0.012538,-0.167183, 0.0100265, 0.00521784,-0.0925799,-0.0104209,-0.0850203, 0.12077
ratio_lx_hyb, 1.0114,,1290, 492.679, 494.191, 2527.99, 560.857, 491.556, 485.963, 580.34, 488.56, 489.373, 538.546, 501.701, 536.482, 431.053,,1290, 1, 0.99694, 0.194889, 0.878439, 1.00228, 1.01382, 0.848948, 1.00843, 1.00676, 0.91483, 0.982016, 0.918351, 1.14297,,1290, 0,-0.00306892,-4.13112,-0.138384, 0.00227856, 0.0136312,-0.177929, 0.00835862, 0.00671009,-0.0930991,-0.0183132,-0.0889078, 0.125083
ratio_lx_hyb_BA, 1.00736,,1323, 505.756, 504.829, 2580.45, 576.637, 505.114, 498.463, 592.388, 500.876, 500.652, 553.489, 512.782, 549.122, 445.886,,1323, 1, 1.00184, 0.195995, 0.877079, 1.00127, 1.01463, 0.853759, 1.00974, 1.01019, 0.91376, 0.986299, 0.921028, 1.13427,,1323, 0, 0.0018333,-4.10216,-0.140148, 0.00126921, 0.0144207,-0.171291, 0.00964977, 0.0100916,-0.0943791,-0.013891,-0.0857437, 0.118378
ratio_lx_mmx, 0.908509,,1356, 515.796, 517.462, 2641.04, 587.643, 514.579, 509.901, 602.821, 511.423, 514.231, 562.374, 521.101, 555.874, 452.896,,1356, 1, 0.996782, 0.1953, 0.877738, 1.00237, 1.01156, 0.855637, 1.00855, 1.00304, 0.917176, 0.989821, 0.927902, 1.13888,,1356, 0,-0.00322883,-4.12032,-0.139292, 0.00235995, 0.0114305,-0.16872, 0.00847861, 0.00303445,-0.0903034,-0.0102839,-0.0776998, 0.121947
ratio_lx_mmx64, 0.973783,,1389, 528.889, 528.833, 2699.06, 602.105, 527.94, 523.754, 619.672, 525.28, 524.574, 576.295, 534.594, 571.665, 464.177,,1389, 1, 1.00011, 0.195953, 0.878401, 1.0018, 1.0098, 0.853499, 1.00687, 1.00823, 0.91774, 0.989328, 0.925173, 1.13941,,1389, 0, 0.000106877,-4.10326,-0.138432, 0.00179561, 0.00970906,-0.171647, 0.00682483, 0.00815838,-0.0896337,-0.0107869,-0.0808791, 0.122355
ratio_lx_mmx64simp, 0.92167,,1422, 540.079, 540.282, 2767.21, 610.992, 540.389, 534.609, 634.403, 534.553, 536.757, 589.466, 546.762, 585.484, 471.915,,1422, 1, 0.999624, 0.195171, 0.883938, 0.999426, 1.01023, 0.851318, 1.01034, 1.00619, 0.916217, 0.987777, 0.922449, 1.14444,,1422, 0,-0.000375738,-4.12372,-0.131301,-0.000574088, 0.0101277,-0.174649, 0.010232, 0.00615155,-0.0914444,-0.0123741,-0.0840708, 0.12621
