name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
,,,77, 1113.8, 817.07, 873.814, 701.329, 800.575, 820.357, 737.506, 557.218, 554.918, 679.774,,77, 1, 1.36316, 1.27464, 1.58813, 1.39125, 1.3577, 1.51023, 1.99886, 2.00714, 1.63849,,77, 0, 0.266413, 0.215466, 0.370328, 0.281223, 0.263462, 0.337847, 0.499715, 0.50178, 0.389681
,,,78, 1117.77, 819.369, 891.573, 704.707, 820.507, 836.914, 746.808, 568.695, 555.519, 680.842,,78, 1, 1.36419, 1.25371, 1.58615, 1.36229, 1.33559, 1.49673, 1.9655, 2.01212, 1.64175,,78, 0, 0.266962, 0.202366, 0.369543, 0.265944, 0.251266, 0.331878, 0.491224, 0.503013, 0.390894
,,,79, 1120.93, 836.448, 892.519, 716.552, 818.646, 840.682, 740.533, 567.437, 565.46, 685.644,,79, 1, 1.3401, 1.25591, 1.56433, 1.36925, 1.33335, 1.51368, 1.97542, 1.98233, 1.63485,,79, 0, 0.253789, 0.203767, 0.36075, 0.269671, 0.250012, 0.339356, 0.493779, 0.495542, 0.388324
,,,80, 1123, 823.902, 898.943, 720.131, 825.828, 845.085, 743.294, 574.75, 568.852, 685.139,,80, 1, 1.36302, 1.24924, 1.55944, 1.35985, 1.32886, 1.51084, 1.95389, 1.97415, 1.63908,,80, 0, 0.266337, 0.199516, 0.358743, 0.264622, 0.247474, 0.338117, 0.488201, 0.493452, 0.389902
,,,81, 1133.15, 833.275, 903.358, 722.816, 829.925, 845.195, 744.988, 576.975, 571.253, 688.15,,81, 1, 1.35988, 1.25438, 1.56769, 1.36537, 1.3407, 1.52103, 1.96395, 1.98363, 1.64666,,81, 0, 0.26464, 0.202792, 0.362119, 0.267597, 0.254121, 0.342553, 0.490823, 0.495873, 0.392712
,,,82, 1135.9, 837.694, 910.981, 726.033, 837.485, 850.448, 759.927, 580.054, 572.688, 690.513,,82, 1, 1.35599, 1.2469, 1.56453, 1.35632, 1.33565, 1.49475, 1.95826, 1.98345, 1.64501,,82, 0, 0.262529, 0.19801, 0.36083, 0.262712, 0.251301, 0.330992, 0.489344, 0.495829, 0.392101
,,,83, 1141.71, 834.853, 909.742, 729.708, 833.706, 854.02, 760.16, 577.641, 575.557, 690.355,,83, 1, 1.36756, 1.25498, 1.56462, 1.36944, 1.33687, 1.50194, 1.97651, 1.98366, 1.65381,,83, 0, 0.268771, 0.203177, 0.360865, 0.269775, 0.251983, 0.334193, 0.494058, 0.495882, 0.395334
,,,84, 1148.78, 839.649, 931.293, 732.873, 835.894, 858.312, 770.967, 590.378, 576.246, 689.643,,84, 1, 1.36816, 1.23353, 1.5675, 1.37431, 1.33842, 1.49005, 1.94583, 1.99356, 1.66576,,84, 0, 0.269093, 0.189318, 0.362041, 0.272362, 0.252848, 0.32888, 0.486081, 0.498384, 0.399672
,,,85, 1149.3, 840.952, 932.054, 738.884, 842.795, 875.782, 782.043, 590.952, 588.647, 705.48,,85, 1, 1.36667, 1.23308, 1.55546, 1.36368, 1.31231, 1.46962, 1.94483, 1.95245, 1.62911,,85, 0, 0.268294, 0.189026, 0.357102, 0.26669, 0.237988, 0.31955, 0.485817, 0.487822, 0.386167
,,,86, 1170.18, 857.46, 935.021, 738.318, 841.175, 873.846, 773.265, 593.251, 590.297, 710.936,,86, 1, 1.36471, 1.2515, 1.58493, 1.39113, 1.33912, 1.5133, 1.97249, 1.98236, 1.64597,,86, 0, 0.267243, 0.200961, 0.369057, 0.281159, 0.253239, 0.339193, 0.493027, 0.495551, 0.392457
