ptest -- memcmp version 1.0
start	3	end	2049
incr	33	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i686	        	  lxCond	        	    lxDw	        
    1719	   0.000%	4949.102	  -0.067%	4952.437	  61.990%	1881.144	   0.126%	4942.891	  66.558%	1655.066
    1752	   0.000%	4990.739	   0.225%	4979.502	  61.909%	1901.030	   0.257%	4977.923	  66.290%	1682.393
    1785	   0.000%	5079.069	  -0.141%	5086.235	  62.259%	1916.891	  -0.486%	5103.730	  66.506%	1701.205
    1818	   0.000%	5093.639	  -0.852%	5137.041	  62.072%	1931.939	  -1.334%	5161.572	  66.221%	1720.555
    1851	   0.000%	5250.493	   0.203%	5239.832	  63.074%	1938.783	   2.001%	5145.446	  66.960%	1734.783
    1884	   0.000%	5258.179	   0.392%	5237.589	  62.095%	1993.134	  -0.184%	5267.861	  66.704%	1750.750
    1917	   0.000%	5336.010	   0.651%	5301.273	  62.497%	2001.167	   0.433%	5312.885	  66.461%	1789.652
    1950	   0.000%	5417.822	  -0.032%	5419.575	  62.929%	2008.418	  -0.499%	5444.844	  66.861%	1795.423
    1983	   0.000%	5452.777	   0.043%	5450.430	  62.842%	2026.138	   0.155%	5444.321	  66.728%	1814.225
    2016	   0.000%	5544.168	   1.596%	5455.695	  62.539%	2076.923	   0.722%	5504.126	  67.172%	1820.029
    2049	   0.000%	5618.198	   0.508%	5589.682	  62.998%	2078.838	   0.524%	5588.749	  67.537%	1823.849
