name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
vers,1.0,,0, 58.9716, 52, 58.7125, 67.4725, 63.57,,0, 1, 1.13407, 1.00441, 0.874008, 0.927664,,0, 0, 0.118219, 0.00439357,-0.144154,-0.077977
start,0,,1, 72.4831, 64.4405, 71.6481, 80.1615, 76.2651,,1, 1, 1.12481, 1.01165, 0.904213, 0.950409,,1, 0, 0.110958, 0.0115198,-0.105934,-0.0521781
end,128,,2, 73.8242, 66.9434, 73.7014, 82.5317, 78.5644,,2, 1, 1.10279, 1.00167, 0.894496, 0.939665,,2, 0, 0.0932052, 0.00166359,-0.117949,-0.0642086
incr,1,,3, 75.9736, 69.0698, 75.9587, 85.0841, 80.9936,,3, 1, 1.09995, 1.0002, 0.892924, 0.93802,,3, 0, 0.0908702, 0.00019616,-0.119917,-0.0660753
num_try,245760,,4, 79.0926, 66.153, 73.0383, 81.8081, 78.0489,,4, 1, 1.1956, 1.08289, 0.966806, 1.01337,,4, 0, 0.163601, 0.0765469,-0.0343339, 0.0131959
align,31,,5, 81.2293, 72.1636, 78.3697, 87.1981, 83.7094,,5, 1, 1.12563, 1.03649, 0.931549, 0.970373,,5, 0, 0.111606, 0.035205,-0.0734807,-0.0305315
baseline,0,,6, 83.4786, 74.1564, 80.8563, 89.7562, 85.8359,,6, 1, 1.12571, 1.03243, 0.930059, 0.972537,,6, 0, 0.111672, 0.0314133,-0.0752006,-0.028238
rand,1,,7, 86.3556, 76.0469, 83.0625, 91.9241, 87.9296,,7, 1, 1.13556, 1.03965, 0.939423, 0.982099,,7, 0, 0.119375, 0.038134,-0.0644832,-0.0182271
rand_align,1,,8, 88.3733, 69.7765, 76.7659, 85.7345, 81.9202,,8, 1, 1.26652, 1.1512, 1.03078, 1.07877,,8, 0, 0.210435, 0.131345, 0.0298593, 0.0730203
seed,0,,9, 90.4096, 75.1013, 81.9638, 90.9282, 86.7957,,9, 1, 1.20384, 1.10304, 0.994296, 1.04164,,9, 0, 0.169321, 0.0934174,-0.00573629, 0.0399729
testmask,0,,10, 92.2875, 77.3905, 83.9155, 92.8971, 88.8436,,10, 1, 1.19249, 1.09977, 0.993438, 1.03876,,10, 0, 0.16142, 0.0907175,-0.00660508, 0.037318
clock,500,,11, 94.2804, 79.1814, 86.2054, 94.767, 90.8178,,11, 1, 1.19069, 1.09367, 0.994865, 1.03813,,11, 0, 0.16015, 0.0856489,-0.00516136, 0.0367262
=====,,,12, 100.587, 72.5037, 78.9358, 88.1517, 84.2174,,12, 1, 1.38734, 1.27429, 1.14107, 1.19438,,12, 0, 0.279195, 0.215249, 0.123629, 0.162742
Totals:,,,13, 101.002, 77.4289, 84.5275, 93.2703, 89.2016,,13, 1, 1.30445, 1.1949, 1.0829, 1.13229,,13, 0, 0.233393, 0.163112, 0.0765516, 0.116834
