name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,3, 138.308, 127.246, 121.691, 142.324, 121.711,,3, 1, 1.08694, 1.13656, 0.971788, 1.13636,,3, 0, 0.0799856, 0.120149,-0.0290315, 0.120001
start,3,,36, 203.431, 182.865, 149.943, 162.98, 162.972,,36, 1, 1.11246, 1.35672, 1.24819, 1.24826,,36, 0, 0.101094, 0.26293, 0.198843, 0.198883
end,2049,,69, 277.242, 272.437, 237.848, 203.319, 202.943,,69, 1, 1.01764, 1.16563, 1.36358, 1.36611,,69, 0, 0.0173327, 0.142094, 0.266638, 0.267993
incr,33,,102, 345.525, 353.655, 264.757, 227.314, 226.311,,102, 1, 0.977009, 1.30507, 1.52003, 1.52677,,102, 0,-0.0235317, 0.233755, 0.342119, 0.345022
num_try,15360,,135, 414.319, 435.229, 312.516, 256.027, 255.118,,135, 1, 0.951958, 1.32575, 1.61826, 1.62403,,135, 0,-0.0504662, 0.245712, 0.382054, 0.384248
align,0,,168, 472.534, 453.773, 326.402, 291.411, 289.706,,168, 1, 1.04134, 1.44771, 1.62154, 1.63108,,168, 0, 0.0397015, 0.309252, 0.383301, 0.386909
baseline,0,,201, 551.49, 589.043, 384.641, 362.544, 361.907,,201, 1, 0.936248, 1.43378, 1.52117, 1.52384,,201, 0,-0.0680934, 0.302543, 0.34261, 0.343765
rand,1,,234, 618.93, 670.382, 457.942, 438.229, 436.549,,234, 1, 0.923249, 1.35155, 1.41234, 1.41778,,234, 0,-0.0831309, 0.260107, 0.291957, 0.294671
rand_align,0,,267, 688.718, 752.713, 518.35, 505.103, 503.705,,267, 1, 0.914981, 1.32867, 1.36352, 1.3673,,267, 0,-0.0929189, 0.247369, 0.266604, 0.268634
seed,0,,300, 744.2, 724.416, 531.684, 518.754, 517.325,,300, 1, 1.02731, 1.3997, 1.43459, 1.43855,,300, 0, 0.0265841, 0.285563, 0.302937, 0.304857
testmask,0,,333, 819.059, 903.783, 582.634, 548.722, 547.698,,333, 1, 0.906256, 1.40579, 1.49267, 1.49546,,333, 0,-0.103441, 0.288654, 0.330058, 0.331308
clock,500,,366, 887.69, 981.946, 612.139, 585.894, 584.287,,366, 1, 0.904011, 1.45015, 1.5151, 1.51927,,366, 0,-0.106181, 0.310414, 0.339979, 0.341789
=====,,,399, 955.028, 1065.26, 665.491, 641.543, 638.183,,399, 1, 0.896519, 1.43507, 1.48864, 1.49648,,399, 0,-0.115426, 0.303171, 0.328247, 0.331765
Totals:,,,432, 1012.33, 992.661, 721.382, 687.213, 685.927,,432, 1, 1.01982, 1.40333, 1.4731, 1.47586,,432, 0, 0.0194338, 0.287408, 0.32116, 0.322431
total_bytes, 64638,,465, 1087.26, 1218.14, 788.699, 783.299, 779.72,,465, 1, 0.892564, 1.37855, 1.38806, 1.39443,,465, 0,-0.120367, 0.274603, 0.279569, 0.282861
best_test,movq_r,,498, 1154.99, 1298.27, 814.38, 806.694, 807.178,,498, 1, 0.889639, 1.41824, 1.43176, 1.4309,,498, 0,-0.124051, 0.294903, 0.301558, 0.301139
