name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,3, 109.918, 104.963, 94.8291, 115.834, 108.321,,3, 1, 1.0472, 1.15911, 0.94892, 1.01474,,3, 0, 0.0450744, 0.137271,-0.0538299, 0.0145236
start,3,,36, 228.833, 194.252, 237.359, 242.764, 192.194,,36, 1, 1.17802, 0.96408, 0.942614, 1.19063,,36, 0, 0.151116,-0.0372587,-0.0608798, 0.160111
end,2049,,69, 346.206, 274.451, 379.865, 386.178, 271.255,,69, 1, 1.26145, 0.911391, 0.896493, 1.27631,,69, 0, 0.207259,-0.097224,-0.115458, 0.216493
incr,33,,102, 466.658, 361.529, 522.853, 503.595, 358.323,,102, 1, 1.29079, 0.892523, 0.926655, 1.30234,,102, 0, 0.225282,-0.12042,-0.0791503, 0.232151
num_try,15360,,135, 572.145, 429.431, 665.424, 619.447, 433.404,,135, 1, 1.33233, 0.85982, 0.923638, 1.32012,,135, 0, 0.249436,-0.163034,-0.0826756, 0.242492
align,0,,168, 687.348, 515.149, 807.77, 735.138, 505.858,,168, 1, 1.33427, 0.85092, 0.934992, 1.35878,,168, 0, 0.250526,-0.175198,-0.0695284, 0.264044
baseline,0,,201, 804.408, 593.196, 950.662, 851.65, 584.622,,201, 1, 1.35606, 0.846156, 0.944529, 1.37594,,201, 0, 0.262568,-0.181816,-0.0587287, 0.273227
rand,1,,234, 925.597, 678.026, 1092.88, 969.786, 668.753,,234, 1, 1.36513, 0.846933, 0.954434, 1.38406,,234, 0, 0.267471,-0.180731,-0.0477415, 0.27749
rand_align,0,,267, 1031.04, 748.082, 1235.07, 1087.82, 744.622,,267, 1, 1.37824, 0.834804, 0.947801, 1.38465,,267, 0, 0.274439,-0.197886,-0.0550736, 0.277795
seed,0,,300, 1147.71, 832.597, 1378.35, 1204.71, 817.723,,300, 1, 1.37847, 0.832668, 0.952685, 1.40354,,300, 0, 0.274556,-0.200959,-0.049665, 0.287516
testmask,0,,333, 1263.61, 911.653, 1520.63, 1330.13, 896.944,,333, 1, 1.38606, 0.830978, 0.949991, 1.40879,,333, 0, 0.278532,-0.203401,-0.052642, 0.290172
clock,500,,366, 1377.58, 996.348, 1705.76, 1449.44, 979.879,,366, 1, 1.38263, 0.807605, 0.950419, 1.40587,,366, 0, 0.27674,-0.23823,-0.0521678, 0.288695
=====,,,399, 1484.09, 1060.01, 1851.05, 1566.37, 1056.54,,399, 1, 1.40007, 0.801754, 0.947472, 1.40467,,399, 0, 0.285753,-0.247265,-0.0554407, 0.288089
Totals:,,,432, 1605.44, 1146.87, 1983.12, 1685.12, 1130.5,,432, 1, 1.39985, 0.809554, 0.952714, 1.42012,,432, 0, 0.285635,-0.235249,-0.0496327, 0.295833
total_bytes, 64638,,465, 1721.48, 1226.22, 2090.77, 1803.76, 1208.09,,465, 1, 1.4039, 0.823373, 0.954382, 1.42496,,465, 0, 0.287697,-0.214517,-0.047798, 0.298227
best_test,lx_5a_r2,,498, 1843.68, 1311.82, 2279.11, 1970.38, 1292.44,,498, 1, 1.40544, 0.808949, 0.9357, 1.42651,,498, 0, 0.288478,-0.236172,-0.0687189, 0.298989
best_total, 162824,,531, 1947.94, 1379.39, 2429.22, 2039.03, 1368.48,,531, 1, 1.41218, 0.801878, 0.955329, 1.42343,,531, 0, 0.291874,-0.247073,-0.0467594, 0.297474
worst_test,lxSimp,,564, 2115.98, 1462.15, 2559.05, 2191.62, 1440.63,,564, 1, 1.44717, 0.826864, 0.965487, 1.46879,,564, 0, 0.308996,-0.209389,-0.0357466, 0.319167
worst_total, 291729,,597, 2221.27, 1541.65, 2702.03, 2322.17, 1518.83,,597, 1, 1.44084, 0.822076, 0.95655, 1.46249,,597, 0, 0.305961,-0.216432,-0.0454233, 0.316233
total_local, 237184,,630, 2301.49, 1663.9, 2856.87, 2443.9, 1603.61,,630, 1, 1.38319, 0.8056, 0.941728, 1.4352,,630, 0, 0.277034,-0.241311,-0.0618779, 0.303232
total_i486p, 164620,,663, 2459.44, 1733.65, 3003.42, 2554.4, 1717.87,,663, 1, 1.41865, 0.818879, 0.962824, 1.43168,,663, 0, 0.295105,-0.221182,-0.0386117, 0.30152
total_lxSimp, 291729,,696, 2578.59, 1817.12, 3127.39, 2670.94, 1757.81,,696, 1, 1.41906, 0.824518, 0.965425, 1.46694,,696, 0, 0.295308,-0.212829,-0.0358128, 0.318308
total_lxus, 245146,,729, 2697.19, 1900.91, 3295.59, 2813.34, 1881.56,,729, 1, 1.4189, 0.818425, 0.958715, 1.43349,,729, 0, 0.295227,-0.221859,-0.0430626, 0.302399
total_lx_5a_r2, 162824,,762, 2804.3, 1990.05, 3452.58, 2935.49, 1959.86,,762, 1, 1.40916, 0.812234, 0.955307, 1.43087,,762, 0, 0.290356,-0.231173,-0.0467837, 0.301124
ratio_local, 1,,795, 2913.81, 2047.72, 3581.26, 3035.92, 2031.05,,795, 1, 1.42295, 0.813626, 0.959777, 1.43463,,795, 0, 0.297234,-0.229066,-0.0419085, 0.302958
ratio_i486p, 1.4408,,828, 3041.61, 2098.13, 3724.36, 3189.04, 2069.95,,828, 1, 1.44968, 0.81668, 0.953768, 1.46941,,828, 0, 0.310192,-0.22447,-0.048473, 0.319455
ratio_lxSimp, 0.813029,,861, 3163.33, 2215.03, 3882.39, 3285.08, 2185.83,,861, 1, 1.42812, 0.81479, 0.962938, 1.4472,,861, 0, 0.299779,-0.227311,-0.0384885, 0.30901
ratio_lxus, 0.967522,,894, 3261.51, 2310.27, 4015.96, 3416.65, 2281,,894, 1, 1.41174, 0.812138, 0.954593, 1.42986,,894, 0, 0.291656,-0.231318,-0.0475669, 0.300632
ratio_lx_5a_r2, 1.45669,,927, 3399.01, 2370.1, 4176.13, 3524.96, 2358.88,,927, 1, 1.43412, 0.813915, 0.964269, 1.44094,,927, 0, 0.302708,-0.22863,-0.0370554, 0.306009
,,,960, 3552.1, 2466.19, 4362.7, 3671.68, 2432.99,,960, 1, 1.44032, 0.814199, 0.967431, 1.45997,,960, 0, 0.305708,-0.228202,-0.0336655, 0.315056
,,,993, 3663.2, 2538.25, 4512.33, 3766.95, 2506.22,,993, 1, 1.4432, 0.811819, 0.972457, 1.46164,,993, 0, 0.307094,-0.231801,-0.0283236, 0.315839
,,,1026, 3789.51, 2576.09, 4629.52, 3907.62, 2584.77,,1026, 1, 1.47103, 0.818554, 0.969776, 1.46609,,1026, 0, 0.320206,-0.221667,-0.0311657, 0.317915
