name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
vers,1.0,,0, 69.6902, 66.7783, 66.3276, 81.5023, 66.8979,,0, 1, 1.0436, 1.0507, 0.85507, 1.04174,,0, 0, 0.041783, 0.0482506,-0.169495, 0.0400665
start,0,,1, 81.831, 80.4579, 71.6648, 94.6413, 80.1894,,1, 1, 1.01707, 1.14186, 0.864643, 1.02047,,1, 0, 0.0167793, 0.124234,-0.156546, 0.0200609
end,128,,2, 93.3607, 92.5605, 74.394, 96.6997, 92.3594,,2, 1, 1.00865, 1.25495, 0.965471, 1.01084,,2, 0, 0.00857112, 0.203155,-0.0357637, 0.0107254
incr,1,,3, 101.269, 100.626, 77.5051, 98.7967, 101.962,,3, 1, 1.00638, 1.30661, 1.02502, 0.993205,,3, 0, 0.00634433, 0.23466, 0.0244112,-0.00684154
num_try,491520,,4, 104.448, 103.966, 80.6352, 101.242, 105.813,,4, 1, 1.00464, 1.29531, 1.03166, 0.987095,,4, 0, 0.00461371, 0.227986, 0.0306885,-0.013074
align,31,,5, 108.29, 107.846, 83.7593, 103.175, 110.031,,5, 1, 1.00412, 1.29287, 1.04957, 0.98418,,5, 0, 0.00410102, 0.226527, 0.0472302,-0.0160738
baseline,0,,6, 111.707, 111.822, 86.4981, 105.298, 113.982,,6, 1, 0.998967, 1.29144, 1.06086, 0.980039,,6, 0,-0.00103382, 0.22567, 0.0573728,-0.0203672
rand,1,,7, 115.319, 115.994, 89.852, 107.359, 117.804,,7, 1, 0.99418, 1.28343, 1.07414, 0.978906,,7, 0,-0.00585453, 0.220839, 0.0690243,-0.0215485
rand_align,1,,8, 119.202, 119.403, 92.8081, 109.265, 122.363,,8, 1, 0.998309, 1.28439, 1.09094, 0.974166,,8, 0,-0.00169395, 0.221419, 0.0833559,-0.0265194
seed,0,,9, 122.68, 123.525, 95.7739, 110.92, 125.809,,9, 1, 0.993158, 1.28093, 1.10603, 0.975134,,9, 0,-0.00688943, 0.21932, 0.0958623,-0.0255004
testmask,0,,10, 126.027, 127.095, 98.856, 112.696, 128.545,,10, 1, 0.991598, 1.27485, 1.11829, 0.980411,,10, 0,-0.00847299, 0.215596, 0.105775,-0.0199804
clock,500,,11, 129.929, 130.541, 101.981, 114.939, 131.611,,11, 1, 0.995315, 1.27405, 1.13042, 0.987223,,11, 0,-0.00470681, 0.215102, 0.11537,-0.0129421
=====,,,12, 134.242, 134.233, 105.023, 117.391, 133.508,,12, 1, 1.00007, 1.27822, 1.14355, 1.0055,,12, 0, 6.77851e-05, 0.217661, 0.125529, 0.00546984
Totals:,,,13, 138.852, 137.609, 108.102, 119.313, 135.422,,13, 1, 1.00904, 1.28446, 1.16377, 1.02533,,13, 0, 0.00895758, 0.221463, 0.14072, 0.024707
total_bytes, 8256,,14, 143.285, 141.437, 110.764, 121.169, 136.898,,14, 1, 1.01307, 1.29361, 1.18252, 1.04666,,14, 0, 0.0128998, 0.226967, 0.15435, 0.0445768
