name,ptest -- strcpy,ticks,bytes,local,lx_r3,lx_5a,lx_5a_r,compare,bytes,local,lx_r3,lx_5a,lx_5a_r,compare (%),bytes,local,lx_r3,lx_5a,lx_5a_r
vers,1.0,,0, 104.233, 134.844, 118.014, 128.517,,0, 1, 0.77299, 0.883232, 0.811047,,0, 0,-0.293678,-0.132205,-0.232974
start,0,,1, 137.387, 135.568, 142.357, 129.881,,1, 1, 1.01342, 0.965084, 1.05779,,1, 0, 0.0132384,-0.036179, 0.0546315
end,128,,2, 144.595, 142.285, 161.545, 134.404,,2, 1, 1.01623, 0.895075, 1.07582,,2, 0, 0.0159726,-0.117225, 0.0704805
incr,1,,3, 151.526, 144.916, 177.023, 137.385,,3, 1, 1.04561, 0.855966, 1.10293,,3, 0, 0.0436228,-0.16827, 0.0933234
num_try,122880,,4, 158.126, 148.031, 131.419, 141.605,,4, 1, 1.0682, 1.20322, 1.11667,,4, 0, 0.0638438, 0.168899, 0.104483
align,0,,5, 165.398, 150.284, 161.29, 144.595,,5, 1, 1.10057, 1.02547, 1.14388,,5, 0, 0.0913815, 0.024836, 0.125779
baseline,0,,6, 172.372, 156.875, 176.782, 149.475,,6, 1, 1.09879, 0.975053, 1.15318,,6, 0, 0.0899067,-0.0255848, 0.132836
rand,1,,7, 179.659, 159.377, 191.409, 152.159,,7, 1, 1.12725, 0.938614, 1.18073,,7, 0, 0.112889,-0.0654011, 0.153065
rand_align,0,,8, 189.678, 162.033, 148.708, 155.247,,8, 1, 1.17061, 1.27551, 1.22178,,8, 0, 0.145747, 0.215998, 0.181525
seed,0,,9, 196.261, 163.879, 173.607, 157.996,,9, 1, 1.1976, 1.13049, 1.24219,,9, 0, 0.164996, 0.115431, 0.19497
testmask,0,,10, 203.843, 170.912, 188.576, 163.239,,10, 1, 1.19268, 1.08096, 1.24874,,10, 0, 0.161552, 0.074895, 0.199193
clock,500,,11, 210.889, 173.319, 203.345, 165.703,,11, 1, 1.21677, 1.0371, 1.27269,,11, 0, 0.178151, 0.0357741, 0.214265
=====,,,12, 217.614, 180.382, 164.49, 173.443,,12, 1, 1.20641, 1.32297, 1.25467,,12, 0, 0.171094, 0.244123, 0.20298
Totals:,,,13, 224.587, 183.728, 188.866, 177.618,,13, 1, 1.22239, 1.18914, 1.26444,,13, 0, 0.181929, 0.159054, 0.209134
total_bytes, 8256,,14, 231.502, 186.96, 204.133, 179.524,,14, 1, 1.23824, 1.13407, 1.28953,,14, 0, 0.192402, 0.118223, 0.224522
best_test,lx_5a_r,,15, 238.15, 190.549, 218.771, 183.556,,15, 1, 1.24981, 1.08858, 1.29743,,15, 0, 0.199881, 0.0813745, 0.229243
best_total, 46001.5,,16, 245.325, 196.935, 187.388, 190.151,,16, 1, 1.24571, 1.30918, 1.29015,,16, 0, 0.197246, 0.236164, 0.224899
worst_test,local,,17, 252.338, 200.029, 211.03, 192.83,,17, 1, 1.26151, 1.19575, 1.30861,,17, 0, 0.207299, 0.163702, 0.235829
worst_total, 86273.5,,18, 259.701, 201.941, 225.77, 195.526,,18, 1, 1.28602, 1.15029, 1.32822,,18, 0, 0.222408, 0.130652, 0.247111
total_local, 86273.5,,19, 266.771, 205.434, 240.881, 198.503,,19, 1, 1.29857, 1.10748, 1.34391,,19, 0, 0.229923, 0.0970499, 0.255905
total_lx_r3, 46885.6,,20, 273.545, 211.834, 199.759, 205.464,,20, 1, 1.29132, 1.36937, 1.33135,,20, 0, 0.225599, 0.26974, 0.248884
total_lx_5a, 48298.7,,21, 280.619, 216.87, 224.118, 210.339,,21, 1, 1.29395, 1.25211, 1.33413,,21, 0, 0.227174, 0.201347, 0.250446
total_lx_5a_r, 46001.5,,22, 287.27, 219.217, 239.142, 211.981,,22, 1, 1.31044, 1.20125, 1.35517,,22, 0, 0.236895, 0.167536, 0.262086
ratio_local, 1,,23, 294.439, 221.434, 253.456, 214.427,,23, 1, 1.32969, 1.1617, 1.37314,,23, 0, 0.247947, 0.139189, 0.271744
ratio_lx_r3, 1.84008,,24, 301.641, 220.382, 213.061, 213.422,,24, 1, 1.36872, 1.41575, 1.41336,,24, 0, 0.269389, 0.29366, 0.292465
ratio_lx_5a, 1.78625,,25, 308.278, 221.71, 236.826, 215.559,,25, 1, 1.39046, 1.30171, 1.43013,,25, 0, 0.280811, 0.231779, 0.300763
ratio_lx_5a_r, 1.87545,,26, 315.867, 230.036, 252.323, 222.729,,26, 1, 1.37312, 1.25184, 1.41816,,26, 0, 0.271729, 0.201173, 0.294862
,,,27, 322.875, 232.871, 267.364, 225.246,,27, 1, 1.3865, 1.20762, 1.43343,,27, 0, 0.278758, 0.171928, 0.302374
,,,28, 329.626, 238.682, 225.685, 232.541,,28, 1, 1.38103, 1.46056, 1.4175,,28, 0, 0.275902, 0.315331, 0.294531
,,,29, 336.661, 242.939, 249.912, 236.543,,29, 1, 1.38579, 1.34712, 1.42326,,29, 0, 0.278388, 0.257675, 0.297386
,,,30, 343.746, 243.775, 265.284, 236.81,,30, 1, 1.41009, 1.29577, 1.45157,,30, 0, 0.290826, 0.228255, 0.311089
,,,31, 342.667, 238.309, 272.199, 231.169,,31, 1, 1.43791, 1.25888, 1.48232,,31, 0, 0.304547, 0.205646, 0.325384
,,,32, 416.585, 250.131, 237.221, 243.758,,32, 1, 1.66547, 1.75611, 1.70901,,32, 0, 0.399568, 0.43056, 0.414868
,,,33, 424.642, 252.298, 261.029, 246.79,,33, 1, 1.6831, 1.6268, 1.72066,,33, 0, 0.405857, 0.385296, 0.418827
,,,34, 430.172, 259.688, 279.159, 252.424,,34, 1, 1.6565, 1.54096, 1.70416,,34, 0, 0.396317, 0.351053, 0.413202
,,,35, 435.866, 262.472, 296.595, 255.089,,35, 1, 1.66062, 1.46957, 1.70868,,35, 0, 0.397815, 0.319528, 0.414754
,,,36, 442.262, 263.128, 249.832, 256.567,,36, 1, 1.68079, 1.77024, 1.72377,,36, 0, 0.405041, 0.435104, 0.419875
,,,37, 449.729, 265.62, 276.821, 259.944,,37, 1, 1.69313, 1.62462, 1.7301,,37, 0, 0.409378, 0.384473, 0.421999
