name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
vers,1.0,,3, 90.8654, 78.8137, 96.8089, 111.876, 97.1023,,3, 1, 1.15291, 0.938606, 0.812201, 0.93577,,3, 0, 0.132632,-0.0654097,-0.231223,-0.0686385
start,3,,36, 132.682, 115.656, 115.317, 128.652, 129.212,,36, 1, 1.14721, 1.15058, 1.03132, 1.02685,,36, 0, 0.128319, 0.130872, 0.0303694, 0.0261525
end,2049,,69, 175.312, 164.047, 184.878, 156.549, 155.576,,69, 1, 1.06867, 0.948259, 1.11985, 1.12686,,69, 0, 0.0642565,-0.0545646, 0.107025, 0.112579
incr,33,,102, 213.035, 209.128, 202.777, 176.762, 176.467,,102, 1, 1.01868, 1.05059, 1.20521, 1.20722,,102, 0, 0.0183384, 0.048152, 0.170266, 0.171654
num_try,30720,,135, 251.199, 253.026, 285.194, 224.823, 223.963,,135, 1, 0.992779, 0.8808, 1.11732, 1.12161,,135, 0,-0.00727365,-0.135332, 0.105001, 0.108425
align,0,,168, 279.849, 262.05, 293.252, 236.647, 236.851,,168, 1, 1.06792, 0.954296, 1.18256, 1.18154,,168, 0, 0.0636025,-0.0478931, 0.154375, 0.153648
baseline,0,,201, 324.202, 337.02, 356.112, 272.566, 272.283,,201, 1, 0.961967, 0.910393, 1.18944, 1.19068,,201, 0,-0.0395369,-0.0984267, 0.159272, 0.160143
rand,1,,234, 365.019, 384.865, 383.037, 295.944, 295.678,,234, 1, 0.948433, 0.952958, 1.2334, 1.23452,,234, 0,-0.0543707,-0.0493639, 0.189235, 0.189966
rand_align,0,,267, 401.581, 432.568, 441.098, 341.452, 340.657,,267, 1, 0.928364, 0.910412, 1.1761, 1.17884,,267, 0,-0.0771642,-0.0984042, 0.14973, 0.151709
seed,0,,300, 434.011, 414.965, 454.145, 354.648, 354.291,,300, 1, 1.0459, 0.955667, 1.22378, 1.22501,,300, 0, 0.0438834,-0.0463895, 0.182859, 0.183682
testmask,0,,333, 485.329, 521.761, 519.642, 397.186, 394.422,,333, 1, 0.930175, 0.933969, 1.22192, 1.23048,,333, 0,-0.0750665,-0.070699, 0.181615, 0.187311
clock,500,,366, 523.326, 571.134, 542.604, 420.311, 418.06,,366, 1, 0.916293, 0.964471, 1.24509, 1.2518,,366, 0,-0.0913545,-0.0368382, 0.196847, 0.201148
=====,,,399, 565.551, 614.627, 604.298, 466.337, 463.771,,399, 1, 0.920153, 0.935881, 1.21275, 1.21946,,399, 0,-0.0867754,-0.068512, 0.175428, 0.179965
Totals:,,,432, 595.097, 573.504, 616.929, 477.585, 475.467,,432, 1, 1.03765, 0.964612, 1.24606, 1.25161,,432, 0, 0.0362845,-0.0366867, 0.197468, 0.201026
total_bytes, 64638,,465, 638.274, 702.707, 683.096, 521.491, 523.045,,465, 1, 0.908307, 0.934384, 1.22394, 1.2203,,465, 0,-0.100949,-0.0702237, 0.182967, 0.180532
