name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
total_1dw, 437986,,927, 13232.4, 7947.91, 8641.75, 7961.47, 7964.85, 7929.74, 7120.65, 5827.88, 5239.35, 6923.85,,927, 1, 1.66489, 1.53122, 1.66206, 1.66135, 1.66871, 1.85832, 2.27054, 2.52559, 1.91114,,927, 0, 0.399361, 0.346926, 0.398336, 0.398081, 0.400734, 0.461879, 0.559575, 0.604052, 0.476752
ratio_local, 1,,960, 13671.6, 8229.47, 8918.28, 8122.97, 8237.95, 8123.63, 7359.76, 6019.72, 5348.39, 7095.12,,960, 1, 1.6613, 1.53299, 1.68308, 1.65959, 1.68295, 1.85762, 2.27114, 2.55621, 1.92691,,960, 0, 0.398063, 0.34768, 0.405853, 0.397442, 0.405804, 0.461677, 0.559693, 0.608796, 0.481034
ratio_local_gg, 1.6365,,993, 13915.9, 8413.54, 9194.69, 8382.42, 8373.17, 8370.29, 7515.01, 6200.16, 5536.82, 7324.52,,993, 1, 1.65399, 1.51347, 1.66013, 1.66196, 1.66254, 1.85175, 2.24444, 2.51334, 1.89991,,993, 0, 0.395401, 0.339267, 0.397637, 0.398302, 0.398509, 0.45997, 0.554455, 0.602123, 0.473658
ratio_generic, 1.49503,,1026, 14435.4, 8581.99, 9452.41, 8646.13, 8641.19, 8554.21, 7762.7, 6416.92, 5664.22, 7584.43,,1026, 1, 1.68206, 1.52717, 1.66958, 1.67054, 1.68752, 1.85959, 2.24959, 2.54853, 1.9033,,1026, 0, 0.405491, 0.345193, 0.401048, 0.40139, 0.407415, 0.462246, 0.555474, 0.607617, 0.474596
ratio_i386, 1.6351,,1059, 14685.9, 8768.62, 9637.16, 8870.54, 8785.37, 8737.1, 7941.1, 6590.57, 5827.33, 7702.72,,1059, 1, 1.67483, 1.52389, 1.65559, 1.67164, 1.68087, 1.84936, 2.22833, 2.52018, 1.90659,,1059, 0, 0.402924, 0.343783, 0.395984, 0.401784, 0.40507, 0.459272, 0.551233, 0.603204, 0.475504
ratio_i486, 1.63472,,1092, 15014.9, 9082.86, 9958.98, 9071.9, 9126.93, 9054.16, 8151.67, 6819.2, 5933.37, 7861.62,,1092, 1, 1.6531, 1.50768, 1.6551, 1.64512, 1.65834, 1.84194, 2.20186, 2.53058, 1.9099,,1092, 0, 0.395077, 0.336727, 0.395807, 0.392142, 0.396988, 0.457095, 0.545838, 0.604834, 0.476412
ratio_i686, 1.64998,,1125, 15347.3, 9303.85, 10156.3, 9271.88, 9363.71, 9190.93, 8287.18, 6929.81, 6100.42, 8034.39,,1125, 1, 1.64956, 1.51111, 1.65525, 1.63902, 1.66983, 1.85193, 2.21468, 2.51578, 1.9102,,1125, 0, 0.393779, 0.338234, 0.395862, 0.389879, 0.401137, 0.460024, 0.548467, 0.602508, 0.476495
ratio_i686_1i, 1.83775,,1158, 15924.2, 9491.69, 10356.7, 9451.32, 9486.33, 9486.92, 8548.83, 7131.95, 6284.86, 8291.29,,1158, 1, 1.6777, 1.53757, 1.68486, 1.67865, 1.67854, 1.86273, 2.2328, 2.53374, 1.92059,,1158, 0, 0.403945, 0.349624, 0.40648, 0.404282, 0.404245, 0.463154, 0.552131, 0.605326, 0.479327
ratio_i686_1iu, 2.22587,,1191, 16088.3, 9753.1, 10704.7, 9613.96, 9726.73, 9580.13, 8643.6, 7255.75, 6430.53, 8425.42,,1191, 1, 1.64956, 1.50292, 1.67343, 1.65403, 1.67934, 1.86129, 2.21731, 2.50186, 1.90949,,1191, 0, 0.393776, 0.334629, 0.402424, 0.395415, 0.404527, 0.462739, 0.549004, 0.600297, 0.476301
ratio_i686_r2, 2.48583,,1224, 16371.4, 9847.61, 10826, 9935.2, 9953.84, 9898.72, 8891.31, 7337.31, 6673.42, 8637.71,,1224, 1, 1.66247, 1.51223, 1.64781, 1.64473, 1.65389, 1.84128, 2.23125, 2.45322, 1.89534,,1224, 0, 0.398486, 0.338724, 0.393135, 0.391997, 0.395364, 0.456899, 0.551821, 0.592372, 0.472389
