name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
vers,1.0,,3, 219.326, 187.158, 186.267, 200.58, 182.684, 194.389, 168.949, 168.276, 168.098, 201.396,,3, 1, 1.17188, 1.17748, 1.09346, 1.20057, 1.12828, 1.29818, 1.30337, 1.30475, 1.08903,,3, 0, 0.146667, 0.150729, 0.0854695, 0.167065, 0.113698, 0.229691, 0.232757, 0.233568, 0.0817479
start,3,,36, 739.765, 564.544, 596.367, 519.936, 560.154, 575.251, 514.459, 397.609, 394.818, 505.836,,36, 1, 1.31038, 1.24045, 1.4228, 1.32064, 1.28599, 1.43795, 1.86053, 1.87368, 1.46246,,36, 0, 0.23686, 0.193842, 0.297161, 0.242794, 0.222386, 0.304564, 0.462519, 0.466292, 0.31622
end,2049,,69, 1254.64, 937.574, 1002.01, 833.979, 936.43, 950.412, 854.564, 620.324, 618.172, 808.508,,69, 1, 1.33818, 1.25213, 1.5044, 1.33981, 1.3201, 1.46817, 2.02256, 2.0296, 1.5518,,69, 0, 0.252715, 0.201358, 0.335285, 0.253627, 0.242483, 0.318878, 0.505577, 0.507292, 0.355586
incr,33,,102, 1763.82, 1305.96, 1407.71, 1145.18, 1302.61, 1319.45, 1225.57, 846.001, 834.821, 1102.67,,102, 1, 1.35059, 1.25297, 1.5402, 1.35406, 1.33678, 1.43918, 2.08489, 2.11281, 1.59959,,102, 0, 0.259582, 0.201897, 0.350735, 0.26148, 0.251933, 0.305159, 0.520357, 0.526696, 0.374839
num_try,7680,,135, 2295.66, 1664.56, 1832.15, 1451.26, 1670.11, 1724.91, 1523.69, 1059.23, 1049.88, 1400.15,,135, 1, 1.37914, 1.25299, 1.58184, 1.37455, 1.33089, 1.50664, 2.1673, 2.1866, 1.63959,,135, 0, 0.27491, 0.201908, 0.367824, 0.272492, 0.248623, 0.336273, 0.538596, 0.542669, 0.39009
align,0,,168, 2821.86, 2024.52, 2217.29, 1787.9, 2061.98, 2095.83, 1851.71, 1267.82, 1264.44, 1720.9,,168, 1, 1.39384, 1.27266, 1.57831, 1.36852, 1.34642, 1.52392, 2.22575, 2.2317, 1.63976,,168, 0, 0.282558, 0.214246, 0.366412, 0.269285, 0.257289, 0.343799, 0.550714, 0.551911, 0.390154
baseline,0,,201, 3289.75, 2429.58, 2571.46, 2054.59, 2403.22, 2438.32, 2209.92, 1491.01, 1481.62, 1957.87,,201, 1, 1.35404, 1.27933, 1.60117, 1.36889, 1.34919, 1.48863, 2.20639, 2.22037, 1.68027,,201, 0, 0.261471, 0.21834, 0.375457, 0.269483, 0.258812, 0.328239, 0.546771, 0.549625, 0.404857
rand,1,,234, 3771.01, 2784.85, 2981.92, 2388.89, 2785.08, 2802.15, 2480.57, 1708.46, 1717.01, 2297.27,,234, 1, 1.35412, 1.26462, 1.57856, 1.354, 1.34576, 1.52022, 2.20725, 2.19627, 1.64152,,234, 0, 0.261513, 0.209252, 0.366513, 0.26145, 0.256924, 0.342201, 0.546948, 0.544683, 0.390808
rand_align,0,,267, 4262.77, 3118.19, 3362.93, 2699.64, 3126.08, 3115.95, 2866.2, 1947.72, 1889.39, 2587.43,,267, 1, 1.36706, 1.26758, 1.57901, 1.36361, 1.36805, 1.48726, 2.18859, 2.25617, 1.64749,,267, 0, 0.268506, 0.211093, 0.366693, 0.266654, 0.269031, 0.327621, 0.543086, 0.55677, 0.393015
seed,0,,300, 4743.35, 3462.04, 3745.49, 2989.85, 3479.29, 3460.17, 3190.76, 2101.59, 2143.77, 2877.95,,300, 1, 1.3701, 1.26642, 1.58648, 1.36331, 1.37084, 1.48659, 2.25703, 2.21262, 1.64817,,300, 0, 0.270128, 0.21037, 0.369675, 0.26649, 0.270522, 0.327319, 0.556939, 0.548048, 0.393266
