Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  3072	  3199	     3	  3113.0
STATS	  3840	  3967	     2	  3847.0
STATS	  3968	  4095	     1	  4072.0
STATS	  8704	  9215	     1	  9190.0
STATS	  9216	  9727	    12	  9451.0
STATS	  9728	 10239	    20	 10016.0
STATS	 10240	 10751	    12	 10457.0
STATS	 10752	 11263	     8	 10996.0
STATS	 12288	 12799	     3	 12441.0
STATS	 14336	 14847	     1	 14597.0
STATS	 55296	 57343	     1	 55625.0
STATS	102400	106495	     1	104353.0
STATS	253952	262143	     1	259212.0
STATS	mode	0	6978	  1386.0
STATS	mode	1	4012	  1509.0
STATS	mode	2	1508	  1559.0
STATS	mode_avg	  1446.4
STATS	summary	lx64si0	1024	     1.4
STATS	start	bytes=1024	func=lx128
STATS	  1344	  1407	    57	  1378.0
STATS	  1408	  1471	  5000	  1430.0
STATS	  1472	  1535	  1702	  1528.0
STATS	  1536	  1599	  2457	  1559.0
STATS	  1600	  1663	   941	  1628.0
STATS	  1664	  1727	  2566	  1699.0
STATS	  1728	  1791	   581	  1755.0
STATS	  1792	  1855	  1050	  1840.0
STATS	  1856	  1919	   431	  1885.0
STATS	  1920	  1983	   212	  1951.0
STATS	  1984	  2047	   266	  2014.0
STATS	  2048	  2175	  1022	  2118.0
STATS	  2176	  2303	   868	  2240.0
STATS	  2304	  2431	  1126	  2366.0
STATS	  2432	  2559	   881	  2491.0
STATS	  2560	  2687	   464	  2620.0
STATS	  2688	  2815	   191	  2737.0
STATS	  2816	  2943	   110	  2859.0
STATS	  3200	  3327	     1	  3237.0
STATS	  3840	  3967	     1	  3935.0
STATS	  8704	  9215	     1	  9212.0
STATS	  9216	  9727	    15	  9481.0
STATS	  9728	 10239	    24	 10024.0
STATS	 10240	 10751	    12	 10441.0
STATS	 10752	 11263	    12	 10938.0
STATS	 11264	 11775	     4	 11464.0
STATS	 11776	 12287	     2	 11863.0
STATS	 12288	 12799	     1	 12321.0
STATS	 17408	 18431	     1	 17560.0
STATS	 25600	 26623	     1	 26452.0
STATS	mode	0	5000	  1430.0
STATS	mode	1	2566	  1699.0
STATS	mode	2	2457	  1559.0
STATS	mode_avg	  1530.5
STATS	summary	lx128	1024	     1.5
STATS	start	bytes=2048	func=memcpy
STATS	  3456	  3583	     1	  3581.0
STATS	  3584	  3711	  3806	  3677.0
STATS	  3712	  3839	  1128	  3756.0
STATS	  3840	  3967	   892	  3921.0
STATS	  3968	  4095	  1321	  4035.0
STATS	  4096	  4351	  4373	  4266.0
STATS	  4352	  4607	  2240	  4516.0
STATS	  4608	  4863	  2479	  4670.0
STATS	  4864	  5119	  1425	  4973.0
STATS	  5120	  5375	  1680	  5243.0
STATS	  5376	  5631	   434	  5490.0
STATS	  5632	  5887	    26	  5778.0
STATS	  5888	  6143	     8	  5927.0
STATS	  6144	  6399	     1	  6292.0
STATS	  6400	  6655	     1	  6494.0
STATS	  6656	  6911	     2	  6879.0
STATS	  6912	  7167	     3	  7093.0
STATS	  7168	  7423	     3	  7373.0
STATS	  7680	  7935	     1	  7854.0
STATS	  7936	  8191	     1	  8129.0
STATS	 11264	 11775	     8	 11695.0
STATS	 11776	 12287	    37	 12069.0
STATS	 12288	 12799	    49	 12558.0
STATS	 12800	 13311	    38	 13064.0
STATS	 13312	 13823	    30	 13552.0
STATS	 13824	 14335	     6	 14006.0
STATS	 14336	 14847	     3	 14553.0
STATS	 15360	 15871	     1	 15512.0
STATS	 17408	 18431	     1	 17502.0
STATS	 23552	 24575	     2	 24033.0
STATS	mode	0	4373	  4266.0
STATS	mode	1	3806	  3677.0
STATS	mode	2	2479	  4670.0
STATS	mode_avg	  4149.6
STATS	summary	memcpy	2048	     2.0
STATS	start	bytes=2048	func=libc586
STATS	  3456	  3583	     1	  3581.0
STATS	  3584	  3711	  4304	  3654.0
STATS	  3712	  3839	   758	  3773.0
STATS	  3840	  3967	  1064	  3919.0
STATS	  3968	  4095	  1293	  4031.0
STATS	  4096	  4351	  4308	  4252.0
STATS	  4352	  4607	  2889	  4531.0
STATS	  4608	  4863	  1709	  4683.0
STATS	  4864	  5119	  1402	  4969.0
STATS	  5120	  5375	  1607	  5220.0
STATS	  5376	  5631	   451	  5471.0
STATS	  5632	  5887	    20	  5730.0
STATS	  5888	  6143	     5	  5985.0
STATS	  6144	  6399	     1	  6159.0
STATS	  6400	  6655	     4	  6564.0
STATS	  6656	  6911	     2	  6802.0
STATS	  6912	  7167	     1	  7065.0
STATS	  7168	  7423	     1	  7216.0
STATS	  7680	  7935	     1	  7724.0
STATS	 11264	 11775	    11	 11624.0
STATS	 11776	 12287	    32	 12017.0
STATS	 12288	 12799	    44	 12549.0
STATS	 12800	 13311	    50	 13032.0
STATS	 13312	 13823	    32	 13505.0
STATS	 13824	 14335	     4	 14027.0
STATS	 14336	 14847	     1	 14385.0
STATS	 15360	 15871	     1	 15838.0
STATS	 16384	 17407	     1	 17057.0
STATS	 17408	 18431	     1	 18208.0
STATS	 26624	 27647	     1	 27216.0
STATS	 43008	 45055	     1	 44440.0
STATS	mode	0	4308	  4252.0
STATS	mode	1	4304	  3654.0
STATS	mode	2	2889	  4531.0
STATS	mode_avg	  4098.3
STATS	summary	libc586	2048	     2.0
STATS	start	bytes=2048	func=lx64
