Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  3840	  3967	    48	  3954.0
STATS	  3968	  4095	 10509	  4029.0
STATS	  4096	  4351	  4956	  4199.0
STATS	  4352	  4607	  3463	  4489.0
STATS	  4608	  4863	   693	  4679.0
STATS	  4864	  5119	    86	  4958.0
STATS	  5120	  5375	    26	  5200.0
STATS	  5376	  5631	     4	  5486.0
STATS	 12288	 12799	    70	 12717.0
STATS	 12800	 13311	   116	 12989.0
STATS	 13312	 13823	    20	 13432.0
STATS	 13824	 14335	     3	 13972.0
STATS	 14336	 14847	     2	 14349.0
STATS	 14848	 15359	     1	 15272.0
STATS	 15360	 15871	     1	 15629.0
STATS	 16384	 17407	     1	 16656.0
STATS	 18432	 19455	     1	 18551.0
STATS	mode	0	10509	  4029.0
STATS	mode	1	4956	  4199.0
STATS	mode	2	3463	  4489.0
STATS	mode_avg	  4157.7
STATS	summary	memcpy	2048	     2.0
STATS	start	bytes=2048	func=libc586
STATS	  3840	  3967	  2578	  3960.0
STATS	  3968	  4095	  9012	  4023.0
STATS	  4096	  4351	  4620	  4218.0
STATS	  4352	  4607	  2701	  4499.0
STATS	  4608	  4863	   611	  4686.0
STATS	  4864	  5119	    55	  4986.0
STATS	  5120	  5375	    89	  5211.0
STATS	  5376	  5631	    45	  5505.0
STATS	  5632	  5887	    34	  5747.0
STATS	  5888	  6143	    19	  5972.0
STATS	  6144	  6399	    10	  6288.0
STATS	  6400	  6655	     4	  6517.0
STATS	  6656	  6911	     1	  6659.0
STATS	  6912	  7167	     1	  6924.0
STATS	 12288	 12799	   131	 12629.0
STATS	 12800	 13311	    68	 13019.0
STATS	 13312	 13823	     5	 13371.0
STATS	 13824	 14335	     4	 14052.0
STATS	 14848	 15359	     3	 15138.0
STATS	 15872	 16383	     1	 15985.0
STATS	 16384	 17407	     2	 16927.0
STATS	 17408	 18431	     1	 17499.0
STATS	 20480	 21503	     1	 21298.0
STATS	 47104	 49151	     1	 48054.0
STATS	 73728	 77823	     1	 77357.0
STATS	 81920	 86015	     1	 82678.0
STATS	147456	155647	     1	150706.0
STATS	mode	0	9012	  4023.0
STATS	mode	1	4620	  4218.0
STATS	mode	2	2701	  4499.0
STATS	mode_avg	  4156.9
STATS	summary	libc586	2048	     2.0
STATS	start	bytes=2048	func=lx64
STATS	  2560	  2687	    12	  2667.0
STATS	  2688	  2815	  5645	  2770.0
STATS	  2816	  2943	  4772	  2889.0
STATS	  2944	  3071	  2631	  2993.0
STATS	  3072	  3199	   889	  3125.0
STATS	  3200	  3327	  1115	  3274.0
STATS	  3328	  3455	   695	  3386.0
STATS	  3456	  3583	  1387	  3506.0
STATS	  3584	  3711	   325	  3632.0
STATS	  3712	  3839	  1323	  3788.0
STATS	  3840	  3967	   870	  3892.0
